File,Tag,Occurrences,Category,CategoryEMF
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,name,76,Uncategorized,Uncategorized
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,queuesize,19,Uncategorized,Attributes
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,rendezvous,19,Uncategorized,Attributes
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,message,19,Uncategorized,Classes
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,entry,19,Uncategorized,Classes
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,type,19,Uncategorized,Attributes
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,nchannels,18,Uncategorized,Relations
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,nfrom,18,Uncategorized,Attributes
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,nto,18,Uncategorized,Attributes
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,processes,11,Uncategorized,Classes
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,ports,4,Uncategorized,Classes
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,nodes,3,Uncategorized,Classes
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,{http://www.w3.org/2001/xmlschema-instance}type,3,Uncategorized,Uncategorized
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,pchannels,3,Uncategorized,Relations
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,pfrom,3,Uncategorized,Attributes
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,pto,2,Uncategorized,Attributes
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,behaviorspecification,1,Uncategorized,Uncategorized
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,{http://www.omg.org/xmi}version,1,Uncategorized,Uncategorized
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,portextension,1,Uncategorized,Attributes
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,processextension,1,Uncategorized,Uncategorized
