total_emissions,node
5.82888360571363e-08,generate_query_node
5.538685311105817e-08,cache_context_node
0.00010109808175748959,model_generation_node
0.00012421091704928534,model_validation_node
0.0001179679984015488,model_validation_node
0.00013104940427524528,model_validation_node
2.0415340963523018e-07,model_generation_node
1.4777902339219724e-07,model_validation_node
1.2915896193372438e-07,model_validation_node
1.0852884343042627e-07,model_validation_node
0.0007509519303012199,FILE_ex09_writer0002.bpmn
