total_emissions,node
6.850291277844171e-08,generate_query_node
5.803532507375626e-08,cache_context_node
0.0012610824511009571,model_generation_node
0.001322566287965981,model_validation_node
0.0014129488075516488,model_validation_node
0.0013553798239334084,model_validation_node
6.571634941424859e-06,model_generation_node
0.001724146294666695,model_validation_node
0.0013250258085646725,model_validation_node
2.4548319780337317e-07,model_validation_node
0.01182214496713381,FILE_2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy
