N,Missing,Mean,SE,95% Confidence Interval Lower,95% Confidence Interval Upper,Median,Mode,Sum,SD,Variance,IQR,Range,Minimum,Maximum,Skewness,Kurtosis,Shapiro-Wilk W,Shapiro-Wilk p value,25th,50th,75th,90th,95th,99th,Tag
67,0,1.0298507462686568,0.020947148216932453,0.9887943357634692,1.0709071567738444,1.0,1,69,0.1714597977202911,0.029398462234283138,0.0,1,1,2,5.525465521634281,28.530769230769224,0.1625135187372425,1.1741227276059346e-17,1.0,1.0,1.0,1.0,1.0,2.0,endEvent
69,0,2.0579710144927534,0.05797101449275359,1.9443478260869564,2.1715942028985507,2.0,2,142,0.4815434123430765,0.23188405797101422,0.0,3,1,4,2.5530329776055742,10.104025870458486,0.3989427203575622,2.6335821282245972e-15,2.0,2.0,2.0,2.0,2.5999999999999943,4.0,exclusiveGateway
69,0,11.942028985507246,0.11473691685742,11.717144628466702,12.16691334254779,12.0,12,824,0.9530764115254922,0.9083546462063093,0.0,7,9,16,0.9369308431385008,6.14111556494033,0.6896378214336717,8.61347129389549e-11,12.0,12.0,12.0,12.200000000000003,13.0,15.319999999999993,incoming
3,0,1.0,0.0,,,1.0,1,3,0.0,0.0,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,intermediateThrowEvent
4,0,1.75,0.25,1.26,2.24,2.0,2,7,0.5,0.25,0.25,1,1,2,-1.1547005383792515,-0.6666666666666665,0.629776264554299,0.0012407259151036264,1.75,2.0,2.0,2.0,2.0,2.0,messageEventDefinition
69,0,11.942028985507246,0.11473691685742,11.717144628466702,12.16691334254779,12.0,12,824,0.9530764115254922,0.9083546462063093,0.0,7,9,16,0.9369308431385008,6.14111556494033,0.6896378214336717,8.61347129389549e-11,12.0,12.0,12.0,12.200000000000003,13.0,15.319999999999993,outgoing
65,0,2.0,0.0,,,2.0,2,130,0.0,0.0,0.0,0,2,2,,,,,2.0,2.0,2.0,2.0,2.0,2.0,parallelGateway
69,0,1.0,0.0,,,1.0,1,69,0.0,0.0,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,process
69,0,11.942028985507246,0.11473691685742,11.717144628466702,12.16691334254779,12.0,12,824,0.9530764115254922,0.9083546462063093,0.0,7,9,16,0.9369308431385008,6.14111556494033,0.6896378214336717,8.61347129389549e-11,12.0,12.0,12.0,12.200000000000003,13.0,15.319999999999993,sequenceFlow
69,0,1.0,0.0,,,1.0,1,69,0.0,0.0,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,startEvent
69,0,4.9855072463768115,0.06687760838006883,4.8544271339518765,5.1165873588017465,5.0,5,344,0.5555271376647696,0.3086104006820119,0.0,3,4,7,1.0293255453697054,4.154600744788014,0.6296715188784159,6.5261921894011374e-12,5.0,5.0,5.0,5.0,6.0,7.0,task
