file_name,total_emissions
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,0.00011019054973684235
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,0.00011189571644419366
2024-02-13 17.34 01%20-%20FIRFIRGCD-representations.aird.hepsy,0.00011098168205138327
2024-02-14 14.40 02%20-%20RT%20App-representations.aird.hepsy,0.00011170274579166566
2024-02-14 14.50 03%20-%20RT%20App%20Paper-representations.aird.hepsy,0.00011100145110836573
2024-02-14 15.04 04%20-%20RT%20App%20Paper%202-representations.aird.hepsy,0.00011066397083225966
2024-02-14 15.40 05%20-%20Hepsy%20Example-representations.aird.hepsy,0.0001107686098772927
2024-02-14 15.51 06%20-%20Sobel-representations.aird.hepsy,0.00011699929716362934
2024-02-14 15.52 07%20-%20Roberts-representations.aird.hepsy,0.0001106655351298202
2024-02-14 16.25 08%20-%20RASTA-PLP-representations.aird.hepsy,0.00011005911495865258
2024-02-14 17.00 09%20-%20Susan-representations.aird.hepsy,0.00042460913478877595
2024-02-14 17.46 10%20-%20JPEG_encoder-representations.aird.hepsy,0.00014536979760248312
2024-02-14 17.58 11%20-%20JPEG%20Reduced-representations.aird.hepsy,0.00028861387112784625
2024-02-14 18.17 12%20-%20FIRFIRGCD_ext-representations.aird.hepsy,0.00014728067677731722
2024-02-14 18.30 13%20-%20FIRFIRGCD_HPV-representations.aird.hepsy,0.0001471490219608009
TOTAL_APP,0.0026833939913188795
