node,total_emissions
generate_query_from_metamodel,4.799610597465848e-08
generate_query_node,0.0003640915929344366
retrieve,2.684652377852042e-05
grade_documents,0.0010431207820668937
grade_generation_v_documents_and_question,7.318568357878155e-05
evaluate_rag_output,0.0002125635611157145
evaluate_bert_score,0.0006343853176329122
cache_context_node,0.003674623129256822
model_generation_node,0.0018160682589817242
model_validation_node,1.4631635037579032e-07
FILE_2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,0.015277209399911314
