File,Tag,Occurrences,Category,CategoryEMF
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,name,26,Uncategorized,Uncategorized
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,ports,6,Uncategorized,Classes
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,queuesize,6,Uncategorized,Attributes
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,rendezvous,6,Uncategorized,Attributes
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,message,4,Uncategorized,Classes
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,entry,4,Uncategorized,Classes
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,type,4,Uncategorized,Attributes
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,nodes,3,Uncategorized,Classes
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,{http://www.w3.org/2001/xmlschema-instance}type,3,Uncategorized,Uncategorized
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,pchannels,3,Uncategorized,Relations
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,pfrom,3,Uncategorized,Attributes
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,pto,3,Uncategorized,Attributes
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,nchannels,3,Uncategorized,Relations
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,nfrom,3,Uncategorized,Uncategorized
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,nto,3,Uncategorized,Uncategorized
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,processes,3,Uncategorized,Classes
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,portextension,2,Uncategorized,Attributes
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,behaviorspecification,1,Uncategorized,Uncategorized
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,{http://www.omg.org/xmi}version,1,Uncategorized,Uncategorized
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,name,55,Uncategorized,Uncategorized
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,nchannels,12,Uncategorized,Relations
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,nfrom,12,Uncategorized,Uncategorized
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,nto,12,Uncategorized,Uncategorized
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,queuesize,12,Uncategorized,Attributes
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,rendezvous,12,Uncategorized,Attributes
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,message,12,Uncategorized,Classes
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,entry,12,Uncategorized,Classes
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,type,12,Uncategorized,Attributes
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,processes,10,Uncategorized,Classes
