N,Missing,Mean,SE,95% Confidence Interval Lower,95% Confidence Interval Upper,Median,Mode,Sum,SD,Variance,IQR,Range,Minimum,Maximum,Skewness,Kurtosis,Shapiro-Wilk W,Shapiro-Wilk p value,25th,50th,75th,90th,95th,99th,Tag
2,0,1.0,0.0,,,1.0,1,2,0.0,0.0,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,association
1,0,1.0,,,,1.0,1,1,,,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,callActivity
6,0,1.0,0.0,,,1.0,1,6,0.0,0.0,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,childLaneSet
61,0,4.0,0.28342171556262064,3.4444934374972638,4.555506562502736,4.0,6,244,2.2135943621178655,4.9,4.0,9,1,10,0.44620703136347506,-0.37047063723448526,0.9390790518478622,0.00450059371298495,2.0,4.0,6.0,6.0,8.0,9.399999999999999,dataInputAssociation
61,0,3.6721311475409837,0.22989818544221455,3.2215307040742434,4.1227315910077245,3.0,3,224,1.795562228341584,3.2240437158469946,3.0,8,1,9,0.6224504286318573,0.1816061189313407,0.9394317354761048,0.004668223444497247,2.0,3.0,5.0,6.0,7.0,8.399999999999999,dataObject
61,0,3.6721311475409837,0.22989818544221455,3.2215307040742434,4.1227315910077245,3.0,3,224,1.795562228341584,3.2240437158469946,3.0,8,1,9,0.6224504286318573,0.1816061189313407,0.9394317354761048,0.004668223444497247,2.0,3.0,5.0,6.0,7.0,8.399999999999999,dataObjectReference
63,0,2.9365079365079363,0.18642212404196395,2.571120573385687,3.3018952996301856,3.0,3,185,1.4796797372864157,2.1894521249359964,2.0,6,1,7,0.44099392027457424,-0.37759355412024087,0.923943697485579,0.0008093214503881212,2.0,3.0,4.0,5.0,5.0,6.380000000000003,dataOutputAssociation
24,0,1.0,0.0,,,1.0,1,24,0.0,0.0,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,dataStoreReference
61,0,1.0655737704918034,0.03959392553603669,0.9879696764411714,1.1431778645424353,1.0,1,65,0.3092384440857027,0.0956284153005463,0.0,2,1,3,5.031536500598138,25.772783673469398,0.22128041089880346,2.5404642539437184e-16,1.0,1.0,1.0,1.0,1.0,2.3999999999999986,endEvent
69,0,1.3623188405797102,0.05828983090868436,1.2480707719986888,1.4765669091607316,1.0,1,94,0.4841917003915371,0.23444160272804804,1.0,1,1,2,0.5728715546977504,-1.671818181818182,0.608352299755329,2.7959945703874106e-12,1.0,1.0,2.0,2.0,2.0,2.0,exclusiveGateway
68,0,9.735294117647058,0.3478376998458841,9.053532225949125,10.417056009344991,9.0,9,662,2.868343154072944,8.227392449517126,3.0,15,5,20,1.4151381640643792,2.5346048091819986,0.8776725813301375,7.390914516254257e-06,8.0,9.0,11.0,12.300000000000004,15.299999999999997,18.659999999999997,flowNodeRef
69,0,9.173913043478262,0.2691565254325447,8.646366253630474,9.70145983332605,9.0,9,633,2.2357820170180913,4.998721227621484,4.0,10,5,15,0.47225633555433066,-0.5369464409718656,0.9473214152463498,0.0056929543345410095,7.0,9.0,11.0,12.0,13.0,14.319999999999993,incoming
1,0,1.0,,,,1.0,1,1,,,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,intermediateCatchEvent
1,0,2.0,,,,2.0,2,2,,,0.0,0,2,2,,,,,2.0,2.0,2.0,2.0,2.0,2.0,intermediateThrowEvent
68,0,2.235294117647059,0.05969503657703104,2.1182918459560782,2.3522963893380395,2.0,2,152,0.4922578822644174,0.24231782265144905,0.0,2,2,4,1.9732811571015199,3.1052299936987993,0.5208025366126012,1.479344137712418e-13,2.0,2.0,2.0,3.0,3.0,4.0,lane
68,0,1.0147058823529411,0.014705882352941185,0.9858823529411764,1.0435294117647058,1.0,1,69,0.12126781251816655,0.014705882352941192,0.0,1,1,2,8.063183327516146,63.014925373134304,0.10027761546298641,2.2783688995552317e-18,1.0,1.0,1.0,1.0,1.0,1.3299999999999983,laneSet
47,0,1.0212765957446808,0.02127659574468085,0.9795744680851063,1.0629787234042551,1.0,1,48,0.14586499149789456,0.021276595744680854,0.0,1,1,2,6.634888026970374,42.021739130434796,0.13111888129747207,3.614383190146987e-15,1.0,1.0,1.0,1.0,1.0,1.5399999999999991,messageEventDefinition
69,0,9.173913043478262,0.2691565254325447,8.646366253630474,9.70145983332605,9.0,9,633,2.2357820170180913,4.998721227621484,4.0,10,5,15,0.47225633555433066,-0.5369464409718656,0.9473214152463498,0.0056929543345410095,7.0,9.0,11.0,12.0,13.0,14.319999999999993,outgoing
17,0,2.0,0.0,,,2.0,2,34,0.0,0.0,0.0,0,2,2,,,,,2.0,2.0,2.0,2.0,2.0,2.0,parallelGateway
69,0,1.1304347826086956,0.04084071463598806,1.050386981922159,1.2104825832952322,1.0,1,78,0.3392484547739259,0.11508951406649645,0.0,1,1,2,2.194690562850869,2.8166666666666664,0.3967736743599981,2.4747364432084526e-15,1.0,1.0,1.0,2.0,2.0,2.0,process
61,0,3.5901639344262297,0.22709504182618573,3.145057652446906,4.035270216405554,4.0,3,219,1.7736689768229752,3.14590163934426,3.0,6,1,7,0.039977651195949586,-1.0399276934358084,0.9291269838210481,0.0016491821181710126,2.0,4.0,5.0,6.0,6.0,7.0,property
69,0,9.173913043478262,0.2691565254325447,8.646366253630474,9.70145983332605,9.0,9,633,2.2357820170180913,4.998721227621484,4.0,10,5,15,0.47225633555433066,-0.5369464409718656,0.9473214152463498,0.0056929543345410095,7.0,9.0,11.0,12.0,13.0,14.319999999999993,sequenceFlow
61,0,4.0,0.28342171556262064,3.4444934374972638,4.555506562502736,4.0,6,244,2.2135943621178655,4.9,4.0,9,1,10,0.44620703136347506,-0.37047063723448526,0.9390790518478622,0.00450059371298495,2.0,4.0,6.0,6.0,8.0,9.399999999999999,sourceRef
69,0,1.0,0.0,,,1.0,1,69,0.0,0.0,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,startEvent
6,0,1.0,0.0,,,1.0,1,6,0.0,0.0,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,subProcess
63,0,6.809523809523809,0.4298496044740939,5.967018584754586,7.652029034293033,7.0,4,429,3.4118254637937895,11.640552995391708,5.5,15,1,16,0.3434023674688057,-0.5333312645870123,0.964877132160856,0.06910750246633852,4.0,7.0,9.5,11.800000000000004,12.0,14.140000000000008,targetRef
69,0,5.101449275362318,0.16406095328339312,4.779889806926868,5.4230087437977685,5.0,4,352,1.3627926295169208,1.8572037510656434,2.0,6,3,9,0.5881701279941567,-0.06500449417805942,0.922484497890644,0.00037594119593999375,4.0,5.0,6.0,7.0,7.599999999999994,8.319999999999993,task
1,0,1.0,,,,1.0,1,1,,,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,text
1,0,1.0,,,,1.0,1,1,,,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,textAnnotation
