File,Tag,Occurrences,Category,CategoryEMF
ex06_writer0000.bpmn,incoming,9,Connecting Objects,Attributes
ex06_writer0000.bpmn,outgoing,9,Connecting Objects,Attributes
ex06_writer0000.bpmn,sequenceFlow,9,Connecting Objects,Relations
ex06_writer0000.bpmn,targetRef,6,Connecting Objects,Attributes
ex06_writer0000.bpmn,dataInputAssociation,4,Uncategorized,Uncategorized
ex06_writer0000.bpmn,task,4,Flow Objects,Classes
ex06_writer0000.bpmn,sourceRef,4,Connecting Objects,Attributes
ex06_writer0000.bpmn,property,3,Uncategorized,Uncategorized
ex06_writer0000.bpmn,dataOutputAssociation,2,Uncategorized,Uncategorized
ex06_writer0000.bpmn,dataObjectReference,2,Uncategorized,Uncategorized
ex06_writer0000.bpmn,process,2,Flow Objects,Classes
ex06_writer0000.bpmn,exclusiveGateway,2,Flow Objects,Classes
ex06_writer0000.bpmn,dataObject,2,Artifacts,Classes
ex06_writer0000.bpmn,messageEventDefinition,1,Uncategorized,Uncategorized
ex06_writer0000.bpmn,endEvent,1,Flow Objects,Classes
ex06_writer0000.bpmn,startEvent,1,Flow Objects,Classes
ex06_writer0001.bpmn,flowNodeRef,9,Uncategorized,Uncategorized
ex06_writer0001.bpmn,targetRef,9,Connecting Objects,Attributes
ex06_writer0001.bpmn,outgoing,8,Connecting Objects,Attributes
ex06_writer0001.bpmn,incoming,8,Connecting Objects,Attributes
ex06_writer0001.bpmn,sequenceFlow,8,Connecting Objects,Relations
ex06_writer0001.bpmn,dataOutputAssociation,5,Uncategorized,Uncategorized
ex06_writer0001.bpmn,dataInputAssociation,4,Uncategorized,Uncategorized
ex06_writer0001.bpmn,dataObjectReference,4,Uncategorized,Uncategorized
ex06_writer0001.bpmn,task,4,Flow Objects,Classes
ex06_writer0001.bpmn,sourceRef,4,Connecting Objects,Attributes
ex06_writer0001.bpmn,dataObject,4,Artifacts,Classes
ex06_writer0001.bpmn,messageEventDefinition,3,Uncategorized,Uncategorized
ex06_writer0001.bpmn,lane,3,Swim Lanes,Uncategorized
ex06_writer0001.bpmn,startEvent,3,Flow Objects,Classes
ex06_writer0001.bpmn,property,2,Uncategorized,Uncategorized
ex06_writer0001.bpmn,dataStoreReference,1,Uncategorized,Uncategorized
ex06_writer0001.bpmn,laneSet,1,Swim Lanes,Uncategorized
ex06_writer0001.bpmn,process,1,Flow Objects,Classes
ex06_writer0001.bpmn,endEvent,1,Flow Objects,Classes
ex06_writer0001.bpmn,exclusiveGateway,1,Flow Objects,Classes
ex06_writer0002.bpmn,incoming,10,Connecting Objects,Attributes
ex06_writer0002.bpmn,outgoing,10,Connecting Objects,Attributes
ex06_writer0002.bpmn,sequenceFlow,10,Connecting Objects,Relations
ex06_writer0002.bpmn,task,4,Flow Objects,Classes
ex06_writer0002.bpmn,exclusiveGateway,3,Flow Objects,Classes
ex06_writer0002.bpmn,targetRef,3,Connecting Objects,Attributes
ex06_writer0002.bpmn,dataOutputAssociation,2,Uncategorized,Uncategorized
ex06_writer0002.bpmn,property,1,Uncategorized,Uncategorized
ex06_writer0002.bpmn,dataInputAssociation,1,Uncategorized,Uncategorized
ex06_writer0002.bpmn,dataObjectReference,1,Uncategorized,Uncategorized
ex06_writer0002.bpmn,process,1,Flow Objects,Classes
ex06_writer0002.bpmn,endEvent,1,Flow Objects,Classes
ex06_writer0002.bpmn,startEvent,1,Flow Objects,Classes
ex06_writer0002.bpmn,sourceRef,1,Connecting Objects,Attributes
ex06_writer0002.bpmn,dataObject,1,Artifacts,Classes
ex06_writer0003.bpmn,incoming,12,Connecting Objects,Attributes
ex06_writer0003.bpmn,outgoing,12,Connecting Objects,Attributes
ex06_writer0003.bpmn,sequenceFlow,12,Connecting Objects,Relations
ex06_writer0003.bpmn,targetRef,9,Connecting Objects,Attributes
ex06_writer0003.bpmn,task,7,Flow Objects,Classes
ex06_writer0003.bpmn,dataOutputAssociation,6,Uncategorized,Uncategorized
ex06_writer0003.bpmn,property,3,Uncategorized,Uncategorized
ex06_writer0003.bpmn,dataInputAssociation,3,Uncategorized,Uncategorized
ex06_writer0003.bpmn,messageEventDefinition,3,Uncategorized,Uncategorized
ex06_writer0003.bpmn,startEvent,3,Flow Objects,Classes
ex06_writer0003.bpmn,sourceRef,3,Connecting Objects,Attributes
ex06_writer0003.bpmn,dataObjectReference,2,Uncategorized,Uncategorized
ex06_writer0003.bpmn,exclusiveGateway,2,Flow Objects,Classes
ex06_writer0003.bpmn,dataObject,2,Artifacts,Classes
ex06_writer0003.bpmn,dataStoreReference,1,Uncategorized,Uncategorized
ex06_writer0003.bpmn,process,1,Flow Objects,Classes
ex06_writer0003.bpmn,endEvent,1,Flow Objects,Classes
ex06_writer0005.bpmn,incoming,12,Connecting Objects,Attributes
ex06_writer0005.bpmn,outgoing,12,Connecting Objects,Attributes
ex06_writer0005.bpmn,sequenceFlow,12,Connecting Objects,Relations
ex06_writer0005.bpmn,targetRef,10,Connecting Objects,Attributes
ex06_writer0005.bpmn,dataInputAssociation,5,Uncategorized,Uncategorized
ex06_writer0005.bpmn,dataOutputAssociation,5,Uncategorized,Uncategorized
ex06_writer0005.bpmn,sourceRef,5,Connecting Objects,Attributes
ex06_writer0005.bpmn,dataObjectReference,4,Uncategorized,Uncategorized
ex06_writer0005.bpmn,task,4,Flow Objects,Classes
ex06_writer0005.bpmn,dataObject,4,Artifacts,Classes
ex06_writer0005.bpmn,property,3,Uncategorized,Uncategorized
ex06_writer0005.bpmn,messageEventDefinition,3,Uncategorized,Uncategorized
ex06_writer0005.bpmn,intermediateCatchEvent,3,Flow Objects,Classes
ex06_writer0005.bpmn,exclusiveGateway,2,Flow Objects,Classes
ex06_writer0005.bpmn,dataStoreReference,1,Uncategorized,Uncategorized
ex06_writer0005.bpmn,process,1,Flow Objects,Classes
ex06_writer0005.bpmn,eventBasedGateway,1,Flow Objects,Classes
ex06_writer0005.bpmn,startEvent,1,Flow Objects,Classes
ex06_writer0006.bpmn,incoming,12,Connecting Objects,Attributes
ex06_writer0006.bpmn,outgoing,12,Connecting Objects,Attributes
ex06_writer0006.bpmn,sequenceFlow,12,Connecting Objects,Relations
ex06_writer0006.bpmn,task,7,Flow Objects,Classes
ex06_writer0006.bpmn,exclusiveGateway,3,Flow Objects,Classes
ex06_writer0006.bpmn,process,1,Flow Objects,Classes
ex06_writer0006.bpmn,startEvent,1,Flow Objects,Classes
ex06_writer0007.bpmn,outgoing,13,Connecting Objects,Attributes
ex06_writer0007.bpmn,incoming,13,Connecting Objects,Attributes
ex06_writer0007.bpmn,sequenceFlow,13,Connecting Objects,Relations
ex06_writer0007.bpmn,flowNodeRef,12,Uncategorized,Uncategorized
ex06_writer0007.bpmn,targetRef,8,Connecting Objects,Attributes
ex06_writer0007.bpmn,task,7,Flow Objects,Classes
ex06_writer0007.bpmn,dataOutputAssociation,6,Uncategorized,Uncategorized
ex06_writer0007.bpmn,property,2,Uncategorized,Uncategorized
ex06_writer0007.bpmn,dataInputAssociation,2,Uncategorized,Uncategorized
ex06_writer0007.bpmn,dataObjectReference,2,Uncategorized,Uncategorized
ex06_writer0007.bpmn,exclusiveGateway,2,Flow Objects,Classes
ex06_writer0007.bpmn,sourceRef,2,Connecting Objects,Attributes
ex06_writer0007.bpmn,dataObject,2,Artifacts,Classes
ex06_writer0007.bpmn,dataStoreReference,1,Uncategorized,Uncategorized
ex06_writer0007.bpmn,laneSet,1,Swim Lanes,Uncategorized
ex06_writer0007.bpmn,lane,1,Swim Lanes,Uncategorized
ex06_writer0007.bpmn,process,1,Flow Objects,Classes
ex06_writer0007.bpmn,startEvent,1,Flow Objects,Classes
ex06_writer0007.bpmn,parallelGateway,1,Flow Objects,Classes
ex06_writer0007.bpmn,endEvent,1,Flow Objects,Classes
ex06_writer0008.bpmn,incoming,13,Connecting Objects,Attributes
ex06_writer0008.bpmn,outgoing,13,Connecting Objects,Attributes
ex06_writer0008.bpmn,sequenceFlow,13,Connecting Objects,Relations
ex06_writer0008.bpmn,targetRef,6,Connecting Objects,Attributes
ex06_writer0008.bpmn,task,4,Flow Objects,Classes
ex06_writer0008.bpmn,property,3,Uncategorized,Uncategorized
ex06_writer0008.bpmn,dataInputAssociation,3,Uncategorized,Uncategorized
ex06_writer0008.bpmn,dataOutputAssociation,3,Uncategorized,Uncategorized
ex06_writer0008.bpmn,messageEventDefinition,3,Uncategorized,Uncategorized
ex06_writer0008.bpmn,intermediateCatchEvent,3,Flow Objects,Classes
ex06_writer0008.bpmn,sourceRef,3,Connecting Objects,Attributes
ex06_writer0008.bpmn,dataObjectReference,2,Uncategorized,Uncategorized
ex06_writer0008.bpmn,exclusiveGateway,2,Flow Objects,Classes
ex06_writer0008.bpmn,dataObject,2,Artifacts,Classes
ex06_writer0008.bpmn,dataStoreReference,1,Uncategorized,Uncategorized
ex06_writer0008.bpmn,process,1,Flow Objects,Classes
ex06_writer0008.bpmn,endEvent,1,Flow Objects,Classes
ex06_writer0008.bpmn,startEvent,1,Flow Objects,Classes
ex06_writer0008.bpmn,eventBasedGateway,1,Flow Objects,Classes
ex06_writer0009.bpmn,incoming,13,Connecting Objects,Attributes
ex06_writer0009.bpmn,outgoing,13,Connecting Objects,Attributes
ex06_writer0009.bpmn,sequenceFlow,13,Connecting Objects,Relations
ex06_writer0009.bpmn,task,7,Flow Objects,Classes
ex06_writer0009.bpmn,targetRef,6,Connecting Objects,Attributes
ex06_writer0009.bpmn,dataInputAssociation,4,Uncategorized,Uncategorized
ex06_writer0009.bpmn,dataObjectReference,4,Uncategorized,Uncategorized
ex06_writer0009.bpmn,sourceRef,4,Connecting Objects,Attributes
ex06_writer0009.bpmn,dataObject,4,Artifacts,Classes
ex06_writer0009.bpmn,property,3,Uncategorized,Uncategorized
ex06_writer0009.bpmn,exclusiveGateway,3,Flow Objects,Classes
ex06_writer0009.bpmn,dataOutputAssociation,2,Uncategorized,Uncategorized
ex06_writer0009.bpmn,process,1,Flow Objects,Classes
ex06_writer0009.bpmn,endEvent,1,Flow Objects,Classes
ex06_writer0009.bpmn,startEvent,1,Flow Objects,Classes
ex06_writer0010.bpmn,incoming,12,Connecting Objects,Attributes
ex06_writer0010.bpmn,outgoing,12,Connecting Objects,Attributes
ex06_writer0010.bpmn,sequenceFlow,12,Connecting Objects,Relations
ex06_writer0010.bpmn,targetRef,9,Connecting Objects,Attributes
ex06_writer0010.bpmn,dataOutputAssociation,5,Uncategorized,Uncategorized
ex06_writer0010.bpmn,dataInputAssociation,4,Uncategorized,Uncategorized
ex06_writer0010.bpmn,messageEventDefinition,4,Uncategorized,Uncategorized
ex06_writer0010.bpmn,sourceRef,4,Connecting Objects,Attributes
ex06_writer0010.bpmn,property,3,Uncategorized,Uncategorized
ex06_writer0010.bpmn,dataObjectReference,3,Uncategorized,Uncategorized
ex06_writer0010.bpmn,intermediateCatchEvent,3,Flow Objects,Classes
ex06_writer0010.bpmn,dataObject,3,Artifacts,Classes
ex06_writer0010.bpmn,task,2,Flow Objects,Classes
ex06_writer0010.bpmn,dataStoreReference,1,Uncategorized,Uncategorized
ex06_writer0010.bpmn,process,1,Flow Objects,Classes
ex06_writer0010.bpmn,endEvent,1,Flow Objects,Classes
ex06_writer0010.bpmn,eventBasedGateway,1,Flow Objects,Classes
ex06_writer0010.bpmn,exclusiveGateway,1,Flow Objects,Classes
ex06_writer0010.bpmn,parallelGateway,1,Flow Objects,Classes
ex06_writer0010.bpmn,startEvent,1,Flow Objects,Classes
ex06_writer0010.bpmn,intermediateThrowEvent,1,Flow Objects,Classes
ex06_writer0011.bpmn,incoming,13,Connecting Objects,Attributes
ex06_writer0011.bpmn,outgoing,13,Connecting Objects,Attributes
ex06_writer0011.bpmn,sequenceFlow,13,Connecting Objects,Relations
ex06_writer0011.bpmn,task,7,Flow Objects,Classes
ex06_writer0011.bpmn,targetRef,5,Connecting Objects,Attributes
ex06_writer0011.bpmn,dataOutputAssociation,3,Uncategorized,Uncategorized
ex06_writer0011.bpmn,exclusiveGateway,3,Flow Objects,Classes
ex06_writer0011.bpmn,dataInputAssociation,2,Uncategorized,Uncategorized
ex06_writer0011.bpmn,dataObjectReference,2,Uncategorized,Uncategorized
ex06_writer0011.bpmn,sourceRef,2,Connecting Objects,Attributes
ex06_writer0011.bpmn,dataObject,2,Artifacts,Classes
ex06_writer0011.bpmn,property,1,Uncategorized,Uncategorized
ex06_writer0011.bpmn,dataStoreReference,1,Uncategorized,Uncategorized
ex06_writer0011.bpmn,process,1,Flow Objects,Classes
ex06_writer0011.bpmn,endEvent,1,Flow Objects,Classes
ex06_writer0011.bpmn,startEvent,1,Flow Objects,Classes
ex06_writer0012.bpmn,incoming,12,Connecting Objects,Attributes
ex06_writer0012.bpmn,outgoing,12,Connecting Objects,Attributes
ex06_writer0012.bpmn,sequenceFlow,12,Connecting Objects,Relations
ex06_writer0012.bpmn,task,6,Flow Objects,Classes
ex06_writer0012.bpmn,dataOutputAssociation,3,Uncategorized,Uncategorized
ex06_writer0012.bpmn,exclusiveGateway,3,Flow Objects,Classes
ex06_writer0012.bpmn,targetRef,3,Connecting Objects,Attributes
ex06_writer0012.bpmn,dataObjectReference,2,Uncategorized,Uncategorized
ex06_writer0012.bpmn,dataObject,2,Artifacts,Classes
ex06_writer0012.bpmn,dataStoreReference,1,Uncategorized,Uncategorized
ex06_writer0012.bpmn,process,1,Flow Objects,Classes
ex06_writer0012.bpmn,endEvent,1,Flow Objects,Classes
ex06_writer0012.bpmn,startEvent,1,Flow Objects,Classes
ex06_writer0013.bpmn,sequenceFlow,13,Connecting Objects,Relations
ex06_writer0013.bpmn,incoming,13,Connecting Objects,Attributes
ex06_writer0013.bpmn,outgoing,13,Connecting Objects,Attributes
ex06_writer0013.bpmn,task,7,Flow Objects,Classes
ex06_writer0013.bpmn,targetRef,4,Connecting Objects,Attributes
ex06_writer0013.bpmn,dataOutputAssociation,3,Uncategorized,Uncategorized
ex06_writer0013.bpmn,exclusiveGateway,3,Flow Objects,Classes
ex06_writer0013.bpmn,process,2,Flow Objects,Classes
ex06_writer0013.bpmn,dataObjectReference,1,Uncategorized,Uncategorized
ex06_writer0013.bpmn,dataStoreReference,1,Uncategorized,Uncategorized
ex06_writer0013.bpmn,property,1,Uncategorized,Uncategorized
ex06_writer0013.bpmn,dataInputAssociation,1,Uncategorized,Uncategorized
ex06_writer0013.bpmn,laneSet,1,Swim Lanes,Uncategorized
ex06_writer0013.bpmn,endEvent,1,Flow Objects,Classes
ex06_writer0013.bpmn,startEvent,1,Flow Objects,Classes
ex06_writer0013.bpmn,sourceRef,1,Connecting Objects,Attributes
ex06_writer0013.bpmn,dataObject,1,Artifacts,Classes
ex06_writer0014.bpmn,outgoing,13,Connecting Objects,Attributes
ex06_writer0014.bpmn,incoming,13,Connecting Objects,Attributes
ex06_writer0014.bpmn,sequenceFlow,13,Connecting Objects,Relations
ex06_writer0014.bpmn,targetRef,12,Connecting Objects,Attributes
ex06_writer0014.bpmn,task,7,Flow Objects,Classes
ex06_writer0014.bpmn,dataObjectReference,6,Uncategorized,Uncategorized
ex06_writer0014.bpmn,dataOutputAssociation,6,Uncategorized,Uncategorized
