File,Tag,Occurrences,Category,CategoryEMF
2024-02-14 17.00 09%20-%20Susan-representations.aird.hepsy,name,25,Uncategorized,Uncategorized
2024-02-14 17.00 09%20-%20Susan-representations.aird.hepsy,processes,5,Uncategorized,Classes
2024-02-14 17.00 09%20-%20Susan-representations.aird.hepsy,ports,4,Uncategorized,Classes
2024-02-14 17.00 09%20-%20Susan-representations.aird.hepsy,nchannels,4,Uncategorized,Relations
2024-02-14 17.00 09%20-%20Susan-representations.aird.hepsy,nfrom,4,Uncategorized,Attributes
2024-02-14 17.00 09%20-%20Susan-representations.aird.hepsy,nto,4,Uncategorized,Attributes
2024-02-14 17.00 09%20-%20Susan-representations.aird.hepsy,queuesize,4,Uncategorized,Attributes
2024-02-14 17.00 09%20-%20Susan-representations.aird.hepsy,rendezvous,4,Uncategorized,Attributes
2024-02-14 17.00 09%20-%20Susan-representations.aird.hepsy,message,4,Uncategorized,Classes
2024-02-14 17.00 09%20-%20Susan-representations.aird.hepsy,entry,4,Uncategorized,Classes
2024-02-14 17.00 09%20-%20Susan-representations.aird.hepsy,type,4,Uncategorized,Attributes
2024-02-14 17.00 09%20-%20Susan-representations.aird.hepsy,nodes,3,Uncategorized,Classes
2024-02-14 17.00 09%20-%20Susan-representations.aird.hepsy,{http://www.w3.org/2001/xmlschema-instance}type,3,Uncategorized,Uncategorized
2024-02-14 17.00 09%20-%20Susan-representations.aird.hepsy,pchannels,2,Uncategorized,Relations
2024-02-14 17.00 09%20-%20Susan-representations.aird.hepsy,pfrom,2,Uncategorized,Attributes
2024-02-14 17.00 09%20-%20Susan-representations.aird.hepsy,pto,2,Uncategorized,Attributes
2024-02-14 17.00 09%20-%20Susan-representations.aird.hepsy,behaviorspecification,1,Uncategorized,Uncategorized
2024-02-14 17.00 09%20-%20Susan-representations.aird.hepsy,{http://www.omg.org/xmi}version,1,Uncategorized,Uncategorized
2024-02-14 17.00 09%20-%20Susan-representations.aird.hepsy,portextension,1,Uncategorized,Attributes
2024-02-14 17.00 09%20-%20Susan-representations.aird.hepsy,processextension,1,Uncategorized,Uncategorized
