N,Missing,Mean,SE,95% Confidence Interval Lower,95% Confidence Interval Upper,Median,Mode,Sum,SD,Variance,IQR,Range,Minimum,Maximum,Skewness,Kurtosis,Shapiro-Wilk W,Shapiro-Wilk p value,25th,50th,75th,90th,95th,99th,Tag
68,0,1.9852941176470589,0.014705882352941185,1.9564705882352942,2.0141176470588236,2.0,2,135,0.12126781251816655,0.014705882352941194,0.0,1,1,2,-8.063183327516146,63.014925373134304,0.10027761546298608,2.2783688995551986e-18,2.0,2.0,2.0,2.0,2.0,2.0,endEvent
67,0,1.0149253731343284,0.014925373134328348,0.9856716417910448,1.0441791044776119,1.0,1,68,0.12216944435630514,0.014925373134328339,0.0,1,1,2,8.00094691365663,62.01515151515153,0.10137705676653808,3.122681439359385e-18,1.0,1.0,1.0,1.0,1.0,1.3400000000000034,exclusiveGateway
68,0,12.529411764705882,0.21415102635169977,12.109675753056552,12.949147776355213,13.0,13,852,1.7659346029649785,3.1185250219490763,1.0,8,7,15,-0.9991382288177698,0.8476533966398829,0.8424563507238639,5.272431612777114e-07,12.0,13.0,13.0,15.0,15.0,15.0,incoming
1,0,1.0,,,,1.0,1,1,,,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,intermediateThrowEvent
4,0,2.0,0.0,,,2.0,2,8,0.0,0.0,0.0,0,2,2,,,,,2.0,2.0,2.0,2.0,2.0,2.0,messageEventDefinition
68,0,12.529411764705882,0.21415102635169977,12.109675753056552,12.949147776355213,13.0,13,852,1.7659346029649785,3.1185250219490763,1.0,8,7,15,-0.9991382288177698,0.8476533966398829,0.8424563507238639,5.272431612777114e-07,12.0,13.0,13.0,15.0,15.0,15.0,outgoing
58,0,2.0,0.0,,,2.0,2,116,0.0,0.0,0.0,0,2,2,,,,,2.0,2.0,2.0,2.0,2.0,2.0,parallelGateway
68,0,1.0,0.0,,,1.0,1,68,0.0,0.0,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,process
68,0,12.529411764705882,0.21415102635169977,12.109675753056552,12.949147776355213,13.0,13,852,1.7659346029649785,3.1185250219490763,1.0,8,7,15,-0.9991382288177698,0.8476533966398829,0.8424563507238639,5.272431612777114e-07,12.0,13.0,13.0,15.0,15.0,15.0,sequenceFlow
68,0,1.0,0.0,,,1.0,1,68,0.0,0.0,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,startEvent
68,0,6.147058823529412,0.10940156852997432,5.932631749210662,6.361485897848162,6.0,6,418,0.9021484453146663,0.8138718173836694,0.0,4,4,8,0.6906871250821536,0.40870260400847513,0.7910256139268734,1.9588307948899474e-08,6.0,6.0,6.0,8.0,8.0,8.0,task
