N,Missing,Mean,SE,95% Confidence Interval Lower,95% Confidence Interval Upper,Median,Mode,Sum,SD,Variance,IQR,Range,Minimum,Maximum,Skewness,Kurtosis,Shapiro-Wilk W,Shapiro-Wilk p value,25th,50th,75th,90th,95th,99th,Tag
51,0,1.8627450980392157,0.13725490196078435,1.5937254901960785,2.131764705882353,2.0,1,95,0.9801960588196071,0.9607843137254907,2.0,3,1,4,0.6630228995279669,-0.8668977925864225,0.7879716138751514,3.83581021434058e-07,1.0,2.0,3.0,3.0,3.5,4.0,association
2,0,1.0,0.0,,,1.0,1,2,0.0,0.0,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,dataInputAssociation
2,0,1.5,0.5,0.52,2.48,1.5,1,3,0.7071067811865476,0.5,0.5,1,1,2,,,,,1.25,1.5,1.75,1.9,1.95,1.99,dataObject
2,0,1.5,0.5,0.52,2.48,1.5,1,3,0.7071067811865476,0.5,0.5,1,1,2,,,,,1.25,1.5,1.75,1.9,1.95,1.99,dataObjectReference
13,0,2.1538461538461537,0.10415433852097387,1.949703650345045,2.3579886573472626,2.0,2,28,0.37553380809940545,0.14102564102564108,0.0,1,2,3,1.9188064472004944,1.6818181818181834,0.44567736739715247,4.0251302202537945e-06,2.0,2.0,2.0,2.8000000000000007,3.0,3.0,dataOutputAssociation
12,0,2.0,0.12309149097933274,1.758740677680508,2.2412593223194923,2.0,2,24,0.4264014327112209,0.18181818181818182,0.0,2,1,3,0.0,3.0,0.5993671496715983,0.00010596834389877492,2.0,2.0,2.0,2.0,2.4499999999999993,2.8900000000000006,dataStoreReference
80,0,2.6,0.12012651558600804,2.364552029451424,2.835447970548576,3.0,3,208,1.0744442190020078,1.1544303797468345,1.0,4,1,5,0.170064265787202,-0.6445060018467221,0.9074701479240468,2.5546556861886066e-05,2.0,3.0,3.0,4.0,4.0,5.0,endEvent
3,0,1.0,0.0,,,1.0,1,3,0.0,0.0,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,eventBasedGateway
68,0,1.7794117647058822,0.11636427513727708,1.551337785436819,2.007485743974945,2.0,2,121,0.9595643948788568,0.9207638279192267,1.0,5,1,6,2.0856943598926336,5.772291038340949,0.6969319007152256,1.472990152014331e-10,1.0,2.0,2.0,2.3000000000000043,3.6499999999999986,5.329999999999998,exclusiveGateway
4,0,15.0,0.5773502691896257,13.868393472388334,16.131606527611666,15.0,14,60,1.1547005383792515,1.3333333333333333,2.0,2,14,16,0.0,-2.0,0.7286341492221236,0.023856794993470473,14.0,15.0,16.0,16.0,16.0,16.0,flowNodeRef
85,0,14.352941176470589,0.5174019027317194,13.338833447116418,15.36704890582476,15.0,15,1220,4.770209844523017,22.75490196078431,6.0,24,3,27,0.017256674373477787,-0.07983796632681761,0.991178526897992,0.8397302789505676,11.0,15.0,17.0,20.0,22.0,24.47999999999999,incoming
73,0,2.5616438356164384,0.13928811911113834,2.288639122158607,2.8346485490742697,2.0,2,187,1.1900782113638002,1.416286149162862,1.0,4,1,5,0.3505600358347661,-0.7407352653710118,0.901318330269524,3.077106062301703e-05,2.0,2.0,3.0,4.0,5.0,5.0,intermediateCatchEvent
40,0,2.025,0.13628542823324122,1.7578805606628471,2.292119439337153,2.0,2,81,0.8619447302169193,0.7429487179487178,2.0,3,1,4,0.1957062265674882,-1.0747460881230362,0.8401434609503213,5.2318824492131296e-05,1.0,2.0,3.0,3.0,3.0,3.6099999999999994,intermediateThrowEvent
4,0,2.25,0.25,1.76,2.74,2.0,2,9,0.5,0.25,0.25,1,2,3,1.1547005383792515,-0.6666666666666665,0.629776264554299,0.0012407259151036264,2.0,2.0,2.25,2.7,2.8499999999999996,2.9699999999999998,lane
55,0,1.490909090909091,0.08153711543681037,1.3310963446529427,1.6507218371652392,1.0,1,82,0.6046954321446175,0.36565656565656574,1.0,2,1,3,0.7956723133694149,-0.3521514402287256,0.7106084789848188,4.186289452769904e-09,1.0,1.0,2.0,2.0,2.299999999999997,3.0,laneSet
