file,total_tokens,execution_time,tokens_per_second,total_cost
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,4965,0.00200653076171875,2474420.0760456272,0.0006303
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird_1_0.hepsy,5032,8.057024002075195,624.548220124942,0.0006386
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird_1_1.hepsy,5061,9.166220426559448,552.1359692960878,0.0006456999999999999
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird_1_2.hepsy,5082,9.03152060508728,562.6959426010065,0.0006478
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird_2_0.hepsy,5032,0.002092123031616211,2405212.2766951565,0.0006386
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird_2_1.hepsy,5061,0.0021386146545410156,2366485.233444816,0.0006456999999999999
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,5368,0.0009562969207763672,5613319.339815508,0.0007999999999999999
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird_1_0.hepsy,6452,10.884089708328247,592.7918799734886,0.0009242
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird_1_1.hepsy,6533,15.531174182891846,420.63786826860377,0.0009329
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird_1_2.hepsy,6541,11.826318740844727,553.08842449927,0.0009347
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird_2_0.hepsy,6451,16.20467972755432,398.09487805123143,0.0009235
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird_2_1.hepsy,6526,9.528459072113037,684.8956321909026,0.0009311999999999999
2024-02-13 17.34 01%20-%20FIRFIRGCD-representations.aird.hepsy,4788,0.0019986629486083984,2395601.521173804,0.0006148
2024-02-13 17.34 01%20-%20FIRFIRGCD-representations.aird_1_0.hepsy,5098,5.3080902099609375,960.4207536701823,0.0006458
2024-02-13 17.34 01%20-%20FIRFIRGCD-representations.aird_1_1.hepsy,5095,5.903474569320679,863.0510625857221,0.0006455
2024-02-13 17.34 01%20-%20FIRFIRGCD-representations.aird_1_2.hepsy,5106,6.93640398979187,736.1162941942786,0.0006482
2024-02-13 17.34 01%20-%20FIRFIRGCD-representations.aird_2_0.hepsy,5096,5.109067916870117,997.442211165961,0.0006456
2024-02-13 17.34 01%20-%20FIRFIRGCD-representations.aird_2_1.hepsy,5097,8.303798198699951,613.8154947934537,0.0006457
2024-02-14 14.40 02%20-%20RT%20App-representations.aird.hepsy,4788,0.0029997825622558594,1596115.6852646638,0.0006148
2024-02-14 14.40 02%20-%20RT%20App-representations.aird_1_0.hepsy,5097,5.446266412734985,935.8704869966888,0.0006457
2024-02-14 14.40 02%20-%20RT%20App-representations.aird_1_1.hepsy,5098,4.9142186641693115,1037.397875102848,0.0006458
2024-02-14 14.40 02%20-%20RT%20App-representations.aird_1_2.hepsy,5106,4.709284543991089,1084.2411309622623,0.0006483999999999999
2024-02-14 14.40 02%20-%20RT%20App-representations.aird_2_0.hepsy,5096,7.584991216659546,671.8531181430022,0.0006456
2024-02-14 14.40 02%20-%20RT%20App-representations.aird_2_1.hepsy,5097,8.517716884613037,598.3997905832672,0.0006457
2024-02-14 14.50 03%20-%20RT%20App%20Paper-representations.aird.hepsy,4622,0.0010383129119873047,4451451.914580941,0.0005876
2024-02-14 14.50 03%20-%20RT%20App%20Paper-representations.aird_1_0.hepsy,4954,7.792442560195923,635.7441792776517,0.0006228
2024-02-14 14.50 03%20-%20RT%20App%20Paper-representations.aird_1_1.hepsy,4977,6.614100933074951,752.4832249099276,0.0006277
2024-02-14 14.50 03%20-%20RT%20App%20Paper-representations.aird_1_2.hepsy,4999,6.205817937850952,805.5344275425412,0.0006315
2024-02-14 14.50 03%20-%20RT%20App%20Paper-representations.aird_2_0.hepsy,4954,0.0018796920776367188,2635538.0537798074,0.0006228
2024-02-14 14.50 03%20-%20RT%20App%20Paper-representations.aird_2_1.hepsy,4977,0.0019936561584472656,2496418.4415211673,0.0006277
2024-02-14 15.04 04%20-%20RT%20App%20Paper%202-representations.aird.hepsy,4868,6.74390435218811,721.8370465797815,0.0006494
2024-02-14 15.04 04%20-%20RT%20App%20Paper%202-representations.aird_1_0.hepsy,5379,6.229267597198486,863.5044033778737,0.0007007
2024-02-14 15.40 05%20-%20Hepsy%20Example-representations.aird.hepsy,4546,0.0019996166229248047,2273435.7915822105,0.0005641999999999999
2024-02-14 15.40 05%20-%20Hepsy%20Example-representations.aird_1_0.hepsy,4646,3.664233922958374,1267.932151080841,0.0005742
2024-02-14 15.40 05%20-%20Hepsy%20Example-representations.aird_1_1.hepsy,4781,5.549811840057373,861.4706476157892,0.0005877
2024-02-14 15.40 05%20-%20Hepsy%20Example-representations.aird_1_2.hepsy,4804,4.961026668548584,968.3479491162412,0.0005946
2024-02-14 15.40 05%20-%20Hepsy%20Example-representations.aird_2_0.hepsy,4646,0.0010001659393310547,4645229.173778308,0.0005742
2024-02-14 15.40 05%20-%20Hepsy%20Example-representations.aird_2_1.hepsy,4781,0.0010008811950683594,4776790.715578847,0.0005877
2024-02-14 15.51 06%20-%20Sobel-representations.aird.hepsy,4650,6.374618768692017,729.4553868598036,0.0005909999999999999
2024-02-14 15.52 07%20-%20Roberts-representations.aird.hepsy,4762,0.0010035037994384766,4745373.164172012,0.0006182
2024-02-14 15.52 07%20-%20Roberts-representations.aird_1_0.hepsy,5181,9.41009783744812,550.578760125305,0.0006651
2024-02-14 15.52 07%20-%20Roberts-representations.aird_1_1.hepsy,5209,6.7041308879852295,776.9836369596065,0.0006688999999999999
2024-02-14 15.52 07%20-%20Roberts-representations.aird_1_2.hepsy,5238,7.233832597732544,724.0974862539477,0.0006764
2024-02-14 15.52 07%20-%20Roberts-representations.aird_2_0.hepsy,5169,7.527950286865234,686.6410912700725,0.0006615
2024-02-14 15.52 07%20-%20Roberts-representations.aird_2_1.hepsy,5209,9.851985931396484,528.7258869706529,0.0006709
2024-02-14 16.25 08%20-%20RASTA-PLP-representations.aird.hepsy,4587,0.0009987354278564453,4592807.936977799,0.0005755
2024-02-14 16.25 08%20-%20RASTA-PLP-representations.aird_1_0.hepsy,4904,6.069226264953613,808.0107390818262,0.0006072
2024-02-14 16.25 08%20-%20RASTA-PLP-representations.aird_1_1.hepsy,4904,6.761288166046143,725.3055748499113,0.0006072
2024-02-14 16.25 08%20-%20RASTA-PLP-representations.aird_1_2.hepsy,4905,5.195457935333252,944.0938721959606,0.0006073
2024-02-14 16.25 08%20-%20RASTA-PLP-representations.aird_2_0.hepsy,4904,4.952067136764526,990.293520778894,0.0006072
2024-02-14 16.25 08%20-%20RASTA-PLP-representations.aird_2_1.hepsy,4903,5.699270963668823,860.2854700636597,0.0006071
2024-02-14 17.00 09%20-%20Susan-representations.aird.hepsy,4728,5.930943012237549,797.1750850150694,0.0006148
2024-02-14 17.00 09%20-%20Susan-representations.aird_1_0.hepsy,5108,5.936091184616089,860.4989110069331,0.0006544
2024-02-14 17.46 10%20-%20JPEG_encoder-representations.aird.hepsy,4791,9.621392965316772,497.95284500597904,0.0006234999999999999
2024-02-14 17.58 11%20-%20JPEG%20Reduced-representations.aird.hepsy,4788,7.816792964935303,612.5274164837278,0.0006252
2024-02-14 18.17 12%20-%20FIRFIRGCD_ext-representations.aird.hepsy,4712,7.331017732620239,642.7484111835378,0.0006108
2024-02-14 18.30 13%20-%20FIRFIRGCD_HPV-representations.aird.hepsy,4763,0.0006642341613769531,7170664.017229002,0.0006188999999999999
2024-02-14 18.30 13%20-%20FIRFIRGCD_HPV-representations.aird_1_0.hepsy,5206,9.761932373046875,533.2960525698779,0.0006708
2024-02-14 18.30 13%20-%20FIRFIRGCD_HPV-representations.aird_1_1.hepsy,5307,7.99294114112854,663.9608507426959,0.0006937
2024-02-14 18.30 13%20-%20FIRFIRGCD_HPV-representations.aird_1_2.hepsy,5371,6.204380989074707,865.6786244200337,0.0006998999999999999
2024-02-14 18.30 13%20-%20FIRFIRGCD_HPV-representations.aird_2_0.hepsy,5189,5.50406551361084,942.7576737900878,0.0006659
2024-02-14 18.30 13%20-%20FIRFIRGCD_HPV-representations.aird_2_1.hepsy,5210,11.151746988296509,467.19137418269713,0.000668
