node,total_emissions
generate_query_node,7.634451860995557e-08
cache_context_node,6.638936645198473e-08
model_generation_node,7.171135425437698e-05
model_validation_node,6.0481749294350686e-05
model_validation_node,8.622403516680379e-05
model_validation_node,6.569040972514764e-05
model_generation_node,1.6204738039722984e-07
model_validation_node,9.004462156009466e-05
model_validation_node,5.2988734963188475e-05
model_validation_node,1.5641453822545887e-07
FILE_2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,0.0007025378533757172
