N,Missing,Mean,SE,95% Confidence Interval Lower,95% Confidence Interval Upper,Median,Mode,Sum,SD,Variance,IQR,Range,Minimum,Maximum,Skewness,Kurtosis,Shapiro-Wilk W,Shapiro-Wilk p value,25th,50th,75th,90th,95th,99th,Tag
15,0,3.2666666666666666,0.44149817091425747,2.401330251674722,4.1320030816586115,3.0,5,49,1.709915063331955,2.9238095238095236,3.0,5,1,6,0.014328605869310788,-1.393717705227642,0.9043663361169991,0.11099419046405917,2.0,3.0,5.0,5.0,5.299999999999999,5.859999999999999,dataInputAssociation
14,0,2.642857142857143,0.35714285714285715,1.9428571428571428,3.3428571428571425,3.0,1,37,1.3363062095621219,1.7857142857142858,2.5,4,1,5,0.08397307585932724,-1.166106508875739,0.8999759068060957,0.11269336154770226,1.25,3.0,3.75,4.0,4.35,4.869999999999999,dataObject
14,0,2.642857142857143,0.35714285714285715,1.9428571428571428,3.3428571428571425,3.0,1,37,1.3363062095621219,1.7857142857142858,2.5,4,1,5,0.08397307585932724,-1.166106508875739,0.8999759068060957,0.11269336154770226,1.25,3.0,3.75,4.0,4.35,4.869999999999999,dataObjectReference
13,0,1.9230769230769231,0.2106625221173716,1.5101783797268749,2.3359754664269716,2.0,2,25,0.75955452531275,0.576923076923077,1.0,2,1,3,0.11946382271747187,-1.1177777777777778,0.824738673133123,0.013617323033445199,1.0,2.0,2.0,3.0,3.0,3.0,dataOutputAssociation
7,0,1.2857142857142858,0.18442777839082938,0.9242358400682602,1.6471927313603114,1.0,1,9,0.4879500364742666,0.2380952380952381,0.5,1,1,2,0.9486832980505131,-1.1000000000000008,0.6003990298280553,0.0002751787013147552,1.0,1.0,1.5,2.0,2.0,2.0,dataStoreReference
18,0,1.1666666666666667,0.12126781251816648,0.9289817541310604,1.404351579202273,1.0,1,21,0.5144957554275265,0.2647058823529411,0.0,2,1,3,2.9629629629629624,7.481481481481479,0.3772306792896578,8.141392006024714e-08,1.0,1.0,1.0,1.3000000000000007,2.1499999999999986,2.8299999999999983,endEvent
18,0,1.6666666666666667,0.22866478019001177,1.2184836974942437,2.11484963583909,1.5,1,30,0.9701425001453318,0.9411764705882351,1.0,4,1,5,2.2980970388562785,5.8124999999999964,0.6263493425286135,1.2494414509121156e-05,1.0,1.5,2.0,2.0,2.4499999999999957,4.489999999999995,exclusiveGateway
8,0,11.5,0.6813851438692469,10.164485118016277,12.835514881983723,11.5,11,92,1.927248223318863,3.7142857142857144,2.25,6,8,14,-0.51203095036175,-0.5798816568047336,0.9561527190371175,0.7727597435862716,10.75,11.5,13.0,13.3,13.649999999999999,13.93,flowNodeRef
18,0,11.222222222222221,0.5633440975625227,10.118067790999676,12.326376653444767,11.0,11,202,2.3900665891672546,5.712418300653593,4.0,8,7,15,-0.0041596945498680845,-1.034021228576366,0.9400302233516054,0.2901306186332284,9.0,11.0,13.0,14.3,15.0,15.0,incoming
3,0,1.0,0.0,,,1.0,1,3,0.0,0.0,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,intermediateCatchEvent
2,0,1.0,0.0,,,1.0,1,2,0.0,0.0,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,intermediateThrowEvent
