N,Missing,Mean,SE,95% Confidence Interval Lower,95% Confidence Interval Upper,Median,Mode,Sum,SD,Variance,IQR,Range,Minimum,Maximum,Skewness,Kurtosis,Shapiro-Wilk W,Shapiro-Wilk p value,25th,50th,75th,90th,95th,99th,Tag
12,0,1.0,0.0,,,1.0,1,12,0.0,0.0,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,association
5,0,1.0,0.0,,,1.0,1,5,0.0,0.0,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,callActivity
4,0,3.0,1.1547005383792515,0.7367869447766671,5.263213055223333,3.0,1,12,2.309401076758503,5.333333333333333,4.0,4,1,5,0.0,-2.0,0.7286341492221236,0.023856794993470473,1.0,3.0,5.0,5.0,5.0,5.0,dataInputAssociation
4,0,2.25,0.75,0.78,3.7199999999999998,2.0,1,9,1.5,2.25,2.25,3,1,4,0.21383343303319471,-1.7201646090534979,0.8494023536905723,0.22423053858259961,1.0,2.0,3.25,3.7,3.8499999999999996,3.9699999999999998,dataObject
4,0,2.25,0.75,0.78,3.7199999999999998,2.0,1,9,1.5,2.25,2.25,3,1,4,0.21383343303319471,-1.7201646090534979,0.8494023536905723,0.22423053858259961,1.0,2.0,3.25,3.7,3.8499999999999996,3.9699999999999998,dataObjectReference
3,0,3.0,1.0,1.04,4.96,2.0,2,9,1.7320508075688772,3.0,1.5,3,2,5,0.7071067811865475,-1.5,0.7500000000000002,7.771561172376096e-16,2.0,2.0,3.5,4.4,4.699999999999999,4.9399999999999995,dataOutputAssociation
96,0,2.6145833333333335,0.13358238116787535,2.3527618662442977,2.8764048004223692,2.0,2,251,1.3088346899490537,1.7130482456140357,1.0,6,1,7,1.645518361415111,2.1884002314685054,0.7278928857949802,4.783996109124726e-12,2.0,2.0,3.0,5.0,5.25,7.0,endEvent
88,0,1.1590909090909092,0.0481810295473796,1.0646560911780452,1.2535257270037732,1.0,1,102,0.4519781206270952,0.204284221525601,0.0,3,1,4,3.651285076082971,16.6928918570653,0.38716252964476483,2.0564066081452743e-17,1.0,1.0,1.0,2.0,2.0,2.259999999999991,eventBasedGateway
95,0,2.8,0.12213113214021211,2.560622981005184,3.0393770189948155,3.0,3,266,1.1903870280693356,1.417021276595745,1.0,7,1,8,1.037769927993697,2.9532099667234855,0.8734879455425144,1.739268864685532e-07,2.0,3.0,3.0,4.0,5.0,6.1200000000000045,exclusiveGateway
1,0,22.0,,,,22.0,22,22,,,0.0,0,22,22,,,,,22.0,22.0,22.0,22.0,22.0,22.0,flowNodeRef
1,0,2.0,,,,2.0,2,2,,,0.0,0,2,2,,,,,2.0,2.0,2.0,2.0,2.0,2.0,inclusiveGateway
96,0,19.052083333333332,0.6138692699823434,17.84889956416794,20.255267102498724,17.5,16,1829,6.0146659209261895,36.176206140350885,3.0,32,10,42,2.047279323281338,4.396826885607514,0.772191375708084,6.833623001210972e-11,16.0,17.5,19.0,26.5,32.75,41.05,incoming
93,0,3.7204301075268815,0.18178224685867864,3.3641369036838715,4.076723311369892,4.0,4,346,1.7530445032537054,3.0731650303880307,2.0,9,1,10,0.7245119843836021,2.058829213060461,0.8479483494512451,2.4247415305578804e-08,2.0,4.0,4.0,5.0,6.0,9.079999999999998,intermediateCatchEvent
65,0,1.5538461538461539,0.14215168163520248,1.275228857841157,1.8324634498511507,1.0,1,101,1.1460634966970797,1.3134615384615373,1.0,6,1,7,3.1307372133463667,10.357543398665346,0.5161099600955213,2.60736709825133e-13,1.0,1.0,2.0,2.0,3.5999999999999943,6.359999999999999,intermediateThrowEvent
1,0,2.0,,,,2.0,2,2,,,0.0,0,2,2,,,,,2.0,2.0,2.0,2.0,2.0,2.0,lane
47,0,1.2340425531914894,0.062426763436828826,1.1116860968553048,1.356399009527674,1.0,1,58,0.4279763279438432,0.18316373728029606,0.0,1,1,2,1.2562972690740144,-0.42171717171717304,0.5249003662852052,4.0782122959641106e-11,1.0,1.0,1.0,2.0,2.0,2.0,laneSet
95,0,5.347368421052631,0.3288203562182904,4.702880522864782,5.991856319240481,5.0,5,508,3.204944388446502,10.271668533034722,2.0,21,1,22,3.058587249050749,13.328379493516803,0.7041735821104634,1.5343066702550219e-12,4.0,5.0,6.0,7.6000000000000085,10.0,22.0,messageEventDefinition
1,0,1.0,,,,1.0,1,1,,,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,multiInstanceLoopCharacteristics
96,0,19.052083333333332,0.6138692699823434,17.84889956416794,20.255267102498724,17.5,16,1829,6.0146659209261895,36.176206140350885,3.0,32,10,42,2.047279323281338,4.396826885607514,0.772191375708084,6.833623001210972e-11,16.0,17.5,19.0,26.5,32.75,41.05,outgoing
2,0,2.0,0.0,,,2.0,2,4,0.0,0.0,0.0,0,2,2,,,,,2.0,2.0,2.0,2.0,2.0,2.0,parallelGateway
96,0,1.46875,0.051198626369320335,1.3684006923161323,1.5690993076838677,1.0,1,141,0.501642040544954,0.25164473684210525,1.0,1,1,2,0.1252448582170299,-1.9843137254901961,0.6349844184133802,4.227702149768986e-14,1.0,1.0,2.0,2.0,2.0,2.0,process
4,0,3.0,1.1547005383792515,0.7367869447766671,5.263213055223333,3.0,1,12,2.309401076758503,5.333333333333333,4.0,4,1,5,0.0,-2.0,0.7286341492221236,0.023856794993470473,1.0,3.0,5.0,5.0,5.0,5.0,property
96,0,19.052083333333332,0.6138692699823434,17.84889956416794,20.255267102498724,17.5,16,1829,6.0146659209261895,36.176206140350885,3.0,32,10,42,2.047279323281338,4.396826885607514,0.772191375708084,6.833623001210972e-11,16.0,17.5,19.0,26.5,32.75,41.05,sequenceFlow
4,0,3.0,1.1547005383792515,0.7367869447766671,5.263213055223333,3.0,1,12,2.309401076758503,5.333333333333333,4.0,4,1,5,0.0,-2.0,0.7286341492221236,0.023856794993470473,1.0,3.0,5.0,5.0,5.0,5.0,sourceRef
2,0,1.0,0.0,,,1.0,1,2,0.0,0.0,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,standardLoopCharacteristics
96,0,1.6979166666666667,0.1413591541189193,1.420852724593585,1.9749806087397486,1.0,1,163,1.385031192251197,1.9183114035087723,1.0,6,1,7,2.3449850780362427,4.763787290387382,0.5665337782472764,2.191521750847213e-15,1.0,1.0,2.0,3.0,6.0,6.049999999999997,startEvent
32,0,1.21875,0.1075232064224037,1.0080045154120887,1.4294954845879113,1.0,1,39,0.6082431071696208,0.3699596774193548,0.0,3,1,4,3.3700728401982936,11.934768243880347,0.4124557145583426,3.2653373201596874e-10,1.0,1.0,1.0,2.0,2.0,3.3800000000000026,subProcess
4,0,5.25,1.6520189667999174,2.012042825072162,8.487957174927839,4.0,3,21,3.304037933599835,10.916666666666666,3.25,7,3,10,0.9003820431239704,-0.9103199114270728,0.807811511994422,0.11698307370703143,3.0,4.0,6.25,8.5,9.249999999999998,9.849999999999998,targetRef
96,0,4.510416666666667,0.26157199860309277,3.997735549404605,5.023097783928729,4.0,4,433,2.562871710310286,6.568311403508771,3.0,11,1,12,1.0967379409348612,0.5486628141077197,0.8791695433299569,2.637977151406091e-07,3.0,4.0,6.0,8.0,10.25,11.049999999999997,task
48,0,1.2083333333333333,0.07267881673425385,1.0658828525341957,1.3507838141324708,1.0,1,58,0.5035336128708592,0.25354609929078026,0.0,2,1,3,2.377734274607574,4.788204802190815,0.46629483452385523,5.670678412594432e-12,1.0,1.0,1.0,2.0,2.0,3.0,terminateEventDefinition
12,0,1.0,0.0,,,1.0,1,12,0.0,0.0,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,text
12,0,1.0,0.0,,,1.0,1,12,0.0,0.0,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,textAnnotation
93,0,1.1935483870967742,0.06164729586489738,1.0727196872015754,1.314377086991973,1.0,1,111,0.5945049916806755,0.35343618513324,0.0,4,1,5,4.2880464889379155,21.341376133786845,0.36183562033865013,3.1753648500631578e-18,1.0,1.0,1.0,2.0,2.0,4.079999999999998,timerEventDefinition
