N,Missing,Mean,SE,95% Confidence Interval Lower,95% Confidence Interval Upper,Median,Mode,Sum,SD,Variance,IQR,Range,Minimum,Maximum,Skewness,Kurtosis,Shapiro-Wilk W,Shapiro-Wilk p value,25th,50th,75th,90th,95th,99th,Tag,Category,Tag-Synth,Occurrency
68,0,1.985294118,0.014705882,1.956470588,2.014117647,2,2,135,0.121267813,0.014705882,0,1,1,2,-8.063183328,63.01492537,0.100277615,2.28E-18,2,2,2,2,2,2,endEvent,Flow objects ,EndEvent,2
67,0,1.014925373,0.014925373,0.985671642,1.044179104,1,1,68,0.122169444,0.014925373,0,1,1,2,8.000946914,62.01515152,0.101377057,3.12E-18,1,1,1,1,1,1.34,exclusiveGateway,Flow objects ,ExclusiveGateway,1
68,0,12.52941176,0.214151026,12.10967575,12.94914778,13,13,852,1.765934603,3.118525022,1,8,7,15,-0.999138229,0.847653397,0.842456351,5.27E-07,12,13,13,15,15,15,incoming,Connecting objects,incoming,9
1,0,1,,,,1,1,1,,,0,0,1,1,,,,,1,1,1,1,1,1,intermediateThrowEvent,Flow objects ,intermediateThrowEvent,0
4,0,2,0,,,2,2,8,0,0,0,0,2,2,,,,,2,2,2,2,2,2,messageEventDefinition,Connecting objects,messageEventDefinition,0
68,0,12.52941176,0.214151026,12.10967575,12.94914778,13,13,852,1.765934603,3.118525022,1,8,7,15,-0.999138229,0.847653397,0.842456351,5.27E-07,12,13,13,15,15,15,outgoing,Connecting objects,outgoing,8
58,0,2,0,,,2,2,116,0,0,0,0,2,2,,,,,2,2,2,2,2,2,parallelGateway,Flow objects ,parallelGateway,0
68,0,12.52941176,0.214151026,12.10967575,12.94914778,13,13,852,1.765934603,3.118525022,1,8,7,15,-0.999138229,0.847653397,0.842456351,5.27E-07,12,13,13,15,15,15,sequenceFlow,Connecting objects,SequenceFlow,9
68,0,1,0,,,1,1,68,0,0,0,0,1,1,,,,,1,1,1,1,1,1,startEvent,Flow objects ,StartEvent,1
68,0,6.147058824,0.109401569,5.932631749,6.361485898,6,6,418,0.902148445,0.813871817,0,4,4,8,0.690687125,0.408702604,0.791025614,1.96E-08,6,6,6,8,8,8,task,Flow objects ,UserTask,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sourceRef,Connecting objects,sourceRef,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,targetRef,Connecting objects,targetRef,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,laneSets,Swim lanes,laneSets,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lanes,Swim lanes,lanes,1
