N,Missing,Mean,SE,95% Confidence Interval Lower,95% Confidence Interval Upper,Median,Mode,Sum,SD,Variance,IQR,Range,Minimum,Maximum,Skewness,Kurtosis,Shapiro-Wilk W,Shapiro-Wilk p value,25th,50th,75th,90th,95th,99th,Tag,Category,Tag-Synth,Occurrency
30,0,1.266666667,0.095090197,1.08028988,1.453043453,1,1,38,0.52083046,0.271264368,0,2,1,3,1.771893144,2.273484631,0.558718028,2.37E-08,1,1,1,2,2,2.71,association,Flow objects ,association,0
9,0,1,0,,,1,1,9,0,0,0,0,1,1,,,,,1,1,1,1,1,1,callActivity,Flow objects ,CallActivity,1
7,0,3,0.654653671,1.716878805,4.283121195,3,1,21,1.732050808,3,3,4,1,5,0,-1.574074074,0.883016456,0.240177905,1.5,3,4.5,5,5,5,dataObject,Artifacts,dataObject,0
98,0,1.540816327,0.069817422,1.40397418,1.677658474,1,1,151,0.691157215,0.477698296,1,2,1,3,0.888811605,-0.442252804,0.719508739,2.17E-12,1,1,2,3,3,3,endEvent,Flow objects ,EndEvent,1
50,0,1.02,0.02,0.9808,1.0592,1,1,51,0.141421356,0.02,0,1,1,2,6.857142857,45.02040816,0.125428405,1.13E-15,1,1,1,1,1,1.51,eventBasedGateway,Flow objects ,eventBasedGateway,0
53,0,1.377358491,0.105117306,1.17132857,1.583388411,1,1,73,0.765265542,0.58563135,1,4,1,5,2.888505553,9.702388027,0.530288803,8.97E-12,1,1,2,2,2,4.48,exclusiveGateway,Flow objects ,exclusiveGateway,0
98,0,16.83673469,0.326504312,16.19678624,17.47668315,17,17,1650,3.232227783,10.44729644,4,17,8,25,-0.215181066,-0.075337744,0.981609798,0.187239992,15,17,19,20,22,23.06,incoming,Connecting objects,incoming,5
79,0,1.962025316,0.073054199,1.818839087,2.105211546,2,2,155,0.64931992,0.421616358,0,3,1,4,0.60094441,1.284367794,0.763203662,5.91E-10,2,2,2,3,3,4,intermediateCatchEvent,Flow objects ,intermediateCatchEvent,0
55,0,1.345454545,0.082951374,1.182869852,1.508039239,1,1,74,0.615183857,0.378451178,1,2,1,3,1.569605809,1.288487355,0.597355097,4.93E-11,1,1,2,2,3,3,intermediateThrowEvent,Flow objects ,intermediateThrowEvent,0
91,0,2.395604396,0.062271062,2.273553114,2.517655678,2,2,218,0.594028074,0.352869353,1,2,2,4,1.20859124,0.434751739,0.654798331,2.60E-13,2,2,3,3,3.5,4,lane,Swim lanes,lanes,2
93,0,1.010752688,0.010752688,0.989677419,1.031827957,1,1,94,0.103695169,0.010752688,0,1,1,2,9.48740584,88.01086957,0.079423809,1.94E-21,1,1,1,1,1,1.08,laneSet,Swim lanes,laneSets,2
98,0,16.84693878,0.328001696,16.20405545,17.4898221,17,17,1651,3.247051131,10.54334105,4,17,8,25,-0.201901548,-0.087445037,0.98156864,0.185910731,15,17,19,20,22,23.06,outgoing,Connecting objects,outgoing,6
90,0,3.466666667,0.096376291,3.277769136,3.655564197,4,4,312,0.914305778,0.835955056,1,5,1,6,-0.521937581,1.071626778,0.811981541,2.38E-09,3,4,4,4,4,6,parallelGateway,Flow objects ,parallelGateway,0
98,0,16.80612245,0.324553834,16.16999693,17.44224796,17,17,1647,3.212919035,10.32284873,4,16,8,24,-0.228665397,-0.152619257,0.979775651,0.135932353,15,17,19,20,22,23.03,sequenceFlow,Connecting objects,SequenceFlow,6
6,0,3.166666667,0.600925213,1.98885325,4.344480083,3.5,4,19,1.471960144,2.166666667,1.75,4,1,5,-0.30531627,-1.151715976,0.958012064,0.804296017,2.25,3.5,4,4.5,4.75,4.95,sourceRef,Connecting objects,sourceRef,6
98,0,1.316326531,0.076198522,1.166977427,1.465675634,1,1,129,0.754326883,0.569009047,0,4,1,5,2.88547948,8.569827593,0.48053873,5.59E-17,1,1,1,2,3,4.03,startEvent,Flow objects ,StartEvent,1
68,0,1.132352941,0.05091098,1.03256742,1.232138462,1,1,77,0.419822698,0.176251097,0,2,1,3,3.282557932,10.25691949,0.351876004,9.19E-16,1,1,1,1.3,2,3,subProcess,Flow objects ,subProcess,0
6,0,6.5,1.087811258,4.367889934,8.632110066,6.5,6,39,2.664582519,7.1,1.75,8,2,10,-0.521129441,-0.308272168,0.945465672,0.703468372,6,6.5,7.75,9,9.5,9.9,targetRef,Connecting objects,targetRef,5
98,0,5.336734694,0.160175502,5.02279071,5.650678677,5,4,523,1.585656569,2.514306754,2,9,1,10,0.527316005,1.004511345,0.936046096,0.000131167,4,5,6,7,8,10,task,Flow objects ,UserTask,7
33,0,1.272727273,0.089957137,1.096411284,1.449043261,1,1,42,0.516764409,0.267045455,0,2,1,3,1.687647781,1.96989588,0.567446506,1.07E-08,1,1,1,2,2,2.68,textAnnotation,Artifacts,textAnnotation,0
