N,Missing,Mean,SE,95% Confidence Interval Lower,95% Confidence Interval Upper,Median,Mode,Sum,SD,Variance,IQR,Range,Minimum,Maximum,Skewness,Kurtosis,Shapiro-Wilk W,Shapiro-Wilk p value,25th,50th,75th,90th,95th,99th,Tag,Category,Tag-Synth,Occurrency
1,0,1,,,,1,1,1,,,0,0,1,1,,,,,1,1,1,1,1,1,association,Flow objects ,association,0
52,0,4.730769231,0.349655492,4.045444467,5.416093994,4.5,3,246,2.521401607,6.357466063,3,10,1,11,0.411173991,-0.474723133,0.957189336,0.059142434,3,4.5,6,8,9,10.49,dataObject,Artifacts,DataObject,1
62,0,1.85483871,0.116911548,1.625692076,2.083985343,2,2,115,0.920562447,0.847435219,1,4,1,5,1.81563692,4.243531533,0.704121296,7.00E-10,1,2,2,2.9,3,5,endEvent,Flow objects ,EndEvent,1
65,0,3.646153846,0.124866793,3.401414932,3.89089276,4,4,237,1.006708269,1.013461538,1,4,1,5,-0.636914318,-0.020469369,0.8766251,1.02E-05,3,4,4,5,5,5,exclusiveGateway,Flow objects ,ExclusiveGateway,3
65,0,14.70769231,0.410629838,13.90285783,15.51252679,16,16,956,3.310603594,10.96009615,5,15,5,20,-0.782137586,0.451637597,0.938776019,0.003044506,12,16,17,18,19,20,incoming,Connecting objects,incoming,12
9,0,1.555555556,0.242161052,1.080919893,2.030191218,1,1,14,0.726483157,0.527777778,1,2,1,3,0.836721014,-0.502770083,0.763013589,0.007670534,1,1,2,2.2,2.6,2.92,intermediateCatchEvent,Flow objects ,intermediateCatchEvent,0
4,0,2.75,0.25,2.26,3.24,3,3,11,0.5,0.25,0.25,1,2,3,-1.154700538,-0.666666667,0.629776265,0.001240726,2.75,3,3,3,3,3,intermediateThrowEvent,Flow objects ,intermediateThrowEvent,0
64,0,3.078125,0.130446211,2.822450426,3.333799574,3,3,197,1.04356969,1.089037698,1,4,2,6,1.026071769,0.530994512,0.820955373,2.39E-07,2,3,3,5,5,6,lane,Swim lanes,lanes,3
65,0,1.030769231,0.021586485,0.98845972,1.073078741,1,1,67,0.174035805,0.030288462,0,1,1,2,5.434311919,27.53174603,0.165935124,2.26E-17,1,1,1,1,1,2,laneSet,Swim lanes,laneSets,1
65,0,14.70769231,0.410629838,13.90285783,15.51252679,16,16,956,3.310603594,10.96009615,5,15,5,20,-0.782137586,0.451637597,0.938776019,0.003044506,12,16,17,18,19,20,outgoing,Connecting objects,outgoing,12
1,0,1,,,,1,1,1,,,0,0,1,1,,,,,1,1,1,1,1,1,parallelGateway,Flow objects ,parallelGateway,0
65,0,14.70769231,0.410629838,13.90285783,15.51252679,16,16,956,3.310603594,10.96009615,5,15,5,20,-0.782137586,0.451637597,0.938776019,0.003044506,12,16,17,18,19,20,sequenceFlow,Connecting objects,SequenceFlow,16
52,0,5.25,0.427094255,4.412895261,6.087104739,5,5,273,3.079820468,9.485294118,4.5,12,1,13,0.445536602,-0.497035835,0.950944785,0.031936754,2.75,5,7.25,9,10.45,12.49,sourceRef,Connecting objects,sourceRef,16
64,0,1.453125,0.088891117,1.27889841,1.62735159,1,1,93,0.711128937,0.505704365,1,2,1,3,1.233930563,0.075743694,0.64651919,3.84E-11,1,1,2,3,3,3,startEvent,Flow objects ,StartEvent,1
56,0,8.321428571,0.632510532,7.081707928,9.561149214,8,7,466,4.73327541,22.4038961,6,22,1,23,0.655686533,0.331071918,0.956858448,0.043492525,5,8,11,15,17,19.7,targetRef,Connecting objects,targetRef,12
65,0,7.923076923,0.217401273,7.496970428,8.349183419,8,8,515,1.7527451,3.072115385,1,8,3,11,-0.934617669,0.987809224,0.860728342,3.05E-06,8,8,9,9.6,10.8,11,task,Flow objects ,Task,8
1,0,1,,,,1,1,1,,,0,0,1,1,,,,,1,1,1,1,1,1,textAnnotation,Artifacts,textAnnotation,0
