File,Tag,Occurrences,Category
ex05_writer0013.bpmn,incoming,14,Connecting Objects
ex05_writer0013.bpmn,outgoing,14,Connecting Objects
ex05_writer0013.bpmn,sequenceFlow,14,Connecting Objects
ex05_writer0013.bpmn,flowNodeRef,12,Uncategorized
ex05_writer0013.bpmn,targetRef,10,Connecting Objects
ex05_writer0013.bpmn,property,5,Uncategorized
ex05_writer0013.bpmn,dataInputAssociation,5,Uncategorized
ex05_writer0013.bpmn,dataOutputAssociation,5,Uncategorized
ex05_writer0013.bpmn,task,5,Flow Objects
ex05_writer0013.bpmn,sourceRef,5,Connecting Objects
ex05_writer0013.bpmn,messageEventDefinition,4,Uncategorized
ex05_writer0013.bpmn,process,3,Uncategorized
ex05_writer0013.bpmn,exclusiveGateway,3,Flow Objects
ex05_writer0013.bpmn,dataObjectReference,2,Uncategorized
ex05_writer0013.bpmn,lane,2,Swim Lanes
ex05_writer0013.bpmn,dataObject,2,Artifacts
ex05_writer0013.bpmn,laneSet,1,Swim Lanes
ex05_writer0013.bpmn,intermediateThrowEvent,1,Flow Objects
ex05_writer0013.bpmn,intermediateCatchEvent,1,Flow Objects
ex05_writer0013.bpmn,startEvent,1,Flow Objects
ex05_writer0013.bpmn,endEvent,1,Flow Objects
ex05_writer0014.bpmn,incoming,17,Connecting Objects
ex05_writer0014.bpmn,outgoing,17,Connecting Objects
ex05_writer0014.bpmn,sequenceFlow,17,Connecting Objects
ex05_writer0014.bpmn,flowNodeRef,16,Uncategorized
ex05_writer0014.bpmn,task,9,Flow Objects
ex05_writer0014.bpmn,exclusiveGateway,4,Flow Objects
ex05_writer0014.bpmn,lane,2,Swim Lanes
ex05_writer0014.bpmn,endEvent,2,Flow Objects
ex05_writer0014.bpmn,process,1,Uncategorized
ex05_writer0014.bpmn,messageEventDefinition,1,Uncategorized
ex05_writer0014.bpmn,laneSet,1,Swim Lanes
ex05_writer0014.bpmn,startEvent,1,Flow Objects
ex05_writer0019.bpmn,outgoing,17,Connecting Objects
ex05_writer0019.bpmn,incoming,17,Connecting Objects
ex05_writer0019.bpmn,sequenceFlow,17,Connecting Objects
ex05_writer0019.bpmn,flowNodeRef,15,Uncategorized
ex05_writer0019.bpmn,task,8,Flow Objects
ex05_writer0019.bpmn,exclusiveGateway,5,Flow Objects
ex05_writer0019.bpmn,process,3,Uncategorized
ex05_writer0019.bpmn,lane,2,Swim Lanes
ex05_writer0019.bpmn,messageEventDefinition,1,Uncategorized
ex05_writer0019.bpmn,laneSet,1,Swim Lanes
ex05_writer0019.bpmn,startEvent,1,Flow Objects
ex05_writer0019.bpmn,endEvent,1,Flow Objects
ex05_writer0024.bpmn,incoming,17,Connecting Objects
ex05_writer0024.bpmn,outgoing,17,Connecting Objects
ex05_writer0024.bpmn,sequenceFlow,17,Connecting Objects
ex05_writer0024.bpmn,flowNodeRef,16,Uncategorized
ex05_writer0024.bpmn,task,9,Flow Objects
ex05_writer0024.bpmn,targetRef,6,Connecting Objects
ex05_writer0024.bpmn,exclusiveGateway,4,Flow Objects
ex05_writer0024.bpmn,property,3,Uncategorized
ex05_writer0024.bpmn,dataInputAssociation,3,Uncategorized
ex05_writer0024.bpmn,dataOutputAssociation,3,Uncategorized
ex05_writer0024.bpmn,lane,3,Swim Lanes
ex05_writer0024.bpmn,sourceRef,3,Connecting Objects
ex05_writer0024.bpmn,dataObjectReference,2,Uncategorized
ex05_writer0024.bpmn,endEvent,2,Flow Objects
ex05_writer0024.bpmn,dataObject,2,Artifacts
ex05_writer0024.bpmn,process,1,Uncategorized
ex05_writer0024.bpmn,dataStoreReference,1,Uncategorized
ex05_writer0024.bpmn,messageEventDefinition,1,Uncategorized
ex05_writer0024.bpmn,textAnnotation,1,Uncategorized
ex05_writer0024.bpmn,text,1,Uncategorized
ex05_writer0024.bpmn,laneSet,1,Swim Lanes
ex05_writer0024.bpmn,startEvent,1,Flow Objects
ex05_writer0024.bpmn,association,1,Flow Objects
ex05_writer0028.bpmn,incoming,16,Connecting Objects
ex05_writer0028.bpmn,outgoing,16,Connecting Objects
ex05_writer0028.bpmn,sequenceFlow,16,Connecting Objects
ex05_writer0028.bpmn,flowNodeRef,14,Uncategorized
ex05_writer0028.bpmn,task,7,Flow Objects
ex05_writer0028.bpmn,targetRef,4,Connecting Objects
ex05_writer0028.bpmn,property,3,Uncategorized
ex05_writer0028.bpmn,dataInputAssociation,3,Uncategorized
ex05_writer0028.bpmn,exclusiveGateway,3,Flow Objects
ex05_writer0028.bpmn,sourceRef,3,Connecting Objects
ex05_writer0028.bpmn,dataStoreReference,2,Uncategorized
ex05_writer0028.bpmn,dataObjectReference,2,Uncategorized
ex05_writer0028.bpmn,lane,2,Swim Lanes
ex05_writer0028.bpmn,parallelGateway,2,Flow Objects
ex05_writer0028.bpmn,dataObject,2,Artifacts
ex05_writer0028.bpmn,process,1,Uncategorized
ex05_writer0028.bpmn,dataOutputAssociation,1,Uncategorized
ex05_writer0028.bpmn,messageEventDefinition,1,Uncategorized
ex05_writer0028.bpmn,laneSet,1,Swim Lanes
ex05_writer0028.bpmn,startEvent,1,Flow Objects
ex05_writer0028.bpmn,endEvent,1,Flow Objects
ex05_writer0042.bpmn,flowNodeRef,20,Uncategorized
ex05_writer0042.bpmn,incoming,20,Connecting Objects
ex05_writer0042.bpmn,outgoing,20,Connecting Objects
ex05_writer0042.bpmn,sequenceFlow,20,Connecting Objects
ex05_writer0042.bpmn,task,10,Flow Objects
ex05_writer0042.bpmn,targetRef,8,Connecting Objects
ex05_writer0042.bpmn,property,4,Uncategorized
ex05_writer0042.bpmn,dataInputAssociation,4,Uncategorized
ex05_writer0042.bpmn,dataOutputAssociation,4,Uncategorized
ex05_writer0042.bpmn,dataObjectReference,4,Uncategorized
ex05_writer0042.bpmn,endEvent,4,Flow Objects
ex05_writer0042.bpmn,sourceRef,4,Connecting Objects
ex05_writer0042.bpmn,dataObject,4,Artifacts
ex05_writer0042.bpmn,exclusiveGateway,3,Flow Objects
ex05_writer0042.bpmn,lane,2,Swim Lanes
ex05_writer0042.bpmn,parallelGateway,2,Flow Objects
ex05_writer0042.bpmn,process,1,Uncategorized
ex05_writer0042.bpmn,dataStoreReference,1,Uncategorized
ex05_writer0042.bpmn,messageEventDefinition,1,Uncategorized
ex05_writer0042.bpmn,laneSet,1,Swim Lanes
ex05_writer0042.bpmn,startEvent,1,Flow Objects
ex05_writer0048.bpmn,incoming,15,Connecting Objects
ex05_writer0048.bpmn,outgoing,15,Connecting Objects
ex05_writer0048.bpmn,sequenceFlow,15,Connecting Objects
ex05_writer0048.bpmn,flowNodeRef,11,Uncategorized
ex05_writer0048.bpmn,task,8,Flow Objects
ex05_writer0048.bpmn,exclusiveGateway,3,Flow Objects
ex05_writer0048.bpmn,lane,2,Swim Lanes
ex05_writer0048.bpmn,endEvent,2,Flow Objects
ex05_writer0048.bpmn,process,1,Uncategorized
ex05_writer0048.bpmn,messageEventDefinition,1,Uncategorized
ex05_writer0048.bpmn,laneSet,1,Swim Lanes
ex05_writer0048.bpmn,startEvent,1,Flow Objects
ex05_writer0053.bpmn,flowNodeRef,13,Uncategorized
ex05_writer0053.bpmn,outgoing,13,Connecting Objects
ex05_writer0053.bpmn,incoming,13,Connecting Objects
ex05_writer0053.bpmn,sequenceFlow,13,Connecting Objects
ex05_writer0053.bpmn,targetRef,6,Connecting Objects
ex05_writer0053.bpmn,task,5,Flow Objects
ex05_writer0053.bpmn,messageEventDefinition,4,Uncategorized
ex05_writer0053.bpmn,dataOutputAssociation,3,Uncategorized
ex05_writer0053.bpmn,property,3,Uncategorized
ex05_writer0053.bpmn,dataInputAssociation,3,Uncategorized
ex05_writer0053.bpmn,dataObjectReference,3,Uncategorized
ex05_writer0053.bpmn,endEvent,3,Flow Objects
ex05_writer0053.bpmn,sourceRef,3,Connecting Objects
ex05_writer0053.bpmn,dataObject,3,Artifacts
ex05_writer0053.bpmn,lane,2,Swim Lanes
ex05_writer0053.bpmn,exclusiveGateway,2,Flow Objects
ex05_writer0053.bpmn,parallelGateway,2,Flow Objects
ex05_writer0053.bpmn,process,1,Uncategorized
ex05_writer0053.bpmn,laneSet,1,Swim Lanes
ex05_writer0053.bpmn,startEvent,1,Flow Objects
ex05_writer0056.bpmn,flowNodeRef,12,Uncategorized
ex05_writer0056.bpmn,incoming,12,Connecting Objects
ex05_writer0056.bpmn,outgoing,12,Connecting Objects
ex05_writer0056.bpmn,sequenceFlow,12,Connecting Objects
ex05_writer0056.bpmn,task,8,Flow Objects
ex05_writer0056.bpmn,process,2,Uncategorized
ex05_writer0056.bpmn,lane,2,Swim Lanes
ex05_writer0056.bpmn,exclusiveGateway,2,Flow Objects
ex05_writer0056.bpmn,messageEventDefinition,1,Uncategorized
ex05_writer0056.bpmn,laneSet,1,Swim Lanes
ex05_writer0056.bpmn,endEvent,1,Flow Objects
ex05_writer0056.bpmn,startEvent,1,Flow Objects
ex05_writer0058.bpmn,flowNodeRef,22,Uncategorized
ex05_writer0058.bpmn,incoming,21,Connecting Objects
ex05_writer0058.bpmn,outgoing,21,Connecting Objects
ex05_writer0058.bpmn,sequenceFlow,21,Connecting Objects
ex05_writer0058.bpmn,task,12,Flow Objects
ex05_writer0058.bpmn,dataObjectReference,6,Uncategorized
ex05_writer0058.bpmn,dataObject,6,Artifacts
ex05_writer0058.bpmn,endEvent,5,Flow Objects
ex05_writer0058.bpmn,exclusiveGateway,4,Flow Objects
ex05_writer0058.bpmn,lane,2,Swim Lanes
ex05_writer0058.bpmn,process,1,Uncategorized
ex05_writer0058.bpmn,messageEventDefinition,1,Uncategorized
ex05_writer0058.bpmn,property,1,Uncategorized
ex05_writer0058.bpmn,dataInputAssociation,1,Uncategorized
ex05_writer0058.bpmn,laneSet,1,Swim Lanes
ex05_writer0058.bpmn,startEvent,1,Flow Objects
ex05_writer0058.bpmn,sourceRef,1,Connecting Objects
ex05_writer0058.bpmn,targetRef,1,Connecting Objects
ex05_writer0059.bpmn,incoming,19,Connecting Objects
ex05_writer0059.bpmn,outgoing,19,Connecting Objects
ex05_writer0059.bpmn,sequenceFlow,19,Connecting Objects
ex05_writer0059.bpmn,flowNodeRef,16,Uncategorized
ex05_writer0059.bpmn,task,11,Flow Objects
ex05_writer0059.bpmn,targetRef,9,Connecting Objects
ex05_writer0059.bpmn,dataObjectReference,7,Uncategorized
ex05_writer0059.bpmn,dataObject,7,Artifacts
ex05_writer0059.bpmn,dataInputAssociation,5,Uncategorized
ex05_writer0059.bpmn,sourceRef,5,Connecting Objects
ex05_writer0059.bpmn,property,4,Uncategorized
ex05_writer0059.bpmn,dataOutputAssociation,4,Uncategorized
ex05_writer0059.bpmn,exclusiveGateway,3,Flow Objects
ex05_writer0059.bpmn,endEvent,3,Flow Objects
ex05_writer0059.bpmn,process,2,Uncategorized
ex05_writer0059.bpmn,dataStoreReference,2,Uncategorized
ex05_writer0059.bpmn,lane,2,Swim Lanes
ex05_writer0059.bpmn,startEvent,2,Flow Objects
ex05_writer0059.bpmn,laneSet,1,Swim Lanes
ex05_writer0061.bpmn,flowNodeRef,12,Uncategorized
ex05_writer0061.bpmn,incoming,12,Connecting Objects
ex05_writer0061.bpmn,outgoing,12,Connecting Objects
ex05_writer0061.bpmn,sequenceFlow,12,Connecting Objects
ex05_writer0061.bpmn,task,8,Flow Objects
ex05_writer0061.bpmn,targetRef,3,Connecting Objects
ex05_writer0061.bpmn,dataOutputAssociation,2,Uncategorized
ex05_writer0061.bpmn,dataObjectReference,2,Uncategorized
ex05_writer0061.bpmn,lane,2,Swim Lanes
ex05_writer0061.bpmn,exclusiveGateway,2,Flow Objects
ex05_writer0061.bpmn,dataObject,2,Artifacts
ex05_writer0061.bpmn,process,1,Uncategorized
ex05_writer0061.bpmn,property,1,Uncategorized
ex05_writer0061.bpmn,dataInputAssociation,1,Uncategorized
ex05_writer0061.bpmn,dataStoreReference,1,Uncategorized
ex05_writer0061.bpmn,messageEventDefinition,1,Uncategorized
ex05_writer0061.bpmn,laneSet,1,Swim Lanes
ex05_writer0061.bpmn,startEvent,1,Flow Objects
ex05_writer0061.bpmn,endEvent,1,Flow Objects
ex05_writer0061.bpmn,sourceRef,1,Connecting Objects
ex05_writer0063.bpmn,flowNodeRef,18,Uncategorized
ex05_writer0063.bpmn,outgoing,17,Connecting Objects
ex05_writer0063.bpmn,incoming,17,Connecting Objects
ex05_writer0063.bpmn,sequenceFlow,17,Connecting Objects
ex05_writer0063.bpmn,task,10,Flow Objects
ex05_writer0063.bpmn,endEvent,4,Flow Objects
ex05_writer0063.bpmn,targetRef,4,Connecting Objects
ex05_writer0063.bpmn,dataInputAssociation,3,Uncategorized
ex05_writer0063.bpmn,exclusiveGateway,3,Flow Objects
ex05_writer0063.bpmn,sourceRef,3,Connecting Objects
ex05_writer0063.bpmn,property,2,Uncategorized
ex05_writer0063.bpmn,dataObjectReference,2,Uncategorized
ex05_writer0063.bpmn,lane,2,Swim Lanes
ex05_writer0063.bpmn,dataObject,2,Artifacts
ex05_writer0063.bpmn,process,1,Uncategorized
ex05_writer0063.bpmn,dataOutputAssociation,1,Uncategorized
ex05_writer0063.bpmn,dataStoreReference,1,Uncategorized
ex05_writer0063.bpmn,laneSet,1,Swim Lanes
ex05_writer0063.bpmn,startEvent,1,Flow Objects
ex05_writer0066.bpmn,flowNodeRef,22,Uncategorized
ex05_writer0066.bpmn,incoming,21,Connecting Objects
ex05_writer0066.bpmn,outgoing,21,Connecting Objects
ex05_writer0066.bpmn,sequenceFlow,21,Connecting Objects
ex05_writer0066.bpmn,task,10,Flow Objects
