N,Missing,Mean,SE,95% Confidence Interval Lower,95% Confidence Interval Upper,Median,Mode,Sum,SD,Variance,IQR,Range,Minimum,Maximum,Skewness,Kurtosis,Shapiro-Wilk W,Shapiro-Wilk p value,25th,50th,75th,90th,95th,99th,Tag,Category,Tag-Synth,Occurrency
2,0,1,0,,,1,1,2,0,0,0,0,1,1,,,,,1,1,1,1,1,1,association,Flow objects ,association,0
1,0,1,,,,1,1,1,,,0,0,1,1,,,,,1,1,1,1,1,1,callActivity,Flow objects ,callActivity,0
61,0,3.672131148,0.229898185,3.221530704,4.122731591,3,3,224,1.795562228,3.224043716,3,8,1,9,0.622450429,0.181606119,0.939431735,0.004668223,2,3,5,6,7,8.4,dataObject,Artifacts,DataObject,2
61,0,1.06557377,0.039593926,0.987969676,1.143177865,1,1,65,0.309238444,0.095628415,0,2,1,3,5.031536501,25.77278367,0.221280411,2.54E-16,1,1,1,1,1,2.4,endEvent,Flow objects ,EndEvent,1
69,0,1.362318841,0.058289831,1.248070772,1.476566909,1,1,94,0.4841917,0.234441603,1,1,1,2,0.572871555,-1.671818182,0.6083523,2.80E-12,1,1,2,2,2,2,exclusiveGateway,Flow objects ,ExclusiveGateway,1
69,0,9.173913043,0.269156525,8.646366254,9.701459833,9,9,633,2.235782017,4.998721228,4,10,5,15,0.472256336,-0.536946441,0.947321415,0.005692954,7,9,11,12,13,14.32,incoming,Connecting objects,incoming,7
1,0,1,,,,1,1,1,,,0,0,1,1,,,,,1,1,1,1,1,1,intermediateCatchEvent,Flow objects ,intermediateCatchEvent,0
1,0,2,,,,2,2,2,,,0,0,2,2,,,,,2,2,2,2,2,2,intermediateThrowEvent,Flow objects ,intermediateThrowEvent,0
68,0,2.235294118,0.059695037,2.118291846,2.352296389,2,2,152,0.492257882,0.242317823,0,2,2,4,1.973281157,3.105229994,0.520802537,1.48E-13,2,2,2,3,3,4,lane,Swim lanes,lanes,2
68,0,1.014705882,0.014705882,0.985882353,1.043529412,1,1,69,0.121267813,0.014705882,0,1,1,2,8.063183328,63.01492537,0.100277615,2.28E-18,1,1,1,1,1,1.33,laneSet,Swim lanes,laneSets,1
69,0,9.173913043,0.269156525,8.646366254,9.701459833,9,9,633,2.235782017,4.998721228,4,10,5,15,0.472256336,-0.536946441,0.947321415,0.005692954,7,9,11,12,13,14.32,outgoing,Connecting objects,outgoing,7
17,0,2,0,,,2,2,34,0,0,0,0,2,2,,,,,2,2,2,2,2,2,parallelGateway,Flow objects ,parallelGateway,0
69,0,9.173913043,0.269156525,8.646366254,9.701459833,9,9,633,2.235782017,4.998721228,4,10,5,15,0.472256336,-0.536946441,0.947321415,0.005692954,7,9,11,12,13,14.32,sequenceFlow,Connecting objects,SequenceFlow,8
61,0,4,0.283421716,3.444493437,4.555506563,4,6,244,2.213594362,4.9,4,9,1,10,0.446207031,-0.370470637,0.939079052,0.004500594,2,4,6,6,8,9.4,sourceRef,Connecting objects,sourceRef,8
69,0,1,0,,,1,1,69,0,0,0,0,1,1,,,,,1,1,1,1,1,1,startEvent,Connecting objects,StartEvent,1
6,0,1,0,,,1,1,6,0,0,0,0,1,1,,,,,1,1,1,1,1,1,subProcess,Flow objects ,subProcess,0
63,0,6.80952381,0.429849604,5.967018585,7.652029034,7,4,429,3.411825464,11.640553,5.5,15,1,16,0.343402367,-0.533331265,0.964877132,0.069107502,4,7,9.5,11.8,12,14.14,targetRef,Connecting objects,targetRef,7
69,0,5.101449275,0.164060953,4.779889807,5.423008744,5,4,352,1.36279263,1.857203751,2,6,3,9,0.588170128,-0.065004494,0.922484498,0.000375941,4,5,6,7,7.6,8.32,task,Flow objects ,UserTask,5
1,0,1,,,,1,1,1,,,0,0,1,1,,,,,1,1,1,1,1,1,textAnnotation,Artifacts,textAnnotation,0
