File,Tag,Occurrences,Category
ex07_writer0000.bpmn,outgoing,16,Connecting Objects
ex07_writer0000.bpmn,incoming,16,Connecting Objects
ex07_writer0000.bpmn,sequenceFlow,16,Connecting Objects
ex07_writer0000.bpmn,flowNodeRef,14,Uncategorized
ex07_writer0000.bpmn,task,4,Flow Objects
ex07_writer0000.bpmn,parallelGateway,4,Flow Objects
ex07_writer0000.bpmn,lane,2,Swim Lanes
ex07_writer0000.bpmn,startEvent,2,Flow Objects
ex07_writer0000.bpmn,exclusiveGateway,2,Flow Objects
ex07_writer0000.bpmn,process,1,Uncategorized
ex07_writer0000.bpmn,messageEventDefinition,1,Uncategorized
ex07_writer0000.bpmn,laneSet,1,Swim Lanes
ex07_writer0000.bpmn,endEvent,1,Flow Objects
ex07_writer0000.bpmn,subProcess,1,Flow Objects
ex07_writer0001.bpmn,flowNodeRef,23,Uncategorized
ex07_writer0001.bpmn,outgoing,17,Connecting Objects
ex07_writer0001.bpmn,incoming,17,Connecting Objects
ex07_writer0001.bpmn,sequenceFlow,17,Connecting Objects
ex07_writer0001.bpmn,task,4,Flow Objects
ex07_writer0001.bpmn,parallelGateway,4,Flow Objects
ex07_writer0001.bpmn,lane,3,Swim Lanes
ex07_writer0001.bpmn,intermediateCatchEvent,2,Flow Objects
ex07_writer0001.bpmn,process,1,Uncategorized
ex07_writer0001.bpmn,childLaneSet,1,Uncategorized
ex07_writer0001.bpmn,messageEventDefinition,1,Uncategorized
ex07_writer0001.bpmn,timerEventDefinition,1,Uncategorized
ex07_writer0001.bpmn,laneSet,1,Swim Lanes
ex07_writer0001.bpmn,startEvent,1,Flow Objects
ex07_writer0001.bpmn,endEvent,1,Flow Objects
ex07_writer0001.bpmn,exclusiveGateway,1,Flow Objects
ex07_writer0001.bpmn,eventBasedGateway,1,Flow Objects
ex07_writer0001.bpmn,subProcess,1,Flow Objects
ex07_writer0002.bpmn,outgoing,13,Connecting Objects
ex07_writer0002.bpmn,incoming,13,Connecting Objects
ex07_writer0002.bpmn,sequenceFlow,13,Connecting Objects
ex07_writer0002.bpmn,flowNodeRef,12,Uncategorized
ex07_writer0002.bpmn,task,6,Flow Objects
ex07_writer0002.bpmn,parallelGateway,4,Flow Objects
ex07_writer0002.bpmn,lane,2,Swim Lanes
ex07_writer0002.bpmn,process,1,Uncategorized
ex07_writer0002.bpmn,multiInstanceLoopCharacteristics,1,Uncategorized
ex07_writer0002.bpmn,textAnnotation,1,Uncategorized
ex07_writer0002.bpmn,text,1,Uncategorized
ex07_writer0002.bpmn,laneSet,1,Swim Lanes
ex07_writer0002.bpmn,startEvent,1,Flow Objects
ex07_writer0002.bpmn,endEvent,1,Flow Objects
ex07_writer0002.bpmn,association,1,Flow Objects
ex07_writer0003.bpmn,outgoing,18,Connecting Objects
ex07_writer0003.bpmn,incoming,18,Connecting Objects
ex07_writer0003.bpmn,sequenceFlow,18,Connecting Objects
ex07_writer0003.bpmn,flowNodeRef,16,Uncategorized
ex07_writer0003.bpmn,task,5,Flow Objects
ex07_writer0003.bpmn,parallelGateway,3,Flow Objects
ex07_writer0003.bpmn,messageEventDefinition,2,Uncategorized
ex07_writer0003.bpmn,lane,2,Swim Lanes
ex07_writer0003.bpmn,intermediateCatchEvent,2,Flow Objects
ex07_writer0003.bpmn,process,1,Uncategorized
ex07_writer0003.bpmn,timerEventDefinition,1,Uncategorized
ex07_writer0003.bpmn,laneSet,1,Swim Lanes
ex07_writer0003.bpmn,startEvent,1,Flow Objects
ex07_writer0003.bpmn,endEvent,1,Flow Objects
ex07_writer0003.bpmn,callActivity,1,Flow Objects
ex07_writer0003.bpmn,eventBasedGateway,1,Flow Objects
ex07_writer0003.bpmn,exclusiveGateway,1,Flow Objects
ex07_writer0003.bpmn,intermediateThrowEvent,1,Flow Objects
ex07_writer0005.bpmn,outgoing,19,Connecting Objects
ex07_writer0005.bpmn,incoming,19,Connecting Objects
ex07_writer0005.bpmn,sequenceFlow,19,Connecting Objects
ex07_writer0005.bpmn,flowNodeRef,17,Uncategorized
ex07_writer0005.bpmn,task,5,Flow Objects
ex07_writer0005.bpmn,parallelGateway,4,Flow Objects
ex07_writer0005.bpmn,messageEventDefinition,3,Uncategorized
ex07_writer0005.bpmn,process,2,Uncategorized
ex07_writer0005.bpmn,lane,2,Swim Lanes
ex07_writer0005.bpmn,intermediateThrowEvent,2,Flow Objects
ex07_writer0005.bpmn,intermediateCatchEvent,2,Flow Objects
ex07_writer0005.bpmn,timerEventDefinition,1,Uncategorized
ex07_writer0005.bpmn,laneSet,1,Swim Lanes
ex07_writer0005.bpmn,startEvent,1,Flow Objects
ex07_writer0005.bpmn,endEvent,1,Flow Objects
ex07_writer0005.bpmn,subProcess,1,Flow Objects
ex07_writer0005.bpmn,eventBasedGateway,1,Flow Objects
ex07_writer0006.bpmn,flowNodeRef,20,Uncategorized
ex07_writer0006.bpmn,outgoing,17,Connecting Objects
ex07_writer0006.bpmn,incoming,17,Connecting Objects
ex07_writer0006.bpmn,sequenceFlow,17,Connecting Objects
ex07_writer0006.bpmn,task,6,Flow Objects
ex07_writer0006.bpmn,parallelGateway,4,Flow Objects
ex07_writer0006.bpmn,lane,3,Swim Lanes
ex07_writer0006.bpmn,intermediateCatchEvent,2,Flow Objects
ex07_writer0006.bpmn,process,1,Uncategorized
ex07_writer0006.bpmn,childLaneSet,1,Uncategorized
ex07_writer0006.bpmn,property,1,Uncategorized
ex07_writer0006.bpmn,messageEventDefinition,1,Uncategorized
ex07_writer0006.bpmn,dataObjectReference,1,Uncategorized
ex07_writer0006.bpmn,timerEventDefinition,1,Uncategorized
ex07_writer0006.bpmn,laneSet,1,Swim Lanes
ex07_writer0006.bpmn,startEvent,1,Flow Objects
ex07_writer0006.bpmn,endEvent,1,Flow Objects
ex07_writer0006.bpmn,eventBasedGateway,1,Flow Objects
ex07_writer0006.bpmn,dataObject,1,Artifacts
ex07_writer0007.bpmn,incoming,11,Connecting Objects
ex07_writer0007.bpmn,outgoing,11,Connecting Objects
ex07_writer0007.bpmn,sequenceFlow,11,Connecting Objects
ex07_writer0007.bpmn,targetRef,10,Connecting Objects
ex07_writer0007.bpmn,property,5,Uncategorized
ex07_writer0007.bpmn,dataInputAssociation,5,Uncategorized
ex07_writer0007.bpmn,dataOutputAssociation,5,Uncategorized
ex07_writer0007.bpmn,dataObjectReference,5,Uncategorized
ex07_writer0007.bpmn,sourceRef,5,Connecting Objects
ex07_writer0007.bpmn,dataObject,5,Artifacts
ex07_writer0007.bpmn,messageEventDefinition,4,Uncategorized
ex07_writer0007.bpmn,task,4,Flow Objects
ex07_writer0007.bpmn,process,2,Uncategorized
ex07_writer0007.bpmn,intermediateCatchEvent,2,Flow Objects
ex07_writer0007.bpmn,startEvent,2,Flow Objects
ex07_writer0007.bpmn,endEvent,2,Flow Objects
ex07_writer0007.bpmn,intermediateThrowEvent,2,Flow Objects
ex07_writer0007.bpmn,multiInstanceLoopCharacteristics,1,Uncategorized
ex07_writer0007.bpmn,textAnnotation,1,Uncategorized
ex07_writer0007.bpmn,text,1,Uncategorized
ex07_writer0007.bpmn,subProcess,1,Flow Objects
ex07_writer0007.bpmn,association,1,Flow Objects
ex07_writer0008.bpmn,outgoing,19,Connecting Objects
ex07_writer0008.bpmn,incoming,19,Connecting Objects
ex07_writer0008.bpmn,sequenceFlow,19,Connecting Objects
ex07_writer0008.bpmn,flowNodeRef,17,Uncategorized
ex07_writer0008.bpmn,task,5,Flow Objects
ex07_writer0008.bpmn,parallelGateway,4,Flow Objects
ex07_writer0008.bpmn,process,2,Uncategorized
ex07_writer0008.bpmn,messageEventDefinition,2,Uncategorized
ex07_writer0008.bpmn,lane,2,Swim Lanes
ex07_writer0008.bpmn,intermediateCatchEvent,2,Flow Objects
ex07_writer0008.bpmn,timerEventDefinition,1,Uncategorized
ex07_writer0008.bpmn,laneSet,1,Swim Lanes
ex07_writer0008.bpmn,startEvent,1,Flow Objects
ex07_writer0008.bpmn,endEvent,1,Flow Objects
ex07_writer0008.bpmn,intermediateThrowEvent,1,Flow Objects
ex07_writer0008.bpmn,eventBasedGateway,1,Flow Objects
ex07_writer0008.bpmn,subProcess,1,Flow Objects
ex07_writer0008.bpmn,exclusiveGateway,1,Flow Objects
ex07_writer0009.bpmn,flowNodeRef,13,Uncategorized
ex07_writer0009.bpmn,outgoing,12,Connecting Objects
ex07_writer0009.bpmn,incoming,12,Connecting Objects
ex07_writer0009.bpmn,sequenceFlow,12,Connecting Objects
ex07_writer0009.bpmn,task,6,Flow Objects
ex07_writer0009.bpmn,messageEventDefinition,3,Uncategorized
ex07_writer0009.bpmn,lane,2,Swim Lanes
ex07_writer0009.bpmn,endEvent,2,Flow Objects
ex07_writer0009.bpmn,exclusiveGateway,2,Flow Objects
ex07_writer0009.bpmn,process,1,Uncategorized
ex07_writer0009.bpmn,laneSet,1,Swim Lanes
ex07_writer0009.bpmn,startEvent,1,Flow Objects
ex07_writer0009.bpmn,intermediateThrowEvent,1,Flow Objects
ex07_writer0009.bpmn,intermediateCatchEvent,1,Flow Objects
ex07_writer0010.bpmn,flowNodeRef,23,Uncategorized
ex07_writer0010.bpmn,outgoing,17,Connecting Objects
ex07_writer0010.bpmn,incoming,17,Connecting Objects
ex07_writer0010.bpmn,sequenceFlow,17,Connecting Objects
ex07_writer0010.bpmn,task,4,Flow Objects
ex07_writer0010.bpmn,messageEventDefinition,3,Uncategorized
ex07_writer0010.bpmn,lane,3,Swim Lanes
ex07_writer0010.bpmn,parallelGateway,3,Flow Objects
ex07_writer0010.bpmn,endEvent,2,Flow Objects
ex07_writer0010.bpmn,intermediateCatchEvent,2,Flow Objects
ex07_writer0010.bpmn,process,1,Uncategorized
ex07_writer0010.bpmn,childLaneSet,1,Uncategorized
ex07_writer0010.bpmn,timerEventDefinition,1,Uncategorized
ex07_writer0010.bpmn,laneSet,1,Swim Lanes
ex07_writer0010.bpmn,startEvent,1,Flow Objects
ex07_writer0010.bpmn,eventBasedGateway,1,Flow Objects
ex07_writer0010.bpmn,subProcess,1,Flow Objects
ex07_writer0010.bpmn,exclusiveGateway,1,Flow Objects
ex07_writer0010.bpmn,intermediateThrowEvent,1,Flow Objects
ex07_writer0011.bpmn,flowNodeRef,14,Uncategorized
ex07_writer0011.bpmn,incoming,13,Connecting Objects
ex07_writer0011.bpmn,outgoing,13,Connecting Objects
ex07_writer0011.bpmn,sequenceFlow,13,Connecting Objects
ex07_writer0011.bpmn,messageEventDefinition,5,Uncategorized
ex07_writer0011.bpmn,task,4,Flow Objects
ex07_writer0011.bpmn,endEvent,3,Flow Objects
ex07_writer0011.bpmn,lane,2,Swim Lanes
ex07_writer0011.bpmn,parallelGateway,2,Flow Objects
ex07_writer0011.bpmn,startEvent,2,Flow Objects
ex07_writer0011.bpmn,process,1,Uncategorized
ex07_writer0011.bpmn,standardLoopCharacteristics,1,Uncategorized
ex07_writer0011.bpmn,textAnnotation,1,Uncategorized
ex07_writer0011.bpmn,text,1,Uncategorized
ex07_writer0011.bpmn,laneSet,1,Swim Lanes
ex07_writer0011.bpmn,subProcess,1,Flow Objects
ex07_writer0011.bpmn,intermediateCatchEvent,1,Flow Objects
ex07_writer0011.bpmn,intermediateThrowEvent,1,Flow Objects
ex07_writer0011.bpmn,association,1,Flow Objects
ex07_writer0012.bpmn,outgoing,17,Connecting Objects
ex07_writer0012.bpmn,incoming,17,Connecting Objects
ex07_writer0012.bpmn,sequenceFlow,17,Connecting Objects
ex07_writer0012.bpmn,flowNodeRef,15,Uncategorized
ex07_writer0012.bpmn,task,6,Flow Objects
ex07_writer0012.bpmn,parallelGateway,4,Flow Objects
ex07_writer0012.bpmn,lane,2,Swim Lanes
ex07_writer0012.bpmn,process,1,Uncategorized
ex07_writer0012.bpmn,timerEventDefinition,1,Uncategorized
ex07_writer0012.bpmn,messageEventDefinition,1,Uncategorized
ex07_writer0012.bpmn,laneSet,1,Swim Lanes
ex07_writer0012.bpmn,startEvent,1,Flow Objects
ex07_writer0012.bpmn,endEvent,1,Flow Objects
ex07_writer0012.bpmn,exclusiveGateway,1,Flow Objects
ex07_writer0012.bpmn,intermediateCatchEvent,1,Flow Objects
ex07_writer0012.bpmn,intermediateThrowEvent,1,Flow Objects
ex07_writer0013.bpmn,outgoing,18,Connecting Objects
ex07_writer0013.bpmn,incoming,18,Connecting Objects
ex07_writer0013.bpmn,sequenceFlow,18,Connecting Objects
ex07_writer0013.bpmn,flowNodeRef,16,Uncategorized
ex07_writer0013.bpmn,task,6,Flow Objects
ex07_writer0013.bpmn,parallelGateway,4,Flow Objects
ex07_writer0013.bpmn,process,2,Uncategorized
ex07_writer0013.bpmn,lane,2,Swim Lanes
ex07_writer0013.bpmn,intermediateCatchEvent,2,Flow Objects
ex07_writer0013.bpmn,messageEventDefinition,1,Uncategorized
ex07_writer0013.bpmn,timerEventDefinition,1,Uncategorized
ex07_writer0013.bpmn,multiInstanceLoopCharacteristics,1,Uncategorized
ex07_writer0013.bpmn,textAnnotation,1,Uncategorized
ex07_writer0013.bpmn,text,1,Uncategorized
ex07_writer0013.bpmn,laneSet,1,Swim Lanes
ex07_writer0013.bpmn,startEvent,1,Flow Objects
ex07_writer0013.bpmn,endEvent,1,Flow Objects
ex07_writer0013.bpmn,eventBasedGateway,1,Flow Objects
ex07_writer0013.bpmn,subProcess,1,Flow Objects
ex07_writer0013.bpmn,association,1,Flow Objects
ex07_writer0014.bpmn,flowNodeRef,27,Uncategorized
ex07_writer0014.bpmn,outgoing,20,Connecting Objects
ex07_writer0014.bpmn,incoming,20,Connecting Objects
ex07_writer0014.bpmn,sequenceFlow,20,Connecting Objects
ex07_writer0014.bpmn,messageEventDefinition,4,Uncategorized
ex07_writer0014.bpmn,parallelGateway,4,Flow Objects
ex07_writer0014.bpmn,task,4,Flow Objects
ex07_writer0014.bpmn,lane,3,Swim Lanes
ex07_writer0014.bpmn,intermediateThrowEvent,3,Flow Objects
ex07_writer0014.bpmn,intermediateCatchEvent,2,Flow Objects
ex07_writer0014.bpmn,process,1,Uncategorized
ex07_writer0014.bpmn,childLaneSet,1,Uncategorized
ex07_writer0014.bpmn,timerEventDefinition,1,Uncategorized
ex07_writer0014.bpmn,multiInstanceLoopCharacteristics,1,Uncategorized
ex07_writer0014.bpmn,laneSet,1,Swim Lanes
ex07_writer0014.bpmn,startEvent,1,Flow Objects
ex07_writer0014.bpmn,endEvent,1,Flow Objects
ex07_writer0014.bpmn,eventBasedGateway,1,Flow Objects
ex07_writer0014.bpmn,subProcess,1,Flow Objects
ex07_writer0014.bpmn,exclusiveGateway,1,Flow Objects
ex07_writer0016.bpmn,flowNodeRef,30,Uncategorized
ex07_writer0016.bpmn,incoming,17,Connecting Objects
ex07_writer0016.bpmn,outgoing,17,Connecting Objects
ex07_writer0016.bpmn,sequenceFlow,17,Connecting Objects
ex07_writer0016.bpmn,lane,4,Swim Lanes
ex07_writer0016.bpmn,parallelGateway,4,Flow Objects
ex07_writer0016.bpmn,messageEventDefinition,3,Uncategorized
ex07_writer0016.bpmn,task,3,Flow Objects
ex07_writer0016.bpmn,childLaneSet,2,Uncategorized
ex07_writer0016.bpmn,intermediateCatchEvent,2,Flow Objects
ex07_writer0016.bpmn,intermediateThrowEvent,2,Flow Objects
ex07_writer0016.bpmn,process,1,Uncategorized
ex07_writer0016.bpmn,timerEventDefinition,1,Uncategorized
ex07_writer0016.bpmn,multiInstanceLoopCharacteristics,1,Uncategorized
ex07_writer0016.bpmn,laneSet,1,Swim Lanes
ex07_writer0016.bpmn,eventBasedGateway,1,Flow Objects
ex07_writer0016.bpmn,subProcess,1,Flow Objects
ex07_writer0016.bpmn,endEvent,1,Flow Objects
ex07_writer0016.bpmn,startEvent,1,Flow Objects
