File,Tag,Occurrences,Category
ex01_writer0001.bpmn,incoming,12,Connecting Objects
ex01_writer0001.bpmn,outgoing,12,Connecting Objects
ex01_writer0001.bpmn,sequenceFlow,12,Connecting Objects
ex01_writer0001.bpmn,task,5,Flow Objects
ex01_writer0001.bpmn,exclusiveGateway,2,Flow Objects
ex01_writer0001.bpmn,parallelGateway,2,Flow Objects
ex01_writer0001.bpmn,process,1,Uncategorized
ex01_writer0001.bpmn,startEvent,1,Flow Objects
ex01_writer0001.bpmn,endEvent,1,Flow Objects
ex01_writer0002.bpmn,incoming,12,Connecting Objects
ex01_writer0002.bpmn,outgoing,12,Connecting Objects
ex01_writer0002.bpmn,sequenceFlow,12,Connecting Objects
ex01_writer0002.bpmn,task,5,Flow Objects
ex01_writer0002.bpmn,exclusiveGateway,4,Flow Objects
ex01_writer0002.bpmn,process,1,Uncategorized
ex01_writer0002.bpmn,startEvent,1,Flow Objects
ex01_writer0002.bpmn,endEvent,1,Flow Objects
ex01_writer0005.bpmn,incoming,12,Connecting Objects
ex01_writer0005.bpmn,outgoing,12,Connecting Objects
ex01_writer0005.bpmn,sequenceFlow,12,Connecting Objects
ex01_writer0005.bpmn,task,5,Flow Objects
ex01_writer0005.bpmn,exclusiveGateway,2,Flow Objects
ex01_writer0005.bpmn,parallelGateway,2,Flow Objects
ex01_writer0005.bpmn,process,1,Uncategorized
ex01_writer0005.bpmn,startEvent,1,Flow Objects
ex01_writer0005.bpmn,endEvent,1,Flow Objects
ex01_writer0006.bpmn,incoming,12,Connecting Objects
ex01_writer0006.bpmn,outgoing,12,Connecting Objects
ex01_writer0006.bpmn,sequenceFlow,12,Connecting Objects
ex01_writer0006.bpmn,task,5,Flow Objects
ex01_writer0006.bpmn,exclusiveGateway,2,Flow Objects
ex01_writer0006.bpmn,parallelGateway,2,Flow Objects
ex01_writer0006.bpmn,process,1,Uncategorized
ex01_writer0006.bpmn,startEvent,1,Flow Objects
ex01_writer0006.bpmn,endEvent,1,Flow Objects
ex01_writer0008.bpmn,incoming,11,Connecting Objects
ex01_writer0008.bpmn,outgoing,11,Connecting Objects
ex01_writer0008.bpmn,sequenceFlow,11,Connecting Objects
ex01_writer0008.bpmn,task,4,Flow Objects
ex01_writer0008.bpmn,exclusiveGateway,2,Flow Objects
ex01_writer0008.bpmn,parallelGateway,2,Flow Objects
