N,Missing,Mean,SE,95% Confidence Interval Lower,95% Confidence Interval Upper,Median,Mode,Sum,SD,Variance,IQR,Range,Minimum,Maximum,Skewness,Kurtosis,Shapiro-Wilk W,Shapiro-Wilk p value,25th,50th,75th,90th,95th,99th,Tag,Category,Tag-Synth,Occurrency
67,0,1.029850746,0.020947148,0.988794336,1.070907157,1,1,69,0.171459798,0.029398462,0,1,1,2,5.525465522,28.53076923,0.162513519,1.17E-17,1,1,1,1,1,2,endEvent,Flow objects ,EndEvent,1
69,0,2.057971014,0.057971014,1.944347826,2.171594203,2,2,142,0.481543412,0.231884058,0,3,1,4,2.553032978,10.10402587,0.39894272,2.63E-15,2,2,2,2,2.6,4,exclusiveGateway,Flow objects ,ExclusiveGateway,1
69,0,11.94202899,0.114736917,11.71714463,12.16691334,12,12,824,0.953076412,0.908354646,0,7,9,16,0.936930843,6.141115565,0.689637821,8.61E-11,12,12,12,12.2,13,15.32,incoming,Connecting objects,incoming,8
3,0,1,0,,,1,1,3,0,0,0,0,1,1,,,,,1,1,1,1,1,1,intermediateThrowEvent,Flow objects ,intermediateThrowEvent,0
4,0,1.75,0.25,1.26,2.24,2,2,7,0.5,0.25,0.25,1,1,2,-1.154700538,-0.666666667,0.629776265,0.001240726,1.75,2,2,2,2,2,messageEventDefinition,Connecting objects,messageEventDefinition,0
69,0,11.94202899,0.114736917,11.71714463,12.16691334,12,12,824,0.953076412,0.908354646,0,7,9,16,0.936930843,6.141115565,0.689637821,8.61E-11,12,12,12,12.2,13,15.32,outgoing,Connecting objects,outgoing,8
65,0,2,0,,,2,2,130,0,0,0,0,2,2,,,,,2,2,2,2,2,2,parallelGateway,Flow objects ,parallelGateway,0
69,0,11.94202899,0.114736917,11.71714463,12.16691334,12,12,824,0.953076412,0.908354646,0,7,9,16,0.936930843,6.141115565,0.689637821,8.61E-11,12,12,12,12.2,13,15.32,sequenceFlow,Connecting objects,SequenceFlow,10
69,0,1,0,,,1,1,69,0,0,0,0,1,1,,,,,1,1,1,1,1,1,startEvent,Flow objects ,StartEvent,1
69,0,4.985507246,0.066877608,4.854427134,5.116587359,5,5,344,0.555527138,0.308610401,0,3,4,7,1.029325545,4.154600745,0.629671519,6.53E-12,5,5,5,5,6,7,task,Flow objects ,UserTask,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sourceRef,Connecting objects,sourceRef,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,targetRef,Connecting objects,targetRef,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ParallelGateway,Flow objects ,ParallelGateway,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,laneSets,Swim lanes,laneSets,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lanes,Swim lanes,lanes,1
