File,Tag,Occurrences,Category
ex10_writer0000.bpmn,incoming,16,Connecting Objects
ex10_writer0000.bpmn,outgoing,16,Connecting Objects
ex10_writer0000.bpmn,sequenceFlow,16,Connecting Objects
ex10_writer0000.bpmn,messageEventDefinition,5,Uncategorized
ex10_writer0000.bpmn,task,4,Flow Objects
ex10_writer0000.bpmn,intermediateCatchEvent,4,Flow Objects
ex10_writer0000.bpmn,endEvent,3,Flow Objects
ex10_writer0000.bpmn,eventBasedGateway,2,Flow Objects
ex10_writer0000.bpmn,process,1,Uncategorized
ex10_writer0000.bpmn,timerEventDefinition,1,Uncategorized
ex10_writer0000.bpmn,startEvent,1,Flow Objects
ex10_writer0000.bpmn,exclusiveGateway,1,Flow Objects
ex10_writer0000.bpmn,intermediateThrowEvent,1,Flow Objects
ex10_writer0001.bpmn,incoming,16,Connecting Objects
ex10_writer0001.bpmn,outgoing,16,Connecting Objects
ex10_writer0001.bpmn,sequenceFlow,16,Connecting Objects
ex10_writer0001.bpmn,messageEventDefinition,5,Uncategorized
ex10_writer0001.bpmn,intermediateCatchEvent,5,Flow Objects
ex10_writer0001.bpmn,timerEventDefinition,2,Uncategorized
ex10_writer0001.bpmn,endEvent,2,Flow Objects
ex10_writer0001.bpmn,eventBasedGateway,2,Flow Objects
ex10_writer0001.bpmn,process,1,Uncategorized
ex10_writer0001.bpmn,laneSet,1,Swim Lanes
ex10_writer0001.bpmn,task,1,Flow Objects
ex10_writer0001.bpmn,subProcess,1,Flow Objects
ex10_writer0001.bpmn,startEvent,1,Flow Objects
ex10_writer0001.bpmn,intermediateThrowEvent,1,Flow Objects
ex10_writer0001.bpmn,exclusiveGateway,1,Flow Objects
ex10_writer0002.bpmn,outgoing,12,Connecting Objects
ex10_writer0002.bpmn,incoming,12,Connecting Objects
ex10_writer0002.bpmn,sequenceFlow,12,Connecting Objects
ex10_writer0002.bpmn,task,3,Flow Objects
ex10_writer0002.bpmn,endEvent,3,Flow Objects
ex10_writer0002.bpmn,exclusiveGateway,3,Flow Objects
ex10_writer0002.bpmn,process,2,Uncategorized
ex10_writer0002.bpmn,messageEventDefinition,2,Uncategorized
ex10_writer0002.bpmn,timerEventDefinition,1,Uncategorized
ex10_writer0002.bpmn,terminateEventDefinition,1,Uncategorized
ex10_writer0002.bpmn,laneSet,1,Swim Lanes
ex10_writer0002.bpmn,startEvent,1,Flow Objects
ex10_writer0002.bpmn,intermediateCatchEvent,1,Flow Objects
ex10_writer0003.bpmn,incoming,19,Connecting Objects
ex10_writer0003.bpmn,outgoing,19,Connecting Objects
ex10_writer0003.bpmn,sequenceFlow,19,Connecting Objects
ex10_writer0003.bpmn,messageEventDefinition,5,Uncategorized
ex10_writer0003.bpmn,task,4,Flow Objects
ex10_writer0003.bpmn,intermediateCatchEvent,4,Flow Objects
ex10_writer0003.bpmn,exclusiveGateway,3,Flow Objects
ex10_writer0003.bpmn,endEvent,2,Flow Objects
ex10_writer0003.bpmn,process,1,Uncategorized
ex10_writer0003.bpmn,timerEventDefinition,1,Uncategorized
ex10_writer0003.bpmn,terminateEventDefinition,1,Uncategorized
ex10_writer0003.bpmn,subProcess,1,Flow Objects
ex10_writer0003.bpmn,eventBasedGateway,1,Flow Objects
ex10_writer0003.bpmn,startEvent,1,Flow Objects
ex10_writer0003.bpmn,intermediateThrowEvent,1,Flow Objects
ex10_writer0005.bpmn,incoming,16,Connecting Objects
ex10_writer0005.bpmn,outgoing,16,Connecting Objects
ex10_writer0005.bpmn,sequenceFlow,16,Connecting Objects
ex10_writer0005.bpmn,messageEventDefinition,5,Uncategorized
ex10_writer0005.bpmn,intermediateCatchEvent,4,Flow Objects
ex10_writer0005.bpmn,task,3,Flow Objects
ex10_writer0005.bpmn,process,2,Uncategorized
ex10_writer0005.bpmn,laneSet,2,Swim Lanes
