N,Missing,Mean,SE,95% Confidence Interval Lower,95% Confidence Interval Upper,Median,Mode,Sum,SD,Variance,IQR,Range,Minimum,Maximum,Skewness,Kurtosis,Shapiro-Wilk W,Shapiro-Wilk p value,25th,50th,75th,90th,95th,99th,Tag,Category,Tag-Synth,Occurrency
12,0,1,0,,,1,1,12,0,0,0,0,1,1,,,,,1,1,1,1,1,1,association,Flow objects ,association,0
5,0,1,0,,,1,1,5,0,0,0,0,1,1,,,,,1,1,1,1,1,1,callActivity,Flow objects ,callActivity,0
4,0,2.25,0.75,0.78,3.72,2,1,9,1.5,2.25,2.25,3,1,4,0.213833433,-1.720164609,0.849402354,0.224230539,1,2,3.25,3.7,3.85,3.97,dataObject,Artifacts,dataObject,0
96,0,2.614583333,0.133582381,2.352761866,2.8764048,2,2,251,1.30883469,1.713048246,1,6,1,7,1.645518361,2.188400231,0.727892886,4.78E-12,2,2,3,5,5.25,7,endEvent,Flow objects ,EndEvent,3
88,0,1.159090909,0.04818103,1.064656091,1.253525727,1,1,102,0.451978121,0.204284222,0,3,1,4,3.651285076,16.69289186,0.38716253,2.06E-17,1,1,1,2,2,2.26,eventBasedGateway,Flow objects ,eventBasedGateway,0
95,0,2.8,0.122131132,2.560622981,3.039377019,3,3,266,1.190387028,1.417021277,1,7,1,8,1.037769928,2.953209967,0.873487946,1.74E-07,2,3,3,4,5,6.12,exclusiveGateway,Flow objects ,ExclusiveGateway,1
1,0,2,,,,2,2,2,,,0,0,2,2,,,,,2,2,2,2,2,2,inclusiveGateway,Flow objects ,inclusiveGateway,0
96,0,19.05208333,0.61386927,17.84889956,20.2552671,17.5,16,1829,6.014665921,36.17620614,3,32,10,42,2.047279323,4.396826886,0.772191376,6.83E-11,16,17.5,19,26.5,32.75,41.05,incoming,Connecting objects,incoming,9
93,0,3.720430108,0.181782247,3.364136904,4.076723311,4,4,346,1.753044503,3.07316503,2,9,1,10,0.724511984,2.058829213,0.847948349,2.42E-08,2,4,4,5,6,9.08,intermediateCatchEvent,Flow objects ,IntermediateCatchEvent,1
65,0,1.553846154,0.142151682,1.275228858,1.83246345,1,1,101,1.146063497,1.313461538,1,6,1,7,3.130737213,10.3575434,0.51610996,2.61E-13,1,1,2,2,3.6,6.36,intermediateThrowEvent,Flow objects ,IntermediateThrowEvent,3
1,0,2,,,,2,2,2,,,0,0,2,2,,,,,2,2,2,2,2,2,lane,Swim lanes,lanes,2
47,0,1.234042553,0.062426763,1.111686097,1.35639901,1,1,58,0.427976328,0.183163737,0,1,1,2,1.256297269,-0.421717172,0.524900366,4.08E-11,1,1,1,2,2,2,laneSet,Swim lanes,laneSets,2
96,0,19.05208333,0.61386927,17.84889956,20.2552671,17.5,16,1829,6.014665921,36.17620614,3,32,10,42,2.047279323,4.396826886,0.772191376,6.83E-11,16,17.5,19,26.5,32.75,41.05,outgoing,Connecting objects,outgoing,12
2,0,2,0,,,2,2,4,0,0,0,0,2,2,,,,,2,2,2,2,2,2,parallelGateway,Flow objects ,parallelGateway,0
96,0,19.05208333,0.61386927,17.84889956,20.2552671,17.5,16,1829,6.014665921,36.17620614,3,32,10,42,2.047279323,4.396826886,0.772191376,6.83E-11,16,17.5,19,26.5,32.75,41.05,sequenceFlow,Connecting objects,SequenceFlow,15
4,0,3,1.154700538,0.736786945,5.263213055,3,1,12,2.309401077,5.333333333,4,4,1,5,0,-2,0.728634149,0.023856795,1,3,5,5,5,5,sourceRef,Connecting objects,sourceRef,13
96,0,1.697916667,0.141359154,1.420852725,1.974980609,1,1,163,1.385031192,1.918311404,1,6,1,7,2.344985078,4.76378729,0.566533778,2.19E-15,1,1,2,3,6,6.05,startEvent,Flow objects ,StartEvent,2
32,0,1.21875,0.107523206,1.008004515,1.429495485,1,1,39,0.608243107,0.369959677,0,3,1,4,3.37007284,11.93476824,0.412455715,3.27E-10,1,1,1,2,2,3.38,subProcess,Flow objects ,subProcess,0
4,0,5.25,1.652018967,2.012042825,8.487957175,4,3,21,3.304037934,10.91666667,3.25,7,3,10,0.900382043,-0.910319911,0.807811512,0.116983074,3,4,6.25,8.5,9.25,9.85,targetRef,Connecting objects,targetRef,9
96,0,4.510416667,0.261571999,3.997735549,5.023097784,4,4,433,2.56287171,6.568311404,3,11,1,12,1.096737941,0.548662814,0.879169543,2.64E-07,3,4,6,8,10.25,11.05,task,Flow objects ,Task,6
12,0,1,0,,,1,1,12,0,0,0,0,1,1,,,,,1,1,1,1,1,1,textAnnotation,Artifacts,textAnnotation,0
