File,Tag,Occurrences,Category,,,,
Ex00_writer-LLM-GPT4,incoming,9,Connecting objects,,,,
Ex00_writer-LLM-GPT4,SequenceFlow,9,Connecting objects,,,,
Ex00_writer-LLM-GPT4,sourceRef,9,Connecting objects,,,,
Ex00_writer-LLM-GPT4,targetRef,9,Connecting objects,,,,
Ex00_writer-LLM-GPT4,outgoing,8,Connecting objects,,,,
Ex00_writer-LLM-GPT4,UserTask,6,Flow objects ,,,,
Ex00_writer-LLM-GPT4,EndEvent,2,Flow objects ,,,,
Ex00_writer-LLM-GPT4,StartEvent,1,Flow objects ,,,,
Ex00_writer-LLM-GPT4,ExclusiveGateway,1,Flow objects ,,,,
Ex00_writer-LLM-GPT4,laneSets,1,Swim lanes,,,,
Ex00_writer-LLM-GPT4,lanes,1,Swim lanes,,,,
Ex01_writer-LLM-GPT4,SequenceFlow,10,Connecting objects,,,,
Ex01_writer-LLM-GPT4,sourceRef,10,Connecting objects,,,,
Ex01_writer-LLM-GPT4,targetRef,10,Connecting objects,,,,
Ex01_writer-LLM-GPT4,outgoing,8,Connecting objects,,,,
Ex01_writer-LLM-GPT4,incoming,8,Connecting objects,,,,
Ex01_writer-LLM-GPT4,UserTask,5,Flow objects ,,,,
Ex01_writer-LLM-GPT4,StartEvent,1,Flow objects ,,,,
Ex01_writer-LLM-GPT4,ExclusiveGateway,1,Flow objects ,,,,
Ex01_writer-LLM-GPT4,ParallelGateway,1,Flow objects ,,,,
Ex01_writer-LLM-GPT4,EndEvent,1,Flow objects ,,,,
Ex01_writer-LLM-GPT4,laneSets,1,Swim lanes,,,,
Ex01_writer-LLM-GPT4,lanes,1,Swim lanes,,,,
Ex02_writer-LLM-GPT4,SequenceFlow,8,Connecting objects,,,,
Ex02_writer-LLM-GPT4,sourceRef,8,Connecting objects,,,,
Ex02_writer-LLM-GPT4,outgoing,7,Connecting objects,,,,
Ex02_writer-LLM-GPT4,incoming,7,Connecting objects,,,,
Ex02_writer-LLM-GPT4,targetRef,7,Connecting objects,,,,
Ex02_writer-LLM-GPT4,UserTask,5,Flow objects ,,,,
Ex02_writer-LLM-GPT4,lanes,2,Swim lanes,,,,
Ex02_writer-LLM-GPT4,DataObject,2,Artifacts,,,,
Ex02_writer-LLM-GPT4,StartEvent,1,Flow objects ,,,,
Ex02_writer-LLM-GPT4,ExclusiveGateway,1,Flow objects ,,,,
Ex02_writer-LLM-GPT4,EndEvent,1,Flow objects ,,,,
Ex02_writer-LLM-GPT4,laneSets,1,Swim lanes,,,,
Ex03_writer-LLM-GPT4,SequenceFlow,16,Connecting objects,,,,
Ex03_writer-LLM-GPT4,sourceRef,16,Connecting objects,,,,
Ex03_writer-LLM-GPT4,outgoing,12,Connecting objects,,,,
Ex03_writer-LLM-GPT4,incoming,12,Connecting objects,,,,
Ex03_writer-LLM-GPT4,targetRef,12,Connecting objects,,,,
Ex03_writer-LLM-GPT4,UserTask,3,Flow objects ,,,,
Ex03_writer-LLM-GPT4,ExclusiveGateway,3,Flow objects ,,,,
Ex03_writer-LLM-GPT4,SendTask,3,Flow objects ,,,,
