N,Missing,Mean,SE,95% Confidence Interval Lower,95% Confidence Interval Upper,Median,Mode,Sum,SD,Variance,IQR,Range,Minimum,Maximum,Skewness,Kurtosis,Shapiro-Wilk W,Shapiro-Wilk p value,25th,50th,75th,90th,95th,99th,Tag,Category,Tag-Synth,Occurrency
51,0,1.862745098,0.137254902,1.59372549,2.131764706,2,1,95,0.980196059,0.960784314,2,3,1,4,0.6630229,-0.866897793,0.787971614,3.84E-07,1,2,3,3,3.5,4,association,Flow objects ,association,0
2,0,1.5,0.5,0.52,2.48,1.5,1,3,0.707106781,0.5,0.5,1,1,2,,,,,1.25,1.5,1.75,1.9,1.95,1.99,dataObject,Artifacts,dataObject,0
80,0,2.6,0.120126516,2.364552029,2.835447971,3,3,208,1.074444219,1.15443038,1,4,1,5,0.170064266,-0.644506002,0.907470148,2.55E-05,2,3,3,4,4,5,endEvent,Flow objects ,EndEvent,1
3,0,1,0,,,1,1,3,0,0,0,0,1,1,,,,,1,1,1,1,1,1,eventBasedGateway,Flow objects ,eventBasedGateway,0
68,0,1.779411765,0.116364275,1.551337785,2.007485744,2,2,121,0.959564395,0.920763828,1,5,1,6,2.08569436,5.772291038,0.696931901,1.47E-10,1,2,2,2.3,3.65,5.33,exclusiveGateway,Flow objects ,ExclusiveGateway,1
85,0,14.35294118,0.517401903,13.33883345,15.36704891,15,15,1220,4.770209845,22.75490196,6,24,3,27,0.017256674,-0.079837966,0.991178527,0.839730279,11,15,17,20,22,24.48,incoming,Connecting objects,incoming,6
73,0,2.561643836,0.139288119,2.288639122,2.834648549,2,2,187,1.190078211,1.416286149,1,4,1,5,0.350560036,-0.740735265,0.90131833,3.08E-05,2,2,3,4,5,5,intermediateCatchEvent,Flow objects ,intermediateCatchEvent,0
40,0,2.025,0.136285428,1.757880561,2.292119439,2,2,81,0.86194473,0.742948718,2,3,1,4,0.195706227,-1.074746088,0.840143461,5.23E-05,1,2,3,3,3,3.61,intermediateThrowEvent,Flow objects ,intermediateThrowEvent,0
4,0,2.25,0.25,1.76,2.74,2,2,9,0.5,0.25,0.25,1,2,3,1.154700538,-0.666666667,0.629776265,0.001240726,2,2,2.25,2.7,2.85,2.97,lane,Swim lanes,lanes,2
55,0,1.490909091,0.081537115,1.331096345,1.650721837,1,1,82,0.604695432,0.365656566,1,2,1,3,0.795672313,-0.35215144,0.710608479,4.19E-09,1,1,2,2,2.3,3,laneSet,Swim lanes,laneSets,1
85,0,14.35294118,0.517401903,13.33883345,15.36704891,15,15,1220,4.770209845,22.75490196,6,24,3,27,0.017256674,-0.079837966,0.991178527,0.839730279,11,15,17,20,22,24.48,outgoing,Connecting objects,outgoing,6
8,0,1.5,0.188982237,1.129594816,1.870405184,1.5,1,12,0.534522484,0.285714286,1,1,1,2,0,-2,0.664655904,0.000891702,1,1.5,2,2,2,2,parallelGateway,Flow objects ,parallelGateway,0
85,0,14.34117647,0.514101686,13.33353717,15.34881578,15,15,1219,4.739783351,22.46554622,6,23,3,26,-0.024729123,-0.175824213,0.990621928,0.804783293,11,15,17,20,22,24.32,sequenceFlow,Connecting objects,SequenceFlow,6
2,0,1,0,,,1,1,2,0,0,0,0,1,1,,,,,1,1,1,1,1,1,sourceRef,Connecting objects,sourceRef,6
84,0,2.80952381,0.144189617,2.526912161,3.092135458,3,3,236,1.321519666,1.746414228,2,6,1,7,0.606103337,0.695098261,0.904385734,1.21E-05,2,3,4,4,5,7,startEvent,Flow objects ,StartEvent,1
11,0,1.181818182,0.121967344,0.942762187,1.420874177,1,1,13,0.404519917,0.163636364,0,1,1,2,1.649915823,0.722222222,0.485720309,1.02E-06,1,1,1,2,2,2,subProcess,Flow objects ,subProcess,0
13,0,2.307692308,0.174848483,1.96498928,2.650395335,2,2,30,0.630425172,0.397435897,0,2,2,4,1.806679226,2.001560874,0.567463664,3.48E-05,2,2,2,3,3.4,3.88,targetRef,Connecting objects,targetRef,6
85,0,6.8,0.252050415,6.305981186,7.294018814,6,6,578,2.323790008,5.4,3,12,1,13,0.341498483,0.310830231,0.971647975,0.057805524,5,6,8,9.6,11,13,task,Flow objects ,UserTask,4
51,0,1.823529412,0.139201877,1.550693732,2.096365091,1,1,93,0.994100243,0.988235294,2,3,1,4,0.728662584,-0.854030612,0.764369718,1.18E-07,1,1,3,3,3.5,4,textAnnotation,Artifacts,textAnnotation,0
