N,Missing,Mean,SE,95% Confidence Interval Lower,95% Confidence Interval Upper,Median,Mode,Sum,SD,Variance,IQR,Range,Minimum,Maximum,Skewness,Kurtosis,Shapiro-Wilk W,Shapiro-Wilk p value,25th,50th,75th,90th,95th,99th,Tag,Category,Tag-Synth,Occurrency
6,0,1.333333333,0.210818511,0.920129052,1.746537614,1,1,8,0.516397779,0.266666667,0.75,1,1,2,0.707106781,-1.5,0.639893705,0.001350753,1,1,1.75,2,2,2,association,Flow objects ,association,0
16,0,2.5625,0.240983229,2.090172871,3.034827129,2.5,2,41,0.963932916,0.929166667,1,3,1,4,0.048647186,-0.898429488,0.892273863,0.060521054,2,2.5,3,4,4,4,endEvent,Flow objects ,endEvent,0
15,0,1.733333333,0.153271209,1.432921764,2.033744903,2,2,26,0.59361684,0.352380952,1,2,1,3,0.08168753,-0.494156318,0.757564006,0.001102986,1,2,2,2,2.3,2.86,exclusiveGateway,Flow objects ,ExclusiveGateway,2
16,0,15.0625,0.543666181,13.99691428,16.12808572,15.5,15,241,2.174664725,4.729166667,1.5,8,10,18,-1.046449261,0.397093675,0.887242533,0.050390492,14.75,15.5,16.25,17,17.25,17.85,incoming,Connecting objects,incoming,12
16,0,2.6875,0.298869397,2.101715981,3.273284019,3,3,43,1.195477589,1.429166667,1.25,4,1,5,0.144511198,-0.814677558,0.926942359,0.217966532,2,3,3.25,4,4.25,4.85,intermediateCatchEvent,Flow objects ,IntermediateCatchEvent,2
9,0,2,0.333333333,1.346666667,2.653333333,2,2,18,1,1,1,3,1,4,0.795495129,-0.1875,0.853289618,0.080990849,1,2,2,3.2,3.6,3.92,intermediateThrowEvent,Flow objects ,intermediateThrowEvent,0
16,0,2.5625,0.181859607,2.20605517,2.91894483,3,3,41,0.727438428,0.529166667,1,3,1,4,-0.22218848,-0.17496435,0.849339051,0.013322795,2,3,3,3,3.25,3.85,lane,Swim lanes,lanes,1
16,0,1,0,,,1,1,16,0,0,0,0,1,1,,,,,1,1,1,1,1,1,laneSet,Swim lanes,laneSets,1
16,0,15.0625,0.543666181,13.99691428,16.12808572,15.5,15,241,2.174664725,4.729166667,1.5,8,10,18,-1.046449261,0.397093675,0.887242533,0.050390492,14.75,15.5,16.25,17,17.25,17.85,outgoing,Connecting objects,outgoing,12
1,0,2,,,,2,2,2,,,0,0,2,2,,,,,2,2,2,2,2,2,parallelGateway,Flow objects ,parallelGateway,0
16,0,15.0625,0.543666181,13.99691428,16.12808572,15.5,15,241,2.174664725,4.729166667,1.5,8,10,18,-1.046449261,0.397093675,0.887242533,0.050390492,14.75,15.5,16.25,17,17.25,17.85,sequenceFlow,Connecting objects,SequenceFlow,10
16,0,1.375,0.154784797,1.071621798,1.678378202,1,1,22,0.619139187,0.383333333,1,2,1,3,1.359876613,0.775047259,0.648326677,4.80E-05,1,1,2,2,2.25,2.85,startEvent,Flow objects ,StartEvent,1
3,0,1.333333333,0.333333333,0.68,1.986666667,1,1,4,0.577350269,0.333333333,0.5,1,1,2,0.707106781,-1.5,0.75,0,1,1,1.5,1.8,1.9,1.98,subProcess,Flow objects ,subProcess,0
1,0,1,,,,1,1,1,,,0,0,1,1,,,,,1,1,1,1,1,1,targetRef,Connecting objects,targetRef,10
16,0,6.1875,0.449247055,5.306975772,7.068024228,6,5,99,1.796988221,3.229166667,2,8,2,10,-0.146557926,0.764580229,0.933854491,0.28039601,5,6,7,8,8.5,9.7,task,Flow objects ,UserTask,8
7,0,1.714285714,0.420560041,0.889988033,2.538583395,1,1,12,1.112697281,1.238095238,1,3,1,4,1.376083179,0.596153846,0.720478527,0.006176159,1,1,2,2.8,3.4,3.88,textAnnotation,Artifacts,textAnnotation,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sourceRef,Connecting objects,sourceRef,10
