node,total_emissions
generate_query_node,4.758779147245688e-08
cache_context_node,4.089600145141074e-08
model_generation_node,0.0001340925692313427
model_validation_node,0.00016234805401127656
model_validation_node,0.00013094781983456112
model_validation_node,0.00012982323329055814
model_generation_node,5.515148143087527e-07
model_validation_node,1.1894001698727726e-07
model_validation_node,0.00012534026622651687
model_validation_node,1.1608508433754321e-07
FILE_2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,0.0009606680356163081
