Target,File,Tag,Occurrences,Category,CategoryEMF,,,,,,,,,,,,,,,,,,,,
Human,2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,name,27,Uncategorized,Uncategorized,,,,,,,,,,,,,,,,,,,,
Human,2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,queuesize,5,Uncategorized,Attributes,,,,Human,MS-NoRAG-0,MS-NoRAG-1,MS-RAG-0,MS-RAG-1,ML-NoRAG-0,ML-NoRAG-1,ML-RAG-0,ML-RAG-1,GPT-4o-NoRAG-0,GPT-4o-NoRAG-1,GPT-4o-RAG-0,GPT-4o-RAG-1,GPT-4T-NoRAG-0,GPT-4T-NoRAG-1,GPT-4T-RAG-0,GPT-4T-RAG-1
Human,2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,rendezvous,5,Uncategorized,Attributes,,,Classes,7.293333333,4.56,4.746666667,4.733333333,4.64,4.149253731,4.172413793,4.391304348,4.403225806,4.48,4.253333333,4.546666667,4.457142857,4.328571429,4.294117647,4.253521127,4.373333333
Human,2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,message,5,Uncategorized,Classes,,,Attributes,7.191666667,3.818181818,4.127906977,4.341772152,4.207317073,3.785714286,3.23943662,4.202531646,3.942028986,3.568181818,3.477777778,4.119047619,3.542168675,4.310810811,3.98630137,3.8,3.696202532
Human,2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,entry,5,Uncategorized,Classes,,,Relations,6.466666667,3.285714286,3.740740741,3.333333333,3.535714286,4.24,3.269230769,3.785714286,3.833333333,3.392857143,3.137931034,3.565217391,3.259259259,3.285714286,3.115384615,3.068965517,3
Human,2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,type,5,Uncategorized,Attributes,,,,,,,,,,,,,,,,,,,,
Human,2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,ports,4,Uncategorized,Classes,,,,,,,,,,,,,,,,,,,,
Human,2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,nchannels,4,Uncategorized,Relations,,,,,,,,,,,,,,,,,,,,
Human,2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,nfrom,4,Uncategorized,Attributes,,,,,,,,,,,,,,,,,,,,
Human,2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,nto,4,Uncategorized,Attributes,,,,,,,,,,,,,,,,,,,,
Human,2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,processes,4,Uncategorized,Classes,,,,,,,,,,,,,,,,,,,,
Human,2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,nodes,3,Uncategorized,Classes,,,,,,,,,,,,,,,,,,,,
Human,2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,{http://www.w3.org/2001/xmlschema-instance}type,3,Uncategorized,Uncategorized,,,,,,,,,,,,,,,,,,,,
Human,2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,pchannels,3,Uncategorized,Relations,,,,,,,,,,,,,,,,,,,,
Human,2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,pfrom,3,Uncategorized,Attributes,,,,,,,,,,,,,,,,,,,,
Human,2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,pto,2,Uncategorized,Attributes,,,,,,,,,,,,,,,,,,,,
Human,2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,behaviorspecification,1,Uncategorized,Uncategorized,,,,,,,,,,,,,,,,,,,,
Human,2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,{http://www.omg.org/xmi}version,1,Uncategorized,Uncategorized,,,,,,,,,,,,,,,,,,,,
Human,2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,portextension,1,Uncategorized,Attributes,,,,,,,,,,,,,,,,,,,,
Human,2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,processextension,1,Uncategorized,Uncategorized,,,,,,,,,,,,,,,,,,,,
Human,2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,name,76,Uncategorized,Uncategorized,,,,,,,,,,,,,,,,,,,,
Human,2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,queuesize,19,Uncategorized,Attributes,,,,,,,,,,,,,,,,,,,,
