total_emissions,node
5.9654276608106305e-06,generate_query_node
2.4042978283117055e-07,cache_context_node
0.002216134919648357,model_generation_node
0.0020611334989169804,model_validation_node
0.0022782103597896335,model_validation_node
0.002054750380890194,model_validation_node
5.712938591617705e-06,model_generation_node
5.911624890530492e-06,model_validation_node
6.5004289758922436e-06,model_validation_node
9.256375607173302e-08,model_validation_node
0.012152777443613134,FILE_ex04_writer0008.bpmn
