node,total_emissions
generate_query_node,5.965543806046603e-08
cache_context_node,4.53610580548125e-08
model_generation_node,7.83628820716233e-05
model_validation_node,5.913935557299465e-05
model_validation_node,3.468314575812307e-05
model_validation_node,3.6817611215163467e-05
model_generation_node,1.543775275828404e-07
model_validation_node,9.967010127702762e-08
model_validation_node,9.85815383960011e-08
model_validation_node,6.948676975438405e-08
FILE_2024-02-14 18.17 12%20-%20FIRFIRGCD_ext-representations.aird.hepsy,0.00048627288435102177
