node,total_emissions
generate_query_node,3.3208337123740846e-08
cache_context_node,3.8577669338160024e-08
model_generation_node,1.3607670895534637e-07
model_validation_node,1.4800229475180997e-07
model_validation_node,1.3503924517774516e-07
model_validation_node,1.9395260016975556e-07
model_generation_node,2.022210722015606e-07
model_validation_node,1.487639832564971e-07
model_validation_node,9.626771229664624e-08
model_validation_node,8.0377334720684e-08
FILE_2024-02-14 18.30 13%20-%20FIRFIRGCD_HPV-representations.aird.hepsy,0.00027183801698290987
