node,total_emissions
generate_query_node,1.2102512774768742e-07
cache_context_node,1.8526533739043702e-07
model_generation_node,4.024820728286574e-05
model_validation_node,3.124811660083791e-05
model_validation_node,9.702679413934459e-08
model_validation_node,1.1793466046788484e-07
model_generation_node,1.9882417898085583e-07
model_validation_node,1.0703401312630939e-07
model_validation_node,1.2993457276332885e-07
model_validation_node,8.209034671974875e-08
FILE_2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,0.00034779026217548293
