node,total_emissions
generate_query_node,7.650318762580181e-08
cache_context_node,9.864497527145002e-08
model_generation_node,3.0809448924909077e-05
model_validation_node,3.058014200082303e-05
model_validation_node,3.0373878785443685e-05
model_validation_node,3.0459142737770362e-05
model_generation_node,2.0032509801387628e-07
model_validation_node,3.0194455537904947e-05
model_validation_node,3.195277420334981e-05
model_validation_node,8.548113228292728e-08
FILE_2024-02-14 14.50 03%20-%20RT%20App%20Paper-representations.aird.hepsy,0.0004635171150038122
