file_name,total_emissions
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,0.0008495853490618745
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,0.0008444387299067486
2024-02-13 17.34 01%20-%20FIRFIRGCD-representations.aird.hepsy,0.00933739095476547
2024-02-14 14.40 02%20-%20RT%20App-representations.aird.hepsy,0.0010250172064126101
2024-02-14 14.50 03%20-%20RT%20App%20Paper-representations.aird.hepsy,0.0009458512091253047
2024-02-14 15.04 04%20-%20RT%20App%20Paper%202-representations.aird.hepsy,0.001010019248586014
2024-02-14 15.40 05%20-%20Hepsy%20Example-representations.aird.hepsy,0.0009833416510036214
2024-02-14 15.51 06%20-%20Sobel-representations.aird.hepsy,0.000995299010260253
2024-02-14 15.52 07%20-%20Roberts-representations.aird.hepsy,0.001876542732544274
2024-02-14 16.25 08%20-%20RASTA-PLP-representations.aird.hepsy,0.0073349859247244
2024-02-14 17.00 09%20-%20Susan-representations.aird.hepsy,0.007863076830062253
2024-02-14 17.46 10%20-%20JPEG_encoder-representations.aird.hepsy,0.0019489804296322442
2024-02-14 17.58 11%20-%20JPEG%20Reduced-representations.aird.hepsy,0.0020135618434459703
2024-02-14 18.17 12%20-%20FIRFIRGCD_ext-representations.aird.hepsy,0.007345746078231132
2024-02-14 18.30 13%20-%20FIRFIRGCD_HPV-representations.aird.hepsy,0.005337255480429159
TOTAL_APP,0.053315115998874535
