File,Tag,Occurrences
Ex00_writer-LLM-gpt-4-turbo-2024-04-09-1.0,SequenceFlow,9
Ex00_writer-LLM-gpt-4-turbo-2024-04-09-1.0,sourceRef,9
Ex00_writer-LLM-gpt-4-turbo-2024-04-09-1.0,targetRef,9
Ex00_writer-LLM-gpt-4-turbo-2024-04-09-1.0,Task,6
Ex00_writer-LLM-gpt-4-turbo-2024-04-09-1.0,EndEvent,2
Ex00_writer-LLM-gpt-4-turbo-2024-04-09-1.0,StartEvent,1
Ex00_writer-LLM-gpt-4-turbo-2024-04-09-1.0,ExclusiveGateway,1
Ex00_writer-LLM-gpt-4-turbo-2024-04-09-1.0,laneSets,0
Ex00_writer-LLM-gpt-4-turbo-2024-04-09-1.0,lanes,0
Ex01_writer-LLM-gpt-4-turbo-2024-04-09-1.0,SequenceFlow,9
Ex01_writer-LLM-gpt-4-turbo-2024-04-09-1.0,sourceRef,9
Ex01_writer-LLM-gpt-4-turbo-2024-04-09-1.0,targetRef,9
Ex01_writer-LLM-gpt-4-turbo-2024-04-09-1.0,incoming,8
Ex01_writer-LLM-gpt-4-turbo-2024-04-09-1.0,outgoing,7
Ex01_writer-LLM-gpt-4-turbo-2024-04-09-1.0,Task,4
Ex01_writer-LLM-gpt-4-turbo-2024-04-09-1.0,EndEvent,2
Ex01_writer-LLM-gpt-4-turbo-2024-04-09-1.0,StartEvent,1
Ex01_writer-LLM-gpt-4-turbo-2024-04-09-1.0,ExclusiveGateway,1
Ex01_writer-LLM-gpt-4-turbo-2024-04-09-1.0,ParallelGateway,1
Ex01_writer-LLM-gpt-4-turbo-2024-04-09-1.0,laneSets,0
Ex01_writer-LLM-gpt-4-turbo-2024-04-09-1.0,lanes,0
Ex02_writer-LLM-gpt-4-turbo-2024-04-09-1.0,SequenceFlow,7
Ex02_writer-LLM-gpt-4-turbo-2024-04-09-1.0,sourceRef,7
Ex02_writer-LLM-gpt-4-turbo-2024-04-09-1.0,targetRef,7
Ex02_writer-LLM-gpt-4-turbo-2024-04-09-1.0,UserTask,2
Ex02_writer-LLM-gpt-4-turbo-2024-04-09-1.0,ExclusiveGateway,2
Ex02_writer-LLM-gpt-4-turbo-2024-04-09-1.0,EndEvent,2
Ex02_writer-LLM-gpt-4-turbo-2024-04-09-1.0,lanes,2
Ex02_writer-LLM-gpt-4-turbo-2024-04-09-1.0,StartEvent,1
Ex02_writer-LLM-gpt-4-turbo-2024-04-09-1.0,laneSets,1
Ex03_writer-LLM-gpt-4-turbo-2024-04-09-1.0,UserTask,8
Ex03_writer-LLM-gpt-4-turbo-2024-04-09-1.0,ExclusiveGateway,4
Ex03_writer-LLM-gpt-4-turbo-2024-04-09-1.0,EndEvent,2
Ex03_writer-LLM-gpt-4-turbo-2024-04-09-1.0,lanes,2
Ex03_writer-LLM-gpt-4-turbo-2024-04-09-1.0,StartEvent,1
Ex03_writer-LLM-gpt-4-turbo-2024-04-09-1.0,laneSets,1
Ex04_writer-LLM-gpt-4-turbo-2024-04-09-1.0,SequenceFlow,7
Ex04_writer-LLM-gpt-4-turbo-2024-04-09-1.0,sourceRef,7
Ex04_writer-LLM-gpt-4-turbo-2024-04-09-1.0,targetRef,7
Ex04_writer-LLM-gpt-4-turbo-2024-04-09-1.0,UserTask,4
Ex04_writer-LLM-gpt-4-turbo-2024-04-09-1.0,EndEvent,2
Ex04_writer-LLM-gpt-4-turbo-2024-04-09-1.0,StartEvent,1
Ex04_writer-LLM-gpt-4-turbo-2024-04-09-1.0,ExclusiveGateway,1
Ex04_writer-LLM-gpt-4-turbo-2024-04-09-1.0,laneSets,1
Ex04_writer-LLM-gpt-4-turbo-2024-04-09-1.0,lanes,1
Ex05_writer-LLM-gpt-4-turbo-2024-04-09-1.0,SequenceFlow,11
Ex05_writer-LLM-gpt-4-turbo-2024-04-09-1.0,sourceRef,11
Ex05_writer-LLM-gpt-4-turbo-2024-04-09-1.0,targetRef,11
Ex05_writer-LLM-gpt-4-turbo-2024-04-09-1.0,UserTask,8
Ex05_writer-LLM-gpt-4-turbo-2024-04-09-1.0,ExclusiveGateway,2
Ex05_writer-LLM-gpt-4-turbo-2024-04-09-1.0,EndEvent,2
Ex05_writer-LLM-gpt-4-turbo-2024-04-09-1.0,lanes,2
Ex05_writer-LLM-gpt-4-turbo-2024-04-09-1.0,StartEvent,1
Ex05_writer-LLM-gpt-4-turbo-2024-04-09-1.0,laneSets,1
Ex07_writer-LLM-gpt-4-turbo-2024-04-09-1.0,SequenceFlow,9
Ex07_writer-LLM-gpt-4-turbo-2024-04-09-1.0,sourceRef,9
Ex07_writer-LLM-gpt-4-turbo-2024-04-09-1.0,targetRef,9
Ex07_writer-LLM-gpt-4-turbo-2024-04-09-1.0,UserTask,5
Ex07_writer-LLM-gpt-4-turbo-2024-04-09-1.0,EndEvent,2
Ex07_writer-LLM-gpt-4-turbo-2024-04-09-1.0,lanes,2
Ex07_writer-LLM-gpt-4-turbo-2024-04-09-1.0,StartEvent,1
Ex07_writer-LLM-gpt-4-turbo-2024-04-09-1.0,SubProcess,1
Ex07_writer-LLM-gpt-4-turbo-2024-04-09-1.0,IntermediateCatchEvent,1
Ex07_writer-LLM-gpt-4-turbo-2024-04-09-1.0,laneSets,1
Ex08_writer-LLM-gpt-4-turbo-2024-04-09-1.0,SequenceFlow,12
Ex08_writer-LLM-gpt-4-turbo-2024-04-09-1.0,sourceRef,12
Ex08_writer-LLM-gpt-4-turbo-2024-04-09-1.0,targetRef,12
Ex08_writer-LLM-gpt-4-turbo-2024-04-09-1.0,Task,8
Ex08_writer-LLM-gpt-4-turbo-2024-04-09-1.0,ExclusiveGateway,2
Ex08_writer-LLM-gpt-4-turbo-2024-04-09-1.0,StartEvent,1
Ex08_writer-LLM-gpt-4-turbo-2024-04-09-1.0,ParallelGateway,1
Ex08_writer-LLM-gpt-4-turbo-2024-04-09-1.0,EndEvent,1
Ex08_writer-LLM-gpt-4-turbo-2024-04-09-1.0,laneSets,0
Ex08_writer-LLM-gpt-4-turbo-2024-04-09-1.0,lanes,0
Ex09_writer-LLM-gpt-4-turbo-2024-04-09-1.0,SequenceFlow,11
Ex09_writer-LLM-gpt-4-turbo-2024-04-09-1.0,sourceRef,11
Ex09_writer-LLM-gpt-4-turbo-2024-04-09-1.0,targetRef,11
Ex09_writer-LLM-gpt-4-turbo-2024-04-09-1.0,UserTask,10
Ex09_writer-LLM-gpt-4-turbo-2024-04-09-1.0,EndEvent,2
Ex09_writer-LLM-gpt-4-turbo-2024-04-09-1.0,lanes,2
Ex09_writer-LLM-gpt-4-turbo-2024-04-09-1.0,StartEvent,1
Ex09_writer-LLM-gpt-4-turbo-2024-04-09-1.0,laneSets,1
Ex10_writer-LLM-gpt-4-turbo-2024-04-09-1.0,SequenceFlow,10
Ex10_writer-LLM-gpt-4-turbo-2024-04-09-1.0,sourceRef,10
Ex10_writer-LLM-gpt-4-turbo-2024-04-09-1.0,targetRef,10
Ex10_writer-LLM-gpt-4-turbo-2024-04-09-1.0,UserTask,4
Ex10_writer-LLM-gpt-4-turbo-2024-04-09-1.0,ReceiveTask,3
Ex10_writer-LLM-gpt-4-turbo-2024-04-09-1.0,lanes,2
Ex10_writer-LLM-gpt-4-turbo-2024-04-09-1.0,StartEvent,1
Ex10_writer-LLM-gpt-4-turbo-2024-04-09-1.0,SendTask,1
Ex10_writer-LLM-gpt-4-turbo-2024-04-09-1.0,IntermediateCatchEvent,1
Ex10_writer-LLM-gpt-4-turbo-2024-04-09-1.0,EndEvent,1
Ex10_writer-LLM-gpt-4-turbo-2024-04-09-1.0,laneSets,1
