File,Tag,Occurrences
Ex00_writer-LLM-gpt-4-turbo-2024-04-09-1.0,incoming,8
Ex00_writer-LLM-gpt-4-turbo-2024-04-09-1.0,SequenceFlow,8
Ex00_writer-LLM-gpt-4-turbo-2024-04-09-1.0,sourceRef,8
Ex00_writer-LLM-gpt-4-turbo-2024-04-09-1.0,targetRef,8
Ex00_writer-LLM-gpt-4-turbo-2024-04-09-1.0,outgoing,7
Ex00_writer-LLM-gpt-4-turbo-2024-04-09-1.0,Task,5
Ex00_writer-LLM-gpt-4-turbo-2024-04-09-1.0,EndEvent,2
Ex00_writer-LLM-gpt-4-turbo-2024-04-09-1.0,StartEvent,1
Ex00_writer-LLM-gpt-4-turbo-2024-04-09-1.0,ExclusiveGateway,1
Ex00_writer-LLM-gpt-4-turbo-2024-04-09-1.0,laneSets,0
Ex00_writer-LLM-gpt-4-turbo-2024-04-09-1.0,lanes,0
Ex01_writer-LLM-gpt-4-turbo-2024-04-09-1.0,SequenceFlow,7
Ex01_writer-LLM-gpt-4-turbo-2024-04-09-1.0,sourceRef,7
Ex01_writer-LLM-gpt-4-turbo-2024-04-09-1.0,targetRef,7
Ex01_writer-LLM-gpt-4-turbo-2024-04-09-1.0,UserTask,4
Ex01_writer-LLM-gpt-4-turbo-2024-04-09-1.0,StartEvent,1
Ex01_writer-LLM-gpt-4-turbo-2024-04-09-1.0,ExclusiveGateway,1
Ex01_writer-LLM-gpt-4-turbo-2024-04-09-1.0,EndEvent,1
Ex01_writer-LLM-gpt-4-turbo-2024-04-09-1.0,laneSets,0
Ex01_writer-LLM-gpt-4-turbo-2024-04-09-1.0,lanes,0
Ex02_writer-LLM-gpt-4-turbo-2024-04-09-1.0,SequenceFlow,7
Ex02_writer-LLM-gpt-4-turbo-2024-04-09-1.0,sourceRef,7
Ex02_writer-LLM-gpt-4-turbo-2024-04-09-1.0,targetRef,7
Ex02_writer-LLM-gpt-4-turbo-2024-04-09-1.0,outgoing,6
Ex02_writer-LLM-gpt-4-turbo-2024-04-09-1.0,incoming,5
Ex02_writer-LLM-gpt-4-turbo-2024-04-09-1.0,UserTask,4
Ex02_writer-LLM-gpt-4-turbo-2024-04-09-1.0,StartEvent,1
Ex02_writer-LLM-gpt-4-turbo-2024-04-09-1.0,ExclusiveGateway,1
Ex02_writer-LLM-gpt-4-turbo-2024-04-09-1.0,EndEvent,1
Ex02_writer-LLM-gpt-4-turbo-2024-04-09-1.0,laneSets,0
Ex02_writer-LLM-gpt-4-turbo-2024-04-09-1.0,lanes,0
Ex03_writer-LLM-gpt-4-turbo-2024-04-09-1.0,SequenceFlow,13
Ex03_writer-LLM-gpt-4-turbo-2024-04-09-1.0,sourceRef,13
Ex03_writer-LLM-gpt-4-turbo-2024-04-09-1.0,targetRef,13
Ex03_writer-LLM-gpt-4-turbo-2024-04-09-1.0,UserTask,7
Ex03_writer-LLM-gpt-4-turbo-2024-04-09-1.0,ExclusiveGateway,2
Ex03_writer-LLM-gpt-4-turbo-2024-04-09-1.0,EndEvent,2
Ex03_writer-LLM-gpt-4-turbo-2024-04-09-1.0,lanes,2
Ex03_writer-LLM-gpt-4-turbo-2024-04-09-1.0,StartEvent,1
Ex03_writer-LLM-gpt-4-turbo-2024-04-09-1.0,laneSets,1
Ex04_writer-LLM-gpt-4-turbo-2024-04-09-1.0,SequenceFlow,7
Ex04_writer-LLM-gpt-4-turbo-2024-04-09-1.0,sourceRef,7
Ex04_writer-LLM-gpt-4-turbo-2024-04-09-1.0,targetRef,7
Ex04_writer-LLM-gpt-4-turbo-2024-04-09-1.0,UserTask,4
Ex04_writer-LLM-gpt-4-turbo-2024-04-09-1.0,StartEvent,1
Ex04_writer-LLM-gpt-4-turbo-2024-04-09-1.0,ExclusiveGateway,1
Ex04_writer-LLM-gpt-4-turbo-2024-04-09-1.0,EndEvent,1
Ex04_writer-LLM-gpt-4-turbo-2024-04-09-1.0,laneSets,1
Ex04_writer-LLM-gpt-4-turbo-2024-04-09-1.0,lanes,1
Ex05_writer-LLM-gpt-4-turbo-2024-04-09-1.0,SequenceFlow,10
Ex05_writer-LLM-gpt-4-turbo-2024-04-09-1.0,sourceRef,10
Ex05_writer-LLM-gpt-4-turbo-2024-04-09-1.0,targetRef,10
Ex05_writer-LLM-gpt-4-turbo-2024-04-09-1.0,UserTask,6
Ex05_writer-LLM-gpt-4-turbo-2024-04-09-1.0,lanes,2
Ex05_writer-LLM-gpt-4-turbo-2024-04-09-1.0,StartEvent,1
Ex05_writer-LLM-gpt-4-turbo-2024-04-09-1.0,ExclusiveGateway,1
Ex05_writer-LLM-gpt-4-turbo-2024-04-09-1.0,EndEvent,1
Ex05_writer-LLM-gpt-4-turbo-2024-04-09-1.0,laneSets,1
Ex07_writer-LLM-gpt-4-turbo-2024-04-09-1.0,SequenceFlow,8
Ex07_writer-LLM-gpt-4-turbo-2024-04-09-1.0,sourceRef,8
Ex07_writer-LLM-gpt-4-turbo-2024-04-09-1.0,targetRef,8
Ex07_writer-LLM-gpt-4-turbo-2024-04-09-1.0,outgoing,7
Ex07_writer-LLM-gpt-4-turbo-2024-04-09-1.0,incoming,7
Ex07_writer-LLM-gpt-4-turbo-2024-04-09-1.0,UserTask,5
Ex07_writer-LLM-gpt-4-turbo-2024-04-09-1.0,lanes,2
Ex07_writer-LLM-gpt-4-turbo-2024-04-09-1.0,StartEvent,1
Ex07_writer-LLM-gpt-4-turbo-2024-04-09-1.0,ExclusiveGateway,1
Ex07_writer-LLM-gpt-4-turbo-2024-04-09-1.0,EndEvent,1
Ex07_writer-LLM-gpt-4-turbo-2024-04-09-1.0,laneSets,1
Ex08_writer-LLM-gpt-4-turbo-2024-04-09-1.0,SequenceFlow,8
