File,Tag,Occurrences
Ex00_writer-LLM-mistral-small-latest-1.0,incoming,9
Ex00_writer-LLM-mistral-small-latest-1.0,SequenceFlow,9
Ex00_writer-LLM-mistral-small-latest-1.0,sourceRef,9
Ex00_writer-LLM-mistral-small-latest-1.0,targetRef,9
Ex00_writer-LLM-mistral-small-latest-1.0,outgoing,8
Ex00_writer-LLM-mistral-small-latest-1.0,Task,6
Ex00_writer-LLM-mistral-small-latest-1.0,EndEvent,2
Ex00_writer-LLM-mistral-small-latest-1.0,StartEvent,1
Ex00_writer-LLM-mistral-small-latest-1.0,ExclusiveGateway,1
Ex00_writer-LLM-mistral-small-latest-1.0,laneSets,0
Ex00_writer-LLM-mistral-small-latest-1.0,lanes,0
Ex01_writer-LLM-mistral-small-latest-1.0,SequenceFlow,10
Ex01_writer-LLM-mistral-small-latest-1.0,sourceRef,10
Ex01_writer-LLM-mistral-small-latest-1.0,targetRef,10
Ex01_writer-LLM-mistral-small-latest-1.0,outgoing,8
Ex01_writer-LLM-mistral-small-latest-1.0,incoming,8
Ex01_writer-LLM-mistral-small-latest-1.0,UserTask,5
Ex01_writer-LLM-mistral-small-latest-1.0,StartEvent,1
Ex01_writer-LLM-mistral-small-latest-1.0,ExclusiveGateway,1
Ex01_writer-LLM-mistral-small-latest-1.0,ParallelGateway,1
Ex01_writer-LLM-mistral-small-latest-1.0,EndEvent,1
Ex01_writer-LLM-mistral-small-latest-1.0,laneSets,0
Ex01_writer-LLM-mistral-small-latest-1.0,lanes,0
Ex02_writer-LLM-mistral-small-latest-1.0,outgoing,8
Ex02_writer-LLM-mistral-small-latest-1.0,incoming,8
Ex02_writer-LLM-mistral-small-latest-1.0,SequenceFlow,8
Ex02_writer-LLM-mistral-small-latest-1.0,sourceRef,8
Ex02_writer-LLM-mistral-small-latest-1.0,targetRef,8
Ex02_writer-LLM-mistral-small-latest-1.0,UserTask,6
Ex02_writer-LLM-mistral-small-latest-1.0,lanes,2
Ex02_writer-LLM-mistral-small-latest-1.0,StartEvent,1
Ex02_writer-LLM-mistral-small-latest-1.0,ExclusiveGateway,1
Ex02_writer-LLM-mistral-small-latest-1.0,EndEvent,1
Ex02_writer-LLM-mistral-small-latest-1.0,laneSets,1
Ex03_writer-LLM-mistral-small-latest-1.0,SequenceFlow,15
Ex03_writer-LLM-mistral-small-latest-1.0,sourceRef,15
Ex03_writer-LLM-mistral-small-latest-1.0,targetRef,15
Ex03_writer-LLM-mistral-small-latest-1.0,incoming,13
Ex03_writer-LLM-mistral-small-latest-1.0,outgoing,12
Ex03_writer-LLM-mistral-small-latest-1.0,UserTask,5
Ex03_writer-LLM-mistral-small-latest-1.0,ExclusiveGateway,3
