Target,Process,File,Tag,Occurrences,Category
Human,Ex00,ex00_writer0001.bpmn,incoming,13,Connecting Objects
Human,Ex00,ex00_writer0001.bpmn,outgoing,13,Connecting Objects
Human,Ex00,ex00_writer0001.bpmn,sequenceFlow,13,Connecting Objects
Human,Ex00,ex00_writer0002.bpmn,incoming,15,Connecting Objects
Human,Ex00,ex00_writer0002.bpmn,outgoing,15,Connecting Objects
Human,Ex00,ex00_writer0002.bpmn,sequenceFlow,15,Connecting Objects
Human,Ex00,ex00_writer0005.bpmn,incoming,13,Connecting Objects
Human,Ex00,ex00_writer0005.bpmn,outgoing,13,Connecting Objects
Human,Ex00,ex00_writer0005.bpmn,sequenceFlow,13,Connecting Objects
Human,Ex00,ex00_writer0006.bpmn,incoming,14,Connecting Objects
Human,Ex00,ex00_writer0006.bpmn,outgoing,14,Connecting Objects
Human,Ex00,ex00_writer0006.bpmn,sequenceFlow,14,Connecting Objects
Human,Ex00,ex00_writer0008.bpmn,incoming,13,Connecting Objects
Human,Ex00,ex00_writer0008.bpmn,outgoing,13,Connecting Objects
Human,Ex00,ex00_writer0008.bpmn,sequenceFlow,13,Connecting Objects
Human,Ex00,ex00_writer0013.bpmn,incoming,12,Connecting Objects
Human,Ex00,ex00_writer0013.bpmn,outgoing,12,Connecting Objects
Human,Ex00,ex00_writer0013.bpmn,sequenceFlow,12,Connecting Objects
Human,Ex00,ex00_writer0014.bpmn,incoming,13,Connecting Objects
Human,Ex00,ex00_writer0014.bpmn,outgoing,13,Connecting Objects
Human,Ex00,ex00_writer0014.bpmn,sequenceFlow,13,Connecting Objects
Human,Ex00,ex00_writer0015.bpmn,incoming,12,Connecting Objects
Human,Ex00,ex00_writer0015.bpmn,outgoing,12,Connecting Objects
Human,Ex00,ex00_writer0015.bpmn,sequenceFlow,12,Connecting Objects
Human,Ex00,ex00_writer0016.bpmn,incoming,13,Connecting Objects
Human,Ex00,ex00_writer0016.bpmn,outgoing,13,Connecting Objects
Human,Ex00,ex00_writer0016.bpmn,sequenceFlow,13,Connecting Objects
Human,Ex00,ex00_writer0017.bpmn,incoming,13,Connecting Objects
Human,Ex00,ex00_writer0017.bpmn,outgoing,13,Connecting Objects
Human,Ex00,ex00_writer0017.bpmn,sequenceFlow,13,Connecting Objects
Human,Ex00,ex00_writer0019.bpmn,incoming,13,Connecting Objects
Human,Ex00,ex00_writer0019.bpmn,outgoing,13,Connecting Objects
Human,Ex00,ex00_writer0019.bpmn,sequenceFlow,13,Connecting Objects
Human,Ex00,ex00_writer0020.bpmn,incoming,14,Connecting Objects
Human,Ex00,ex00_writer0020.bpmn,outgoing,14,Connecting Objects
Human,Ex00,ex00_writer0020.bpmn,sequenceFlow,14,Connecting Objects
Human,Ex00,ex00_writer0024.bpmn,incoming,13,Connecting Objects
Human,Ex00,ex00_writer0024.bpmn,outgoing,13,Connecting Objects
Human,Ex00,ex00_writer0024.bpmn,sequenceFlow,13,Connecting Objects
Human,Ex00,ex00_writer0025.bpmn,incoming,15,Connecting Objects
Human,Ex00,ex00_writer0025.bpmn,outgoing,15,Connecting Objects
Human,Ex00,ex00_writer0025.bpmn,sequenceFlow,15,Connecting Objects
Human,Ex00,ex00_writer0026.bpmn,incoming,13,Connecting Objects
Human,Ex00,ex00_writer0026.bpmn,outgoing,13,Connecting Objects
Human,Ex00,ex00_writer0026.bpmn,sequenceFlow,13,Connecting Objects
Human,Ex00,ex00_writer0027.bpmn,incoming,13,Connecting Objects
Human,Ex00,ex00_writer0027.bpmn,outgoing,13,Connecting Objects
Human,Ex00,ex00_writer0027.bpmn,sequenceFlow,13,Connecting Objects
Human,Ex00,ex00_writer0028.bpmn,incoming,13,Connecting Objects
Human,Ex00,ex00_writer0028.bpmn,outgoing,13,Connecting Objects
Human,Ex00,ex00_writer0028.bpmn,sequenceFlow,13,Connecting Objects
Human,Ex00,ex00_writer0030.bpmn,incoming,15,Connecting Objects
Human,Ex00,ex00_writer0030.bpmn,outgoing,15,Connecting Objects
Human,Ex00,ex00_writer0030.bpmn,sequenceFlow,15,Connecting Objects
Human,Ex00,ex00_writer0031.bpmn,incoming,13,Connecting Objects
Human,Ex00,ex00_writer0031.bpmn,outgoing,13,Connecting Objects
Human,Ex00,ex00_writer0031.bpmn,sequenceFlow,13,Connecting Objects
Human,Ex00,ex00_writer0033.bpmn,incoming,12,Connecting Objects
Human,Ex00,ex00_writer0033.bpmn,outgoing,12,Connecting Objects
Human,Ex00,ex00_writer0033.bpmn,sequenceFlow,12,Connecting Objects
Human,Ex00,ex00_writer0034.bpmn,incoming,10,Connecting Objects
Human,Ex00,ex00_writer0034.bpmn,outgoing,10,Connecting Objects
Human,Ex00,ex00_writer0034.bpmn,sequenceFlow,10,Connecting Objects
Human,Ex00,ex00_writer0035.bpmn,incoming,9,Connecting Objects
Human,Ex00,ex00_writer0035.bpmn,outgoing,9,Connecting Objects
Human,Ex00,ex00_writer0035.bpmn,sequenceFlow,9,Connecting Objects
Human,Ex00,ex00_writer0036.bpmn,incoming,13,Connecting Objects
Human,Ex00,ex00_writer0036.bpmn,outgoing,13,Connecting Objects
Human,Ex00,ex00_writer0036.bpmn,sequenceFlow,13,Connecting Objects
Human,Ex00,ex00_writer0038.bpmn,incoming,15,Connecting Objects
Human,Ex00,ex00_writer0038.bpmn,outgoing,15,Connecting Objects
Human,Ex00,ex00_writer0038.bpmn,sequenceFlow,15,Connecting Objects
