File,Tag,Occurrences
Ex00_writer-LLM-mistral-small-latest-1.0,incoming,11
Ex00_writer-LLM-mistral-small-latest-1.0,SequenceFlow,11
Ex00_writer-LLM-mistral-small-latest-1.0,sourceRef,11
Ex00_writer-LLM-mistral-small-latest-1.0,targetRef,11
Ex00_writer-LLM-mistral-small-latest-1.0,outgoing,10
Ex00_writer-LLM-mistral-small-latest-1.0,Task,6
Ex00_writer-LLM-mistral-small-latest-1.0,EndEvent,2
Ex00_writer-LLM-mistral-small-latest-1.0,ParallelGateway,2
Ex00_writer-LLM-mistral-small-latest-1.0,StartEvent,1
Ex00_writer-LLM-mistral-small-latest-1.0,ExclusiveGateway,1
Ex00_writer-LLM-mistral-small-latest-1.0,laneSets,0
Ex00_writer-LLM-mistral-small-latest-1.0,lanes,0
Ex01_writer-LLM-mistral-small-latest-1.0,SequenceFlow,11
Ex01_writer-LLM-mistral-small-latest-1.0,sourceRef,11
Ex01_writer-LLM-mistral-small-latest-1.0,targetRef,11
Ex01_writer-LLM-mistral-small-latest-1.0,outgoing,9
Ex01_writer-LLM-mistral-small-latest-1.0,incoming,9
Ex01_writer-LLM-mistral-small-latest-1.0,Task,5
Ex01_writer-LLM-mistral-small-latest-1.0,ParallelGateway,2
Ex01_writer-LLM-mistral-small-latest-1.0,StartEvent,1
Ex01_writer-LLM-mistral-small-latest-1.0,ExclusiveGateway,1
Ex01_writer-LLM-mistral-small-latest-1.0,EndEvent,1
Ex01_writer-LLM-mistral-small-latest-1.0,laneSets,0
Ex01_writer-LLM-mistral-small-latest-1.0,lanes,0
Ex02_writer-LLM-mistral-small-latest-1.0,SequenceFlow,6
Ex02_writer-LLM-mistral-small-latest-1.0,sourceRef,6
Ex02_writer-LLM-mistral-small-latest-1.0,targetRef,6
Ex02_writer-LLM-mistral-small-latest-1.0,outgoing,5
Ex02_writer-LLM-mistral-small-latest-1.0,incoming,5
Ex02_writer-LLM-mistral-small-latest-1.0,UserTask,4
Ex02_writer-LLM-mistral-small-latest-1.0,lanes,2
Ex02_writer-LLM-mistral-small-latest-1.0,DataObject,2
Ex02_writer-LLM-mistral-small-latest-1.0,StartEvent,1
Ex02_writer-LLM-mistral-small-latest-1.0,ExclusiveGateway,1
Ex02_writer-LLM-mistral-small-latest-1.0,laneSets,1
Ex03_writer-LLM-mistral-small-latest-1.0,SequenceFlow,18
Ex03_writer-LLM-mistral-small-latest-1.0,sourceRef,18
Ex03_writer-LLM-mistral-small-latest-1.0,targetRef,18
Ex03_writer-LLM-mistral-small-latest-1.0,incoming,13
Ex03_writer-LLM-mistral-small-latest-1.0,outgoing,12
Ex03_writer-LLM-mistral-small-latest-1.0,UserTask,7
Ex03_writer-LLM-mistral-small-latest-1.0,ExclusiveGateway,3
Ex03_writer-LLM-mistral-small-latest-1.0,EndEvent,2
Ex03_writer-LLM-mistral-small-latest-1.0,lanes,2
Ex03_writer-LLM-mistral-small-latest-1.0,StartEvent,1
Ex03_writer-LLM-mistral-small-latest-1.0,Task,1
Ex03_writer-LLM-mistral-small-latest-1.0,laneSets,1
Ex04_writer-LLM-mistral-small-latest-1.0,SequenceFlow,9
Ex04_writer-LLM-mistral-small-latest-1.0,sourceRef,9
Ex04_writer-LLM-mistral-small-latest-1.0,targetRef,9
Ex04_writer-LLM-mistral-small-latest-1.0,outgoing,7
Ex04_writer-LLM-mistral-small-latest-1.0,incoming,7
Ex04_writer-LLM-mistral-small-latest-1.0,UserTask,5
