File,Tag,Occurrences
Ex00_writer-LLM-gpt-4o-2024-08-06-0.0,incoming,9
Ex00_writer-LLM-gpt-4o-2024-08-06-0.0,SequenceFlow,9
Ex00_writer-LLM-gpt-4o-2024-08-06-0.0,sourceRef,9
Ex00_writer-LLM-gpt-4o-2024-08-06-0.0,targetRef,9
Ex00_writer-LLM-gpt-4o-2024-08-06-0.0,outgoing,8
Ex00_writer-LLM-gpt-4o-2024-08-06-0.0,UserTask,6
Ex00_writer-LLM-gpt-4o-2024-08-06-0.0,EndEvent,2
Ex00_writer-LLM-gpt-4o-2024-08-06-0.0,StartEvent,1
Ex00_writer-LLM-gpt-4o-2024-08-06-0.0,ExclusiveGateway,1
Ex00_writer-LLM-gpt-4o-2024-08-06-0.0,laneSets,0
Ex00_writer-LLM-gpt-4o-2024-08-06-0.0,lanes,0
Ex01_writer-LLM-gpt-4o-2024-08-06-0.0,outgoing,7
Ex01_writer-LLM-gpt-4o-2024-08-06-0.0,incoming,7
Ex01_writer-LLM-gpt-4o-2024-08-06-0.0,SequenceFlow,7
Ex01_writer-LLM-gpt-4o-2024-08-06-0.0,sourceRef,7
Ex01_writer-LLM-gpt-4o-2024-08-06-0.0,targetRef,7
Ex01_writer-LLM-gpt-4o-2024-08-06-0.0,Task,5
Ex01_writer-LLM-gpt-4o-2024-08-06-0.0,StartEvent,1
Ex01_writer-LLM-gpt-4o-2024-08-06-0.0,ExclusiveGateway,1
Ex01_writer-LLM-gpt-4o-2024-08-06-0.0,EndEvent,1
Ex01_writer-LLM-gpt-4o-2024-08-06-0.0,laneSets,0
Ex01_writer-LLM-gpt-4o-2024-08-06-0.0,lanes,0
Ex02_writer-LLM-gpt-4o-2024-08-06-0.0,SequenceFlow,7
Ex02_writer-LLM-gpt-4o-2024-08-06-0.0,sourceRef,7
Ex02_writer-LLM-gpt-4o-2024-08-06-0.0,targetRef,7
Ex02_writer-LLM-gpt-4o-2024-08-06-0.0,outgoing,6
Ex02_writer-LLM-gpt-4o-2024-08-06-0.0,incoming,6
Ex02_writer-LLM-gpt-4o-2024-08-06-0.0,UserTask,4
Ex02_writer-LLM-gpt-4o-2024-08-06-0.0,lanes,2
Ex02_writer-LLM-gpt-4o-2024-08-06-0.0,StartEvent,1
Ex02_writer-LLM-gpt-4o-2024-08-06-0.0,ExclusiveGateway,1
Ex02_writer-LLM-gpt-4o-2024-08-06-0.0,EndEvent,1
Ex02_writer-LLM-gpt-4o-2024-08-06-0.0,laneSets,1
Ex03_writer-LLM-gpt-4o-2024-08-06-0.0,outgoing,12
Ex03_writer-LLM-gpt-4o-2024-08-06-0.0,incoming,12
Ex03_writer-LLM-gpt-4o-2024-08-06-0.0,SequenceFlow,9
Ex03_writer-LLM-gpt-4o-2024-08-06-0.0,sourceRef,9
Ex03_writer-LLM-gpt-4o-2024-08-06-0.0,targetRef,9
Ex03_writer-LLM-gpt-4o-2024-08-06-0.0,UserTask,5
Ex03_writer-LLM-gpt-4o-2024-08-06-0.0,ExclusiveGateway,3
Ex03_writer-LLM-gpt-4o-2024-08-06-0.0,ServiceTask,3
