node,total_emissions
generate_query_node,5.199209394109377e-08
cache_context_node,5.1594096937111833e-08
model_generation_node,4.33188188376298e-05
model_validation_node,6.603775099761568e-05
model_validation_node,5.52942641163071e-05
model_validation_node,6.0431133234774204e-05
model_generation_node,1.2511188749571524e-07
model_validation_node,1.093039939582213e-07
model_validation_node,3.314635400899226e-05
model_validation_node,1.301402020313769e-07
FILE_2024-02-14 17.58 11%20-%20JPEG%20Reduced-representations.aird.hepsy,0.0005360337826671966
