node,total_emissions
generate_query_node,5.625669843298804e-08
cache_context_node,1.3135812156041046e-07
model_generation_node,5.5010435564143906e-05
model_validation_node,4.010452354950781e-05
model_validation_node,2.6619311817666906e-05
model_validation_node,2.3944216466215636e-05
model_generation_node,1.4183786396035855e-07
model_validation_node,1.0030921641427625e-07
model_validation_node,2.3506618663961055e-05
model_validation_node,9.535269691278439e-08
FILE_2024-02-14 16.25 08%20-%20RASTA-PLP-representations.aird.hepsy,0.0004492319235155018
