file_name,total_emissions
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,0.014032790395568493
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,0.007328031269188623
2024-02-13 17.34 01%20-%20FIRFIRGCD-representations.aird.hepsy,0.011566061960323318
2024-02-14 14.40 02%20-%20RT%20App-representations.aird.hepsy,0.009082193564582309
2024-02-14 14.50 03%20-%20RT%20App%20Paper-representations.aird.hepsy,0.00841051530195243
2024-02-14 15.04 04%20-%20RT%20App%20Paper%202-representations.aird.hepsy,0.00857248630105368
2024-02-14 15.40 05%20-%20Hepsy%20Example-representations.aird.hepsy,0.003790585136829172
2024-02-14 15.51 06%20-%20Sobel-representations.aird.hepsy,0.0043364832043051955
2024-02-14 15.52 07%20-%20Roberts-representations.aird.hepsy,0.002103322889568203
2024-02-14 16.25 08%20-%20RASTA-PLP-representations.aird.hepsy,0.00922154767310685
2024-02-14 17.00 09%20-%20Susan-representations.aird.hepsy,0.01030553995005026
2024-02-14 17.46 10%20-%20JPEG_encoder-representations.aird.hepsy,0.003403500497877715
2024-02-14 17.58 11%20-%20JPEG%20Reduced-representations.aird.hepsy,0.002602650746251017
2024-02-14 18.17 12%20-%20FIRFIRGCD_ext-representations.aird.hepsy,0.002451249722353795
2024-02-14 18.30 13%20-%20FIRFIRGCD_HPV-representations.aird.hepsy,0.00455408212561956
TOTAL_APP,0.10642429552430584
