N,Missing,Mean,SE,95% Confidence Interval Lower,95% Confidence Interval Upper,Median,Mode,Sum,SD,Variance,IQR,Range,Minimum,Maximum,Skewness,Kurtosis,Shapiro-Wilk W,Shapiro-Wilk p value,25th,50th,75th,90th,95th,99th,Tag
105,0,1.5333333333333334,0.08127494451315616,1.3740344420875474,1.6926322245791194,1.0,1,161,0.8328203549324094,0.6935897435897442,1.0,3,1,4,1.349077500895116,0.6793283472449523,0.6699769021396137,4.959479228527898e-14,1.0,1.0,2.0,3.0,3.0,4.0,association
15,0,1.0,0.0,,,1.0,1,15,0.0,0.0,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,callActivity
46,0,1.1304347826086956,0.05020437123388052,1.0320342149902897,1.2288353502271014,1.0,1,52,0.34050261230349954,0.11594202898550733,0.0,1,1,2,2.1946905628508686,2.8166666666666655,0.3977236598756967,1.7372378393197052e-12,1.0,1.0,1.0,2.0,2.0,2.0,childLaneSet
242,0,3.8636363636363638,0.15606460401222608,3.5577497397724005,4.169522987500327,4.0,1,935,2.4277954756052433,5.8941908713692905,3.0,12,1,13,0.8201905199571491,0.5070459075827003,0.9166348893429896,2.1535434575393455e-10,2.0,4.0,5.0,7.0,8.0,10.590000000000003,dataInputAssociation
243,0,3.6049382716049383,0.13170584077766173,3.3467948236807215,3.863081719529155,3.0,2,876,2.053090870924383,4.21518212427304,3.0,10,1,11,0.9100324881213181,0.6529725350090279,0.9152554475071788,1.5843545470271614e-10,2.0,3.0,5.0,6.0,8.0,9.0,dataObject
245,0,3.620408163265306,0.13137064444747118,3.3629217001482625,3.8778946263823495,3.0,2,887,2.056275838627506,4.228270324523254,3.0,10,1,11,0.8942673318197569,0.6037932319914145,0.916824868505094,1.8506381633424733e-10,2.0,3.0,5.0,6.0,8.0,9.0,dataObjectReference
255,0,3.2901960784313724,0.11172745587829733,3.07121026490991,3.509181891952835,3.0,3,839,1.7841443947294184,3.183171221244403,2.0,9,1,10,0.9459471898846048,0.8113909471700209,0.9086918268030009,2.388740397673497e-11,2.0,3.0,4.0,6.0,7.0,8.460000000000008,dataOutputAssociation
147,0,1.489795918367347,0.07923273086055552,1.334499765880658,1.645092070854036,1.0,1,219,0.9606458083103888,0.9228403690243203,1.0,5,1,6,2.517608808694725,6.550019634563105,0.5689090134901198,5.35536989989882e-19,1.0,1.0,2.0,2.0,3.6999999999999886,5.0,dataStoreReference
675,0,1.7733333333333334,0.03906591519854659,1.6967641395441821,1.8499025271224847,2.0,1,1197,1.0149622495208985,1.0301483679525227,1.0,6,1,7,1.7679955463680816,3.8860674699134927,0.7356142515681947,2.241509312105945e-31,1.0,2.0,2.0,3.0,4.0,5.0,endEvent
155,0,1.103225806451613,0.029197037382328313,1.0459996131822495,1.1604519997209763,1.0,1,171,0.36350018396871125,0.1321323837452869,0.0,3,1,4,4.547570925058057,26.51244305728068,0.30449573085088943,5.0161055256098225e-24,1.0,1.0,1.0,1.0,2.0,2.0,eventBasedGateway
635,0,2.121259842519685,0.044232219169548566,2.0345646929473697,2.207954992092,2.0,2,1347,1.1146168175839588,1.2423706500409921,2.0,7,1,8,1.0593687343058666,1.2379625804493957,0.8413975427640596,1.1428229852317767e-24,1.0,2.0,3.0,4.0,4.0,5.0,exclusiveGateway
280,0,15.107142857142858,0.34822322976158954,14.424625326810142,15.789660387475573,15.0,16,4230,5.82688913304226,33.95263696876599,6.0,35,3,38,1.100667747311567,2.0687159518332408,0.9307787316516029,3.8024579871363376e-10,11.0,15.0,17.0,23.0,26.0,36.0,flowNodeRef
2,0,1.5,0.5,0.52,2.48,1.5,1,3,0.7071067811865476,0.5,0.5,1,1,2,,,,,1.25,1.5,1.75,1.9,1.95,1.99,inclusiveGateway
704,0,14.058238636363637,0.17261643297597112,13.719910427730733,14.39656684499654,13.0,12,9897,4.580031526646617,20.97668878507694,5.0,39,3,42,1.4770113151361426,5.7662162517203175,0.9116025926405699,8.320619246012506e-20,12.0,13.0,17.0,19.0,21.0,27.0,incoming
291,0,2.7353951890034365,0.08534140116250151,2.5681260427249337,2.9026643352819392,2.0,2,796,1.4558152468436003,2.119398032942293,2.0,9,1,10,1.2452273213493663,3.261666338165223,0.8660247200629391,3.2941855466894403e-15,2.0,2.0,4.0,4.0,5.0,8.100000000000023,intermediateCatchEvent
185,0,1.6108108108108108,0.06940624004242438,1.474774580327659,1.7468470412939625,1.0,1,298,0.9440269270592482,0.8911868390129271,1.0,6,1,7,2.2824143717635788,7.56291568973905,0.6670927346671736,7.167367460453349e-19,1.0,1.0,2.0,3.0,3.0,5.159999999999997,intermediateThrowEvent
280,0,2.4571428571428573,0.047124932588286254,2.3647779892698164,2.549507725015898,2.0,2,688,0.788550946994642,0.6218125960061467,1.0,5,1,6,1.5914676540214072,3.4828461622584346,0.7272083397891518,3.934545062183901e-21,2.0,2.0,3.0,3.0,4.0,5.0,lane
387,0,1.1085271317829457,0.017053168108478386,1.0751029222903281,1.1419513412755633,1.0,1,429,0.33547530454780333,0.1125436799614414,0.0,2,1,3,3.116591272574063,9.546881089830304,0.34896748290388124,7.704317411899971e-35,1.0,1.0,1.0,1.400000000000034,2.0,2.0,laneSet
456,0,3.300438596491228,0.11907522155219111,3.0670511622489336,3.5338260307335227,3.0,1,1505,2.5427509167814195,6.46558222479275,4.0,21,1,22,2.3124649858665514,11.85477964436122,0.78921767406852,7.426859233982125e-24,1.0,3.0,5.0,6.0,7.0,10.0,messageEventDefinition
76,0,1.5657894736842106,0.1405946348153922,1.2902239894460419,1.8413549579223794,1.0,1,119,1.2256756103285997,1.5022807017543856,1.0,6,1,7,2.7990388038077,8.445244484181098,0.5304064874231773,3.2913329948211283e-14,1.0,1.0,2.0,3.0,4.0,7.0,multiInstanceLoopCharacteristics
704,0,14.059659090909092,0.17270351221743352,13.721160206962923,14.39815797485526,13.0,12,9898,4.582342000014293,20.997858205094996,5.0,39,3,42,1.4763092400164881,5.75206709047187,0.911663021124157,8.448511472449218e-20,12.0,13.0,17.0,19.0,21.0,27.0,outgoing
272,0,2.4301470588235294,0.056423792625892866,2.3195564252767795,2.5407376923702794,2.0,2,661,0.9305650271780126,0.8659512698068154,1.0,5,1,6,1.0850732516109387,0.7547136691194543,0.7415059739632626,2.532865300074356e-20,2.0,2.0,3.0,4.0,4.0,4.2900000000000205,parallelGateway
704,0,1.3664772727272727,0.025085882470622947,1.3173089430848517,1.4156456023696937,1.0,1,962,0.6656036775200802,0.4430282555282549,1.0,3,1,4,1.8581922047897161,2.9952211334287586,0.5974568935875457,1.9436985092326537e-37,1.0,1.0,2.0,2.0,3.0,4.0,process
