file_name,execution_time
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,33.36700105667114
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,163.78922748565674
2024-02-13 17.34 01%20-%20FIRFIRGCD-representations.aird.hepsy,96.22226786613464
2024-02-14 14.40 02%20-%20RT%20App-representations.aird.hepsy,86.86275887489319
2024-02-14 14.50 03%20-%20RT%20App%20Paper-representations.aird.hepsy,92.5195300579071
2024-02-14 15.04 04%20-%20RT%20App%20Paper%202-representations.aird.hepsy,50.746535539627075
2024-02-14 15.40 05%20-%20Hepsy%20Example-representations.aird.hepsy,51.73528814315796
2024-02-14 15.51 06%20-%20Sobel-representations.aird.hepsy,30.101929664611816
2024-02-14 15.52 07%20-%20Roberts-representations.aird.hepsy,81.82323622703552
2024-02-14 16.25 08%20-%20RASTA-PLP-representations.aird.hepsy,81.37488555908203
2024-02-14 17.00 09%20-%20Susan-representations.aird.hepsy,89.2967140674591
2024-02-14 17.46 10%20-%20JPEG_encoder-representations.aird.hepsy,33.31484365463257
2024-02-14 17.58 11%20-%20JPEG%20Reduced-representations.aird.hepsy,90.67894840240479
2024-02-14 18.17 12%20-%20FIRFIRGCD_ext-representations.aird.hepsy,92.72519207000732
2024-02-14 18.30 13%20-%20FIRFIRGCD_HPV-representations.aird.hepsy,31.211615085601807
TOTAL_APP,1106.387748003006
