node,total_emissions
generate_query_node,4.340813371551155e-08
cache_context_node,5.382450194475965e-08
model_generation_node,3.131953015577864e-05
model_validation_node,4.0027479929438484e-05
model_validation_node,3.2693644577804794e-05
model_validation_node,3.12385990009528e-07
model_generation_node,2.3953697297272005e-07
model_validation_node,4.0670143236324604e-05
model_validation_node,3.8609970394584846e-05
model_validation_node,1.6147677751468466e-07
FILE_2024-02-13 17.34 01%20-%20FIRFIRGCD-representations.aird.hepsy,0.0005061095128140834
