file_name,total_emissions
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,0.00015766199027543776
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,0.00088038115326807
2024-02-13 17.34 01%20-%20FIRFIRGCD-representations.aird.hepsy,0.0005061095128140834
2024-02-14 14.40 02%20-%20RT%20App-representations.aird.hepsy,0.00045434343570075825
2024-02-14 14.50 03%20-%20RT%20App%20Paper-representations.aird.hepsy,0.0004854861825810591
2024-02-14 15.04 04%20-%20RT%20App%20Paper%202-representations.aird.hepsy,0.0002537935125451624
2024-02-14 15.40 05%20-%20Hepsy%20Example-representations.aird.hepsy,0.00025976385212020403
2024-02-14 15.51 06%20-%20Sobel-representations.aird.hepsy,0.00013940645607946666
2024-02-14 15.52 07%20-%20Roberts-representations.aird.hepsy,0.00042629768493625703
2024-02-14 16.25 08%20-%20RASTA-PLP-representations.aird.hepsy,0.00042365262516767517
2024-02-14 17.00 09%20-%20Susan-representations.aird.hepsy,0.00046694944501968
2024-02-14 17.46 10%20-%20JPEG_encoder-representations.aird.hepsy,0.000157649103572291
2024-02-14 17.58 11%20-%20JPEG%20Reduced-representations.aird.hepsy,0.0004754936143500598
2024-02-14 18.17 12%20-%20FIRFIRGCD_ext-representations.aird.hepsy,0.00048627288435102177
2024-02-14 18.30 13%20-%20FIRFIRGCD_HPV-representations.aird.hepsy,0.00014553395893759146
TOTAL_APP,0.006129370916253225
