Target,File,Tag,Occurrences,Category,CategoryEMF
MS-RAG-0,Ex00_writer-LLM-mistral-small-latest-0.0,incoming,9,Connecting Objects,Attributes
MS-RAG-0,Ex00_writer-LLM-mistral-small-latest-0.0,SequenceFlow,9,Connecting Objects,Relations
MS-RAG-0,Ex00_writer-LLM-mistral-small-latest-0.0,sourceRef,9,Connecting Objects,Attributes
MS-RAG-0,Ex00_writer-LLM-mistral-small-latest-0.0,targetRef,9,Connecting Objects,Attributes
MS-RAG-0,Ex00_writer-LLM-mistral-small-latest-0.0,outgoing,8,Connecting Objects,Attributes
MS-RAG-0,Ex00_writer-LLM-mistral-small-latest-0.0,Task,6,Flow Objects,Classes
MS-RAG-0,Ex00_writer-LLM-mistral-small-latest-0.0,EndEvent,2,Flow Objects,Classes
MS-RAG-0,Ex00_writer-LLM-mistral-small-latest-0.0,StartEvent,1,Flow Objects,Classes
MS-RAG-0,Ex00_writer-LLM-mistral-small-latest-0.0,ExclusiveGateway,1,Flow Objects,Classes
MS-RAG-0,Ex00_writer-LLM-mistral-small-latest-0.0,laneSets,0,Swim Lanes,Classes
MS-RAG-0,Ex00_writer-LLM-mistral-small-latest-0.0,lanes,0,Swim Lanes,Classes
MS-RAG-0,Ex01_writer-LLM-mistral-small-latest-0.0,SequenceFlow,10,Connecting Objects,Relations
MS-RAG-0,Ex01_writer-LLM-mistral-small-latest-0.0,sourceRef,10,Connecting Objects,Attributes
MS-RAG-0,Ex01_writer-LLM-mistral-small-latest-0.0,targetRef,10,Connecting Objects,Attributes
MS-RAG-0,Ex01_writer-LLM-mistral-small-latest-0.0,outgoing,8,Connecting Objects,Attributes
MS-RAG-0,Ex01_writer-LLM-mistral-small-latest-0.0,incoming,8,Connecting Objects,Attributes
MS-RAG-0,Ex01_writer-LLM-mistral-small-latest-0.0,Task,5,Flow Objects,Classes
MS-RAG-0,Ex01_writer-LLM-mistral-small-latest-0.0,StartEvent,1,Flow Objects,Classes
MS-RAG-0,Ex01_writer-LLM-mistral-small-latest-0.0,ExclusiveGateway,1,Flow Objects,Classes
MS-RAG-0,Ex01_writer-LLM-mistral-small-latest-0.0,ParallelGateway,1,Flow Objects,Classes
MS-RAG-0,Ex01_writer-LLM-mistral-small-latest-0.0,EndEvent,1,Flow Objects,Classes
MS-RAG-0,Ex01_writer-LLM-mistral-small-latest-0.0,laneSets,0,Swim Lanes,Classes
MS-RAG-0,Ex01_writer-LLM-mistral-small-latest-0.0,lanes,0,Swim Lanes,Classes
MS-RAG-0,Ex02_writer-LLM-mistral-small-latest-0.0,SequenceFlow,5,Connecting Objects,Relations
