Target,File,Tag,Occurrences,Category,CategoryEMF
GPT-4T-NoRAG-0,Ex00_writer-LLM-gpt-4-turbo-2024-04-09-0.0,incoming,9,Connecting Objects,Attributes
GPT-4T-NoRAG-0,Ex00_writer-LLM-gpt-4-turbo-2024-04-09-0.0,SequenceFlow,9,Connecting Objects,Relations
GPT-4T-NoRAG-0,Ex00_writer-LLM-gpt-4-turbo-2024-04-09-0.0,sourceRef,9,Connecting Objects,Attributes
GPT-4T-NoRAG-0,Ex00_writer-LLM-gpt-4-turbo-2024-04-09-0.0,targetRef,9,Connecting Objects,Attributes
GPT-4T-NoRAG-0,Ex00_writer-LLM-gpt-4-turbo-2024-04-09-0.0,outgoing,8,Connecting Objects,Attributes
GPT-4T-NoRAG-0,Ex00_writer-LLM-gpt-4-turbo-2024-04-09-0.0,Task,6,Flow Objects,Classes
GPT-4T-NoRAG-0,Ex00_writer-LLM-gpt-4-turbo-2024-04-09-0.0,EndEvent,2,Flow Objects,Classes
GPT-4T-NoRAG-0,Ex00_writer-LLM-gpt-4-turbo-2024-04-09-0.0,StartEvent,1,Flow Objects,Classes
GPT-4T-NoRAG-0,Ex00_writer-LLM-gpt-4-turbo-2024-04-09-0.0,ExclusiveGateway,1,Flow Objects,Classes
GPT-4T-NoRAG-0,Ex00_writer-LLM-gpt-4-turbo-2024-04-09-0.0,laneSets,0,Swim Lanes,Classes
GPT-4T-NoRAG-0,Ex00_writer-LLM-gpt-4-turbo-2024-04-09-0.0,lanes,0,Swim Lanes,Classes
GPT-4T-NoRAG-0,Ex01_writer-LLM-gpt-4-turbo-2024-04-09-0.0,SequenceFlow,9,Connecting Objects,Relations
GPT-4T-NoRAG-0,Ex01_writer-LLM-gpt-4-turbo-2024-04-09-0.0,sourceRef,9,Connecting Objects,Attributes
GPT-4T-NoRAG-0,Ex01_writer-LLM-gpt-4-turbo-2024-04-09-0.0,targetRef,9,Connecting Objects,Attributes
GPT-4T-NoRAG-0,Ex01_writer-LLM-gpt-4-turbo-2024-04-09-0.0,outgoing,8,Connecting Objects,Attributes
GPT-4T-NoRAG-0,Ex01_writer-LLM-gpt-4-turbo-2024-04-09-0.0,incoming,8,Connecting Objects,Attributes
GPT-4T-NoRAG-0,Ex01_writer-LLM-gpt-4-turbo-2024-04-09-0.0,Task,5,Flow Objects,Classes
GPT-4T-NoRAG-0,Ex01_writer-LLM-gpt-4-turbo-2024-04-09-0.0,ExclusiveGateway,2,Flow Objects,Classes
GPT-4T-NoRAG-0,Ex01_writer-LLM-gpt-4-turbo-2024-04-09-0.0,StartEvent,1,Flow Objects,Classes
GPT-4T-NoRAG-0,Ex01_writer-LLM-gpt-4-turbo-2024-04-09-0.0,EndEvent,1,Flow Objects,Classes
GPT-4T-NoRAG-0,Ex01_writer-LLM-gpt-4-turbo-2024-04-09-0.0,laneSets,0,Swim Lanes,Classes
GPT-4T-NoRAG-0,Ex01_writer-LLM-gpt-4-turbo-2024-04-09-0.0,lanes,0,Swim Lanes,Classes
GPT-4T-NoRAG-0,Ex02_writer-LLM-gpt-4-turbo-2024-04-09-0.0,SequenceFlow,6,Connecting Objects,Relations
GPT-4T-NoRAG-0,Ex02_writer-LLM-gpt-4-turbo-2024-04-09-0.0,sourceRef,6,Connecting Objects,Attributes
GPT-4T-NoRAG-0,Ex02_writer-LLM-gpt-4-turbo-2024-04-09-0.0,targetRef,6,Connecting Objects,Attributes
GPT-4T-NoRAG-0,Ex02_writer-LLM-gpt-4-turbo-2024-04-09-0.0,outgoing,5,Connecting Objects,Attributes
