Target,File,Tag,Occurrences,Category,CategoryEMF
ML-RAG-0,Ex00_writer-LLM-mistral-large-latest-0.0,incoming,9,Connecting Objects,Attributes
ML-RAG-0,Ex00_writer-LLM-mistral-large-latest-0.0,SequenceFlow,9,Connecting Objects,Relations
ML-RAG-0,Ex00_writer-LLM-mistral-large-latest-0.0,sourceRef,9,Connecting Objects,Attributes
ML-RAG-0,Ex00_writer-LLM-mistral-large-latest-0.0,targetRef,9,Connecting Objects,Attributes
ML-RAG-0,Ex00_writer-LLM-mistral-large-latest-0.0,outgoing,8,Connecting Objects,Attributes
ML-RAG-0,Ex00_writer-LLM-mistral-large-latest-0.0,Task,6,Flow Objects,Classes
ML-RAG-0,Ex00_writer-LLM-mistral-large-latest-0.0,EndEvent,2,Flow Objects,Classes
ML-RAG-0,Ex00_writer-LLM-mistral-large-latest-0.0,StartEvent,1,Flow Objects,Classes
ML-RAG-0,Ex00_writer-LLM-mistral-large-latest-0.0,ExclusiveGateway,1,Flow Objects,Classes
ML-RAG-0,Ex00_writer-LLM-mistral-large-latest-0.0,laneSets,0,Swim Lanes,Classes
ML-RAG-0,Ex00_writer-LLM-mistral-large-latest-0.0,lanes,0,Swim Lanes,Classes
ML-RAG-0,Ex01_writer-LLM-mistral-large-latest-0.0,SequenceFlow,8,Connecting Objects,Relations
ML-RAG-0,Ex01_writer-LLM-mistral-large-latest-0.0,sourceRef,8,Connecting Objects,Attributes
ML-RAG-0,Ex01_writer-LLM-mistral-large-latest-0.0,targetRef,8,Connecting Objects,Attributes
ML-RAG-0,Ex01_writer-LLM-mistral-large-latest-0.0,outgoing,7,Connecting Objects,Attributes
ML-RAG-0,Ex01_writer-LLM-mistral-large-latest-0.0,incoming,7,Connecting Objects,Attributes
ML-RAG-0,Ex01_writer-LLM-mistral-large-latest-0.0,Task,5,Flow Objects,Classes
ML-RAG-0,Ex01_writer-LLM-mistral-large-latest-0.0,StartEvent,1,Flow Objects,Classes
ML-RAG-0,Ex01_writer-LLM-mistral-large-latest-0.0,ExclusiveGateway,1,Flow Objects,Classes
ML-RAG-0,Ex01_writer-LLM-mistral-large-latest-0.0,EndEvent,1,Flow Objects,Classes
ML-RAG-0,Ex01_writer-LLM-mistral-large-latest-0.0,laneSets,0,Swim Lanes,Classes
ML-RAG-0,Ex01_writer-LLM-mistral-large-latest-0.0,lanes,0,Swim Lanes,Classes
ML-RAG-0,Ex02_writer-LLM-mistral-large-latest-0.0,SequenceFlow,8,Connecting Objects,Relations
ML-RAG-0,Ex02_writer-LLM-mistral-large-latest-0.0,sourceRef,8,Connecting Objects,Attributes
ML-RAG-0,Ex02_writer-LLM-mistral-large-latest-0.0,targetRef,8,Connecting Objects,Attributes
ML-RAG-0,Ex02_writer-LLM-mistral-large-latest-0.0,outgoing,7,Connecting Objects,Attributes
ML-RAG-0,Ex02_writer-LLM-mistral-large-latest-0.0,incoming,7,Connecting Objects,Attributes
ML-RAG-0,Ex02_writer-LLM-mistral-large-latest-0.0,UserTask,5,Flow Objects,Classes
ML-RAG-0,Ex02_writer-LLM-mistral-large-latest-0.0,lanes,2,Swim Lanes,Classes
ML-RAG-0,Ex02_writer-LLM-mistral-large-latest-0.0,StartEvent,1,Flow Objects,Classes
ML-RAG-0,Ex02_writer-LLM-mistral-large-latest-0.0,ExclusiveGateway,1,Flow Objects,Classes
ML-RAG-0,Ex02_writer-LLM-mistral-large-latest-0.0,EndEvent,1,Flow Objects,Classes
ML-RAG-0,Ex02_writer-LLM-mistral-large-latest-0.0,laneSets,1,Swim Lanes,Classes
ML-RAG-0,Ex03_writer-LLM-mistral-large-latest-0.0,SequenceFlow,16,Connecting Objects,Relations
ML-RAG-0,Ex03_writer-LLM-mistral-large-latest-0.0,sourceRef,16,Connecting Objects,Attributes
ML-RAG-0,Ex03_writer-LLM-mistral-large-latest-0.0,targetRef,16,Connecting Objects,Attributes
ML-RAG-0,Ex03_writer-LLM-mistral-large-latest-0.0,incoming,12,Connecting Objects,Attributes
ML-RAG-0,Ex03_writer-LLM-mistral-large-latest-0.0,outgoing,11,Connecting Objects,Attributes
ML-RAG-0,Ex03_writer-LLM-mistral-large-latest-0.0,UserTask,7,Flow Objects,Classes
ML-RAG-0,Ex03_writer-LLM-mistral-large-latest-0.0,ExclusiveGateway,3,Flow Objects,Classes
ML-RAG-0,Ex03_writer-LLM-mistral-large-latest-0.0,EndEvent,2,Flow Objects,Classes
