Target,File,Tag,Occurrences,Category,CategoryEMF
MS-NoRAG-0,Ex00_writer-LLM-mistral-small-latest-0.0,incoming,10,Connecting Objects,Attributes
MS-NoRAG-0,Ex00_writer-LLM-mistral-small-latest-0.0,SequenceFlow,10,Connecting Objects,Relations
MS-NoRAG-0,Ex00_writer-LLM-mistral-small-latest-0.0,sourceRef,10,Connecting Objects,Attributes
MS-NoRAG-0,Ex00_writer-LLM-mistral-small-latest-0.0,targetRef,10,Connecting Objects,Attributes
MS-NoRAG-0,Ex00_writer-LLM-mistral-small-latest-0.0,outgoing,9,Connecting Objects,Attributes
MS-NoRAG-0,Ex00_writer-LLM-mistral-small-latest-0.0,Task,6,Flow Objects,Classes
MS-NoRAG-0,Ex00_writer-LLM-mistral-small-latest-0.0,EndEvent,2,Flow Objects,Classes
MS-NoRAG-0,Ex00_writer-LLM-mistral-small-latest-0.0,StartEvent,1,Flow Objects,Classes
MS-NoRAG-0,Ex00_writer-LLM-mistral-small-latest-0.0,ExclusiveGateway,1,Flow Objects,Classes
MS-NoRAG-0,Ex00_writer-LLM-mistral-small-latest-0.0,ParallelGateway,1,Flow Objects,Classes
MS-NoRAG-0,Ex00_writer-LLM-mistral-small-latest-0.0,laneSets,0,Swim Lanes,Classes
MS-NoRAG-0,Ex00_writer-LLM-mistral-small-latest-0.0,lanes,0,Swim Lanes,Classes
MS-NoRAG-0,Ex01_writer-LLM-mistral-small-latest-0.0,SequenceFlow,10,Connecting Objects,Relations
MS-NoRAG-0,Ex01_writer-LLM-mistral-small-latest-0.0,sourceRef,10,Connecting Objects,Attributes
MS-NoRAG-0,Ex01_writer-LLM-mistral-small-latest-0.0,targetRef,10,Connecting Objects,Attributes
MS-NoRAG-0,Ex01_writer-LLM-mistral-small-latest-0.0,outgoing,8,Connecting Objects,Attributes
MS-NoRAG-0,Ex01_writer-LLM-mistral-small-latest-0.0,incoming,8,Connecting Objects,Attributes
MS-NoRAG-0,Ex01_writer-LLM-mistral-small-latest-0.0,Task,5,Flow Objects,Classes
MS-NoRAG-0,Ex01_writer-LLM-mistral-small-latest-0.0,StartEvent,1,Flow Objects,Classes
MS-NoRAG-0,Ex01_writer-LLM-mistral-small-latest-0.0,ExclusiveGateway,1,Flow Objects,Classes
MS-NoRAG-0,Ex01_writer-LLM-mistral-small-latest-0.0,ParallelGateway,1,Flow Objects,Classes
MS-NoRAG-0,Ex01_writer-LLM-mistral-small-latest-0.0,EndEvent,1,Flow Objects,Classes
MS-NoRAG-0,Ex01_writer-LLM-mistral-small-latest-0.0,laneSets,0,Swim Lanes,Classes
MS-NoRAG-0,Ex01_writer-LLM-mistral-small-latest-0.0,lanes,0,Swim Lanes,Classes
MS-NoRAG-0,Ex02_writer-LLM-mistral-small-latest-0.0,SequenceFlow,23,Connecting Objects,Relations
MS-NoRAG-0,Ex02_writer-LLM-mistral-small-latest-0.0,sourceRef,23,Connecting Objects,Attributes
MS-NoRAG-0,Ex02_writer-LLM-mistral-small-latest-0.0,targetRef,23,Connecting Objects,Attributes
MS-NoRAG-0,Ex02_writer-LLM-mistral-small-latest-0.0,incoming,20,Connecting Objects,Attributes
MS-NoRAG-0,Ex02_writer-LLM-mistral-small-latest-0.0,outgoing,19,Connecting Objects,Attributes
MS-NoRAG-0,Ex02_writer-LLM-mistral-small-latest-0.0,UserTask,10,Flow Objects,Classes
MS-NoRAG-0,Ex02_writer-LLM-mistral-small-latest-0.0,DataObject,6,Artifacts,Classes
MS-NoRAG-0,Ex02_writer-LLM-mistral-small-latest-0.0,ExclusiveGateway,4,Flow Objects,Classes
MS-NoRAG-0,Ex02_writer-LLM-mistral-small-latest-0.0,lanes,3,Swim Lanes,Classes
MS-NoRAG-0,Ex02_writer-LLM-mistral-small-latest-0.0,DataStore,3,Artifacts,Classes
MS-NoRAG-0,Ex02_writer-LLM-mistral-small-latest-0.0,ParallelGateway,2,Flow Objects,Classes
MS-NoRAG-0,Ex02_writer-LLM-mistral-small-latest-0.0,EndEvent,2,Flow Objects,Classes
MS-NoRAG-0,Ex02_writer-LLM-mistral-small-latest-0.0,StartEvent,1,Flow Objects,Classes
MS-NoRAG-0,Ex02_writer-LLM-mistral-small-latest-0.0,SubProcess,1,Flow Objects,Classes
MS-NoRAG-0,Ex02_writer-LLM-mistral-small-latest-0.0,Task,1,Flow Objects,Classes
MS-NoRAG-0,Ex02_writer-LLM-mistral-small-latest-0.0,laneSets,1,Swim Lanes,Classes
MS-NoRAG-0,Ex03_writer-LLM-mistral-small-latest-0.0,SequenceFlow,18,Connecting Objects,Relations
MS-NoRAG-0,Ex03_writer-LLM-mistral-small-latest-0.0,sourceRef,18,Connecting Objects,Attributes
MS-NoRAG-0,Ex03_writer-LLM-mistral-small-latest-0.0,targetRef,18,Connecting Objects,Attributes
MS-NoRAG-0,Ex03_writer-LLM-mistral-small-latest-0.0,incoming,16,Connecting Objects,Attributes
MS-NoRAG-0,Ex03_writer-LLM-mistral-small-latest-0.0,outgoing,15,Connecting Objects,Attributes
MS-NoRAG-0,Ex03_writer-LLM-mistral-small-latest-0.0,UserTask,12,Flow Objects,Classes
MS-NoRAG-0,Ex03_writer-LLM-mistral-small-latest-0.0,ExclusiveGateway,2,Flow Objects,Classes
MS-NoRAG-0,Ex03_writer-LLM-mistral-small-latest-0.0,EndEvent,2,Flow Objects,Classes
MS-NoRAG-0,Ex03_writer-LLM-mistral-small-latest-0.0,StartEvent,1,Flow Objects,Classes
MS-NoRAG-0,Ex03_writer-LLM-mistral-small-latest-0.0,laneSets,0,Swim Lanes,Classes
MS-NoRAG-0,Ex03_writer-LLM-mistral-small-latest-0.0,lanes,0,Swim Lanes,Classes
MS-NoRAG-0,Ex04_writer-LLM-mistral-small-latest-0.0,SequenceFlow,8,Connecting Objects,Relations
MS-NoRAG-0,Ex04_writer-LLM-mistral-small-latest-0.0,sourceRef,8,Connecting Objects,Attributes
MS-NoRAG-0,Ex04_writer-LLM-mistral-small-latest-0.0,targetRef,8,Connecting Objects,Attributes
MS-NoRAG-0,Ex04_writer-LLM-mistral-small-latest-0.0,outgoing,7,Connecting Objects,Attributes
MS-NoRAG-0,Ex04_writer-LLM-mistral-small-latest-0.0,incoming,7,Connecting Objects,Attributes
MS-NoRAG-0,Ex04_writer-LLM-mistral-small-latest-0.0,UserTask,5,Flow Objects,Classes
MS-NoRAG-0,Ex04_writer-LLM-mistral-small-latest-0.0,DataObject,3,Artifacts,Classes
MS-NoRAG-0,Ex04_writer-LLM-mistral-small-latest-0.0,StartEvent,1,Flow Objects,Classes
MS-NoRAG-0,Ex04_writer-LLM-mistral-small-latest-0.0,ExclusiveGateway,1,Flow Objects,Classes
MS-NoRAG-0,Ex04_writer-LLM-mistral-small-latest-0.0,EndEvent,1,Flow Objects,Classes
MS-NoRAG-0,Ex04_writer-LLM-mistral-small-latest-0.0,laneSets,1,Swim Lanes,Classes
MS-NoRAG-0,Ex04_writer-LLM-mistral-small-latest-0.0,lanes,1,Swim Lanes,Classes
MS-NoRAG-0,Ex04_writer-LLM-mistral-small-latest-0.0,DataStore,1,Artifacts,Classes
MS-NoRAG-0,Ex05_writer-LLM-mistral-small-latest-0.0,SequenceFlow,11,Connecting Objects,Relations
MS-NoRAG-0,Ex05_writer-LLM-mistral-small-latest-0.0,sourceRef,11,Connecting Objects,Attributes
MS-NoRAG-0,Ex05_writer-LLM-mistral-small-latest-0.0,targetRef,11,Connecting Objects,Attributes
MS-NoRAG-0,Ex05_writer-LLM-mistral-small-latest-0.0,outgoing,10,Connecting Objects,Attributes
MS-NoRAG-0,Ex05_writer-LLM-mistral-small-latest-0.0,incoming,10,Connecting Objects,Attributes
MS-NoRAG-0,Ex05_writer-LLM-mistral-small-latest-0.0,UserTask,8,Flow Objects,Classes
MS-NoRAG-0,Ex05_writer-LLM-mistral-small-latest-0.0,lanes,3,Swim Lanes,Classes
MS-NoRAG-0,Ex05_writer-LLM-mistral-small-latest-0.0,StartEvent,1,Flow Objects,Classes
MS-NoRAG-0,Ex05_writer-LLM-mistral-small-latest-0.0,ExclusiveGateway,1,Flow Objects,Classes
MS-NoRAG-0,Ex05_writer-LLM-mistral-small-latest-0.0,EndEvent,1,Flow Objects,Classes
MS-NoRAG-0,Ex05_writer-LLM-mistral-small-latest-0.0,laneSets,1,Swim Lanes,Classes
MS-NoRAG-0,Ex07_writer-LLM-mistral-small-latest-0.0,SequenceFlow,13,Connecting Objects,Relations
MS-NoRAG-0,Ex07_writer-LLM-mistral-small-latest-0.0,sourceRef,13,Connecting Objects,Attributes
MS-NoRAG-0,Ex07_writer-LLM-mistral-small-latest-0.0,targetRef,13,Connecting Objects,Attributes
MS-NoRAG-0,Ex07_writer-LLM-mistral-small-latest-0.0,outgoing,11,Connecting Objects,Attributes
MS-NoRAG-0,Ex07_writer-LLM-mistral-small-latest-0.0,incoming,11,Connecting Objects,Attributes
MS-NoRAG-0,Ex07_writer-LLM-mistral-small-latest-0.0,UserTask,7,Flow Objects,Classes
MS-NoRAG-0,Ex07_writer-LLM-mistral-small-latest-0.0,ExclusiveGateway,3,Flow Objects,Classes
MS-NoRAG-0,Ex07_writer-LLM-mistral-small-latest-0.0,StartEvent,1,Flow Objects,Classes
MS-NoRAG-0,Ex07_writer-LLM-mistral-small-latest-0.0,EndEvent,1,Flow Objects,Classes
MS-NoRAG-0,Ex07_writer-LLM-mistral-small-latest-0.0,laneSets,0,Swim Lanes,Classes
MS-NoRAG-0,Ex07_writer-LLM-mistral-small-latest-0.0,lanes,0,Swim Lanes,Classes
MS-NoRAG-0,Ex08_writer-LLM-mistral-small-latest-0.0,outgoing,16,Connecting Objects,Attributes
MS-NoRAG-0,Ex08_writer-LLM-mistral-small-latest-0.0,incoming,16,Connecting Objects,Attributes
MS-NoRAG-0,Ex08_writer-LLM-mistral-small-latest-0.0,SequenceFlow,16,Connecting Objects,Relations
MS-NoRAG-0,Ex08_writer-LLM-mistral-small-latest-0.0,sourceRef,16,Connecting Objects,Attributes
MS-NoRAG-0,Ex08_writer-LLM-mistral-small-latest-0.0,targetRef,16,Connecting Objects,Attributes
MS-NoRAG-0,Ex08_writer-LLM-mistral-small-latest-0.0,UserTask,14,Flow Objects,Classes
MS-NoRAG-0,Ex08_writer-LLM-mistral-small-latest-0.0,StartEvent,2,Flow Objects,Classes
MS-NoRAG-0,Ex08_writer-LLM-mistral-small-latest-0.0,EndEvent,2,Flow Objects,Classes
MS-NoRAG-0,Ex08_writer-LLM-mistral-small-latest-0.0,laneSets,0,Swim Lanes,Classes
MS-NoRAG-0,Ex08_writer-LLM-mistral-small-latest-0.0,lanes,0,Swim Lanes,Classes
MS-NoRAG-0,Ex09_writer-LLM-mistral-small-latest-0.0,SequenceFlow,10,Connecting Objects,Relations
MS-NoRAG-0,Ex09_writer-LLM-mistral-small-latest-0.0,sourceRef,10,Connecting Objects,Attributes
MS-NoRAG-0,Ex09_writer-LLM-mistral-small-latest-0.0,targetRef,10,Connecting Objects,Attributes
MS-NoRAG-0,Ex09_writer-LLM-mistral-small-latest-0.0,outgoing,9,Connecting Objects,Attributes
MS-NoRAG-0,Ex09_writer-LLM-mistral-small-latest-0.0,incoming,9,Connecting Objects,Attributes
MS-NoRAG-0,Ex09_writer-LLM-mistral-small-latest-0.0,UserTask,7,Flow Objects,Classes
MS-NoRAG-0,Ex09_writer-LLM-mistral-small-latest-0.0,lanes,2,Swim Lanes,Classes
MS-NoRAG-0,Ex09_writer-LLM-mistral-small-latest-0.0,StartEvent,1,Flow Objects,Classes
MS-NoRAG-0,Ex09_writer-LLM-mistral-small-latest-0.0,ExclusiveGateway,1,Flow Objects,Classes
MS-NoRAG-0,Ex09_writer-LLM-mistral-small-latest-0.0,EndEvent,1,Flow Objects,Classes
MS-NoRAG-0,Ex09_writer-LLM-mistral-small-latest-0.0,laneSets,1,Swim Lanes,Classes
MS-NoRAG-0,Ex10_writer-LLM-mistral-small-latest-0.0,SequenceFlow,15,Connecting Objects,Relations
MS-NoRAG-0,Ex10_writer-LLM-mistral-small-latest-0.0,sourceRef,15,Connecting Objects,Attributes
MS-NoRAG-0,Ex10_writer-LLM-mistral-small-latest-0.0,targetRef,15,Connecting Objects,Attributes
MS-NoRAG-0,Ex10_writer-LLM-mistral-small-latest-0.0,outgoing,11,Connecting Objects,Attributes
MS-NoRAG-0,Ex10_writer-LLM-mistral-small-latest-0.0,incoming,11,Connecting Objects,Attributes
MS-NoRAG-0,Ex10_writer-LLM-mistral-small-latest-0.0,UserTask,6,Flow Objects,Classes
MS-NoRAG-0,Ex10_writer-LLM-mistral-small-latest-0.0,ExclusiveGateway,4,Flow Objects,Classes
MS-NoRAG-0,Ex10_writer-LLM-mistral-small-latest-0.0,StartEvent,1,Flow Objects,Classes
MS-NoRAG-0,Ex10_writer-LLM-mistral-small-latest-0.0,EndEvent,1,Flow Objects,Classes
MS-NoRAG-0,Ex10_writer-LLM-mistral-small-latest-0.0,laneSets,0,Swim Lanes,Classes
MS-NoRAG-0,Ex10_writer-LLM-mistral-small-latest-0.0,lanes,0,Swim Lanes,Classes
