Target,File,Tag,Occurrences,Category,CategoryEMF
GPT-4o-RAG-0,Ex00_writer-LLM-gpt-4o-2024-08-06-0.0,incoming,9,Connecting Objects,Attributes
GPT-4o-RAG-0,Ex00_writer-LLM-gpt-4o-2024-08-06-0.0,SequenceFlow,9,Connecting Objects,Relations
GPT-4o-RAG-0,Ex00_writer-LLM-gpt-4o-2024-08-06-0.0,sourceRef,9,Connecting Objects,Attributes
GPT-4o-RAG-0,Ex00_writer-LLM-gpt-4o-2024-08-06-0.0,targetRef,9,Connecting Objects,Attributes
GPT-4o-RAG-0,Ex00_writer-LLM-gpt-4o-2024-08-06-0.0,outgoing,8,Connecting Objects,Attributes
GPT-4o-RAG-0,Ex00_writer-LLM-gpt-4o-2024-08-06-0.0,UserTask,6,Flow Objects,Classes
GPT-4o-RAG-0,Ex00_writer-LLM-gpt-4o-2024-08-06-0.0,EndEvent,2,Flow Objects,Classes
GPT-4o-RAG-0,Ex00_writer-LLM-gpt-4o-2024-08-06-0.0,StartEvent,1,Flow Objects,Classes
GPT-4o-RAG-0,Ex00_writer-LLM-gpt-4o-2024-08-06-0.0,ExclusiveGateway,1,Flow Objects,Classes
GPT-4o-RAG-0,Ex00_writer-LLM-gpt-4o-2024-08-06-0.0,laneSets,0,Swim Lanes,Classes
GPT-4o-RAG-0,Ex00_writer-LLM-gpt-4o-2024-08-06-0.0,lanes,0,Swim Lanes,Classes
GPT-4o-RAG-0,Ex01_writer-LLM-gpt-4o-2024-08-06-0.0,outgoing,7,Connecting Objects,Attributes
GPT-4o-RAG-0,Ex01_writer-LLM-gpt-4o-2024-08-06-0.0,incoming,7,Connecting Objects,Attributes
GPT-4o-RAG-0,Ex01_writer-LLM-gpt-4o-2024-08-06-0.0,SequenceFlow,7,Connecting Objects,Relations
GPT-4o-RAG-0,Ex01_writer-LLM-gpt-4o-2024-08-06-0.0,sourceRef,7,Connecting Objects,Attributes
GPT-4o-RAG-0,Ex01_writer-LLM-gpt-4o-2024-08-06-0.0,targetRef,7,Connecting Objects,Attributes
GPT-4o-RAG-0,Ex01_writer-LLM-gpt-4o-2024-08-06-0.0,Task,5,Flow Objects,Classes
GPT-4o-RAG-0,Ex01_writer-LLM-gpt-4o-2024-08-06-0.0,StartEvent,1,Flow Objects,Classes
GPT-4o-RAG-0,Ex01_writer-LLM-gpt-4o-2024-08-06-0.0,ExclusiveGateway,1,Flow Objects,Classes
GPT-4o-RAG-0,Ex01_writer-LLM-gpt-4o-2024-08-06-0.0,EndEvent,1,Flow Objects,Classes
GPT-4o-RAG-0,Ex01_writer-LLM-gpt-4o-2024-08-06-0.0,laneSets,0,Swim Lanes,Classes
